stratum_category,stratum,n,n_runs,traditional_res68_abs_frac,traditional_coverage90,traditional_width90_frac,ml_res68_abs_frac,ml_coverage90,ml_width90_frac,ml_minus_traditional_res68,support_call
anomaly_stratum,broad_saturation_like,2271,32,0.5268260503859205,0.8991633641567591,2.1619775081035333,0.5239868385100623,0.896081021576398,2.1437894445102095,-0.0028392118758581164,support_only_or_broad
anomaly_stratum,late_tail_high,1349,32,0.5174796764058226,0.9014084507042254,2.222448342347191,0.5105812825506214,0.9028910303928837,2.2177897681777954,-0.00689839385520119,support_only_or_broad
anomaly_stratum,dropout_like,401,26,0.5341130082494682,0.8977556109725686,2.1559902305538596,0.5169055193169123,0.9027431421446384,2.0257167376416727,-0.01720748893255586,support_only_or_broad
b2_amp_bin,3000_5000,1212,31,0.5149453130470016,0.8985148514851485,2.1852527233786683,0.5112903366161851,0.891914191419142,2.171511929108949,-0.003654976430816581,support_only_or_broad
b2_amp_bin,5000_7000,953,30,0.5268003761862347,0.8940188877229801,2.0811405593309327,0.5269433014041439,0.8961175236096537,2.0377229770872325,0.00014292521790926216,support_only_or_broad
b2_amp_bin,7000_inf,920,28,0.5443923813303327,0.907608695652174,2.3671765234019633,0.5369956946508543,0.9097826086956522,2.396936751834456,-0.007396686679478459,support_only_or_broad
b2_amp_bin,1000_2000,496,26,0.5133906349675642,0.8971774193548387,2.094779500759454,0.503500707172727,0.8911290322580645,1.9325861775745659,-0.009889927794837217,calibrated_candidate
b2_amp_bin,2000_3000,474,28,0.5210584710184185,0.8966244725738397,2.095905891329526,0.5133775796041996,0.9050632911392406,2.1140732331090866,-0.007680891414218904,support_only_or_broad
downstream_coincidence,downstream_none,3889,32,0.5257623429167801,0.8992028799177166,2.1759670089041045,0.5185189158408365,0.8984314733864747,2.1519738293110224,-0.007243427075943609,support_only_or_broad
downstream_coincidence,downstream_one,109,21,0.4909391193892557,0.8899082568807339,2.2769255670971638,0.5101630809382857,0.8990825688073395,2.215819136291756,0.019223961549029944,low_support
downstream_coincidence,downstream_multi,57,19,0.5142137661799552,0.9122807017543859,2.3088613286379394,0.5098181711205229,0.8947368421052632,2.2646879904596884,-0.004395595059432322,low_support
saturation_stratum,all_B_amp_lt7000,3134,32,0.5192635081697672,0.8966177409061902,2.125815305635359,0.5156267857110978,0.8950223356732611,2.084382546968003,-0.003636722458669417,support_only_or_broad
saturation_stratum,any_B_amp_ge7000,921,28,0.5443616703879277,0.9077090119435396,2.366797516083387,0.5361682794253372,0.9098805646036916,2.396506863523179,-0.00819339096259053,support_only_or_broad
support_cell,B2_only|3000_5000|all_B_amp_lt7000|broad_saturation_like|downstream_none,957,30,0.5248529061077793,0.8986415882967607,2.197025160902357,0.5210857585702834,0.8923719958202717,2.1836954958495416,-0.003767147537495963,support_only_or_broad
support_cell,B2_only|5000_7000|all_B_amp_lt7000|broad_saturation_like|downstream_none,888,30,0.526870927675494,0.8918918918918919,2.077814935935295,0.5291799444426729,0.8930180180180181,2.0342408351399004,0.002309016767178873,support_only_or_broad
support_cell,B2_only|7000_inf|any_B_amp_ge7000|late_tail_high|downstream_none,606,28,0.5518265000084205,0.9075907590759076,2.3975221088244174,0.5485133990571125,0.9042904290429042,2.413809792464292,-0.00331310095130799,support_only_or_broad
support_cell,B2_only|2000_3000|all_B_amp_lt7000|late_tail_high|downstream_none,278,22,0.5245555152944185,0.8776978417266187,2.031088796200645,0.5043478398970147,0.89568345323741,2.097122764809484,-0.020207675397403757,support_only_or_broad
support_cell,B2_only|1000_2000|all_B_amp_lt7000|late_tail_high|downstream_none,253,23,0.49932731528412144,0.8932806324110671,2.10808761778121,0.4934875863399819,0.8893280632411067,1.9858561350932447,-0.005839728944139533,calibrated_candidate
support_cell,B2_only|7000_inf|any_B_amp_ge7000|broad_saturation_like|downstream_none,240,23,0.5379247040330571,0.9125,2.308669006177856,0.5036205388317225,0.9208333333333333,2.3874348466982642,-0.03430416520133461,support_only_or_broad
support_cell,B2_only|1000_2000|all_B_amp_lt7000|dropout_like|downstream_none,184,20,0.5253812372152227,0.9130434782608695,2.052436786247568,0.5099858329905586,0.9021739130434783,1.833356115344386,-0.015395404224664122,calibrated_candidate
support_cell,B2_only|3000_5000|all_B_amp_lt7000|late_tail_high|downstream_none,125,20,0.424902260248191,0.912,2.0335104555881207,0.4225638225398564,0.904,2.041280962050211,-0.002338437708334584,low_support
support_cell,B2_only|2000_3000|all_B_amp_lt7000|dropout_like|downstream_none,88,18,0.525524584755334,0.9090909090909091,2.2416038045679247,0.5146153689392167,0.9204545454545454,2.1415192309100948,-0.010909215816117368,low_support
support_cell,B2_only|2000_3000|all_B_amp_lt7000|broad_saturation_like|downstream_none,75,17,0.5266560500760329,0.9466666666666667,2.138061243166454,0.5272895836642987,0.92,2.1292693994893983,0.0006335335882657889,low_support
support_cell,B2_only|3000_5000|all_B_amp_lt7000|dropout_like|downstream_none,54,18,0.4984680051549025,0.9074074074074074,2.170089008493874,0.4471200423932587,0.9259259259259259,2.144631290800337,-0.05134796276164383,low_support
topology_pattern,B2_only,3889,32,0.5257623429167801,0.8992028799177166,2.1759670089041045,0.5185189158408365,0.8984314733864747,2.1519738293110224,-0.007243427075943609,support_only_or_broad
topology_pattern,B2_B4,102,21,0.482536120224819,0.8921568627450981,2.274981669818142,0.5055946548439064,0.9019607843137255,2.217208182014148,0.023058534619087412,low_support
topology_pattern,B2_multi_downstream,57,19,0.5142137661799552,0.9122807017543859,2.3088613286379394,0.5098181711205229,0.8947368421052632,2.2646879904596884,-0.004395595059432322,low_support
