method,task,run,n,energy_res68_frac,energy_bias_frac,timing_sigma68_samples
ML_gradient_boosted_trees,saturation,31,426,0.020456342211135792,0.0017611254362882578,0.15659523288704813
ML_gradient_boosted_trees,saturation,32,409,0.02370860550086066,-0.0002321277162482538,0.16093957342035736
ML_gradient_boosted_trees,saturation,33,430,0.022535786812405628,-5.9240724884446205e-05,0.14059647819507942
ML_gradient_boosted_trees,saturation,34,411,0.02420702227104128,-0.0007312851747958149,0.14321470029004113
ML_gradient_boosted_trees,saturation,35,389,0.01837505099284314,0.0008367952157399827,0.13806250340596204
ML_gradient_boosted_trees,saturation,36,383,0.022521728869911915,0.001742643011988898,0.1846673286429392
ML_gradient_boosted_trees,saturation,37,432,0.023567622700445993,0.0008230126738898447,0.1350808264356674
ML_gradient_boosted_trees,saturation,39,422,0.021795222558624018,-0.0001046824894159748,0.18239733101812708
ML_gradient_boosted_trees,saturation,40,410,0.023189684256893404,-0.00015430170633295992,0.1636306590583223
ML_gradient_boosted_trees,saturation,41,439,0.023223984949192932,0.0015605554452293724,0.12867783088766535
ML_gradient_boosted_trees,saturation,42,424,0.023072200056434927,0.0029924500910785135,0.14751562936567067
ML_gradient_boosted_trees,saturation,44,215,0.026642422832150122,-0.00032800188729908974,0.1335694768563313
ML_gradient_boosted_trees,saturation,45,451,0.02278132631178642,0.0016289361483468046,0.16072414801038493
ML_gradient_boosted_trees,saturation,46,128,0.025103035522165782,-0.0016730822568876702,0.14079321024425093
ML_gradient_boosted_trees,saturation,47,218,0.023171511344947566,0.0005536396312683101,0.16407524313409813
ML_gradient_boosted_trees,saturation,48,426,0.02137958402752027,0.000638756820734776,0.1377477887289169
ML_gradient_boosted_trees,saturation,49,429,0.020141719306263513,0.0012913180353455456,0.1633048836560891
ML_gradient_boosted_trees,saturation,50,447,0.023089307734600287,-0.0003745945855745392,0.1302673889675131
ML_gradient_boosted_trees,saturation,51,375,0.02499214268083722,-0.00027236484542092487,0.133895978877905
ML_gradient_boosted_trees,saturation,52,263,0.024003014095206297,0.001890759240330775,0.13567015112757885
ML_gradient_boosted_trees,saturation,53,427,0.025730368814218717,0.00019244417685304605,0.12781690331087917
ML_gradient_boosted_trees,saturation,54,416,0.02347158167768266,0.00021845974265988222,0.12114420953528784
ML_gradient_boosted_trees,saturation,55,393,0.025932615942068606,-0.0006198802518744273,0.12171840786828103
ML_gradient_boosted_trees,saturation,56,458,0.024171558327388893,0.001955265997761968,0.12105693419704355
ML_gradient_boosted_trees,saturation,57,433,0.02220521412342949,-9.09621374804992e-05,0.16495328635898368
ML_gradient_boosted_trees,saturation,58,424,0.021677296202460658,-0.00010265927483943393,0.1336017109934691
ML_gradient_boosted_trees,saturation,59,480,0.019386794697032538,0.0007491150211295095,0.10455067009988325
ML_gradient_boosted_trees,saturation,60,480,0.023200752651817577,-0.0015011832446188977,0.14995774748371754
