method,energy_res68_frac,timing_sigma68_samples,pileup_auc,energy_rank,timing_rank,pileup_rank,composite_rank_score
NN_1d_cnn_feature_mlp,0.06869147785566032,0.15832496643066407,0.997480897889837,3.0,1.0,2.0,2.0
NN_causal_attention_mlp_new,0.08631508631404895,0.15832496643066407,0.9976104059453186,5.0,1.0,1.0,2.3333333333333335
ML_ridge,0.039624095805008926,0.15832496643066407,0.9267644355196083,2.0,1.0,5.0,2.6666666666666665
ML_mlp,0.07298368469664339,0.15832496643066407,0.9971524698607973,4.0,1.0,3.0,2.6666666666666665
ML_gradient_boosted_trees,0.022272704823616464,0.1583250575582548,0.995542525969267,1.0,5.0,4.0,3.3333333333333335
