run,group,event_index,eventno,evt,stave,stave_idx,amplitude_adc,peak_sample,baseline_adc,ceiling_adc,true_amplitude_adc,true_t50,is_saturated
31,sample_i_calib,22,391411,4932,B8,3,1812.0,7,6880.0,2400.0,1812.0,4.856756687164307,0
31,sample_i_calib,122,391512,5028,B2,0,5187.0,6,6844.0,3200.0,5187.0,4.379982948303223,1
31,sample_i_calib,633,392023,5507,B6,2,3746.0,10,6972.0,4200.0,3746.0,9.046819686889648,0
31,sample_i_calib,784,392174,5643,B4,1,2521.5,6,7024.5,2400.0,2521.5,4.111957550048828,1
31,sample_i_calib,784,392174,5643,B6,2,2822.0,7,6925.0,3200.0,2822.0,4.655713081359863,0
31,sample_i_calib,790,392180,5648,B4,1,3518.5,6,7086.5,4200.0,3518.5,4.466252326965332,0
31,sample_i_calib,790,392180,5648,B6,2,5432.0,6,6950.0,2400.0,5432.0,4.848506450653076,1
31,sample_i_calib,1074,392464,5909,B2,0,5943.0,6,6785.0,3200.0,5943.0,4.2372236251831055,1
31,sample_i_calib,1294,392684,6113,B4,1,1383.0,7,7026.0,4200.0,1383.0,4.937613010406494,0
31,sample_i_calib,1407,392797,6218,B6,2,2424.0,9,6953.0,2400.0,2424.0,6.837136745452881,1
31,sample_i_calib,1407,392797,6218,B8,3,3602.0,8,6890.0,3200.0,3602.0,6.507028579711914,1
31,sample_i_calib,1457,392847,6272,B6,2,1980.0,8,6913.0,4200.0,1980.0,6.201550483703613,0
31,sample_i_calib,1457,392847,6272,B8,3,4285.5,7,6888.5,2400.0,4285.5,5.766746997833252,1
31,sample_i_calib,1586,392976,6398,B2,0,2824.0,7,6737.0,3200.0,2824.0,4.506908416748047,0
31,sample_i_calib,1606,392996,6416,B4,1,1592.5,8,7010.5,4200.0,1592.5,5.725467205047607,0
31,sample_i_calib,1800,393190,6589,B6,2,2691.0,8,6978.0,2400.0,2691.0,5.972569942474365,1
31,sample_i_calib,1815,393205,6604,B2,0,4129.0,6,6731.0,3200.0,4129.0,4.743741035461426,1
31,sample_i_calib,1873,393263,6659,B8,3,1693.5,8,6887.5,4200.0,1693.5,5.253350257873535,0
31,sample_i_calib,1957,393347,6741,B4,1,3190.5,6,7060.5,2400.0,3190.5,4.164389610290527,1
31,sample_i_calib,1957,393347,6741,B6,2,2831.0,7,6950.0,3200.0,2831.0,4.947298526763916,0
31,sample_i_calib,2056,393446,6836,B6,2,2973.5,6,6942.5,4200.0,2973.5,4.004578590393066,0
31,sample_i_calib,2056,393446,6836,B8,3,2890.5,8,6907.5,2400.0,2890.5,3.999785900115967,1
31,sample_i_calib,2104,393494,6880,B6,2,2801.5,7,6926.5,3200.0,2801.5,5.207640647888184,0
31,sample_i_calib,2104,393494,6880,B8,3,2440.5,8,6872.5,4200.0,2440.5,5.485904216766357,0
31,sample_i_calib,2323,393713,7078,B6,2,1791.5,9,6933.5,2400.0,1791.5,7.115478038787842,0
31,sample_i_calib,2323,393713,7078,B8,3,3890.0,8,6892.0,3200.0,3890.0,6.639748573303223,1
31,sample_i_calib,2379,393769,7132,B4,1,3736.5,9,7009.5,4200.0,3736.5,7.521284103393555,0
31,sample_i_calib,2447,393837,7194,B4,1,1701.0,7,7042.0,2400.0,1701.0,4.053398132324219,0
31,sample_i_calib,2544,393934,7285,B4,1,2530.5,6,7032.5,3200.0,2530.5,4.0943169593811035,0
31,sample_i_calib,2681,394071,7409,B6,2,2687.0,7,6955.0,4200.0,2687.0,4.704979419708252,0
31,sample_i_calib,2689,394079,7415,B8,3,1701.5,7,6912.5,2400.0,1701.5,4.837741851806641,0
31,sample_i_calib,2820,394210,7533,B2,0,2892.0,8,6900.0,3200.0,2892.0,5.781341075897217,0
31,sample_i_calib,2847,394237,7558,B8,3,3730.5,6,6895.5,4200.0,3730.5,4.284059047698975,0
31,sample_i_calib,2960,394350,7664,B4,1,3512.0,7,7043.0,2400.0,3512.0,5.289741039276123,1
31,sample_i_calib,2978,394368,7681,B4,1,1738.5,7,7060.5,3200.0,1738.5,4.167325973510742,0
31,sample_i_calib,3082,394472,7778,B6,2,3977.5,6,6928.5,4200.0,3977.5,4.694408416748047,0
31,sample_i_calib,3122,394512,7816,B8,3,2833.0,9,6941.0,2400.0,2833.0,5.503743648529053,1
31,sample_i_calib,3131,394521,7823,B4,1,3413.0,6,7032.0,3200.0,3413.0,4.181520462036133,1
31,sample_i_calib,3151,394541,7842,B4,1,2682.5,10,7029.5,4200.0,2682.5,7.691262722015381,0
31,sample_i_calib,3151,394541,7842,B8,3,1677.5,10,6887.5,2400.0,1677.5,8.196752548217773,0
31,sample_i_calib,3186,394576,7874,B2,0,5426.5,5,6764.5,3200.0,5426.5,3.9348771572113037,1
