method,task,run,n,pileup_auc,pileup_ap
ML_gradient_boosted_trees,pileup,31,852,0.9971621591835835,0.9974904287090902
ML_gradient_boosted_trees,pileup,32,818,0.9951967049455707,0.9960713899524057
ML_gradient_boosted_trees,pileup,33,860,0.9969010275824769,0.9973020966339455
ML_gradient_boosted_trees,pileup,34,822,0.9975313904132701,0.9980217957738482
ML_gradient_boosted_trees,pileup,35,778,0.9967387209970856,0.9973667863770719
ML_gradient_boosted_trees,pileup,36,766,0.9938509363346945,0.9949933028414486
ML_gradient_boosted_trees,pileup,37,864,0.9970019933127572,0.9968952761529178
ML_gradient_boosted_trees,pileup,39,844,0.9976471777363493,0.998002164158574
ML_gradient_boosted_trees,pileup,40,820,0.9945240928019037,0.9947295993953871
ML_gradient_boosted_trees,pileup,41,878,0.9976131298613021,0.9976415328256689
ML_gradient_boosted_trees,pileup,42,848,0.9945237406550373,0.9948152821902597
ML_gradient_boosted_trees,pileup,44,430,0.9983775013520823,0.998556379441996
ML_gradient_boosted_trees,pileup,45,902,0.9965265657494309,0.9967551946975367
ML_gradient_boosted_trees,pileup,46,256,0.99993896484375,0.9999394379844961
ML_gradient_boosted_trees,pileup,47,436,0.9986743540106051,0.9987428946376236
ML_gradient_boosted_trees,pileup,48,852,0.9971676695541009,0.9975965587849305
ML_gradient_boosted_trees,pileup,49,858,0.9977206166017355,0.9983425973621882
ML_gradient_boosted_trees,pileup,50,894,0.9906961147896242,0.9924504566492199
ML_gradient_boosted_trees,pileup,51,750,0.9951573333333333,0.9955324870684468
ML_gradient_boosted_trees,pileup,52,526,0.9980048865821394,0.998093349597946
ML_gradient_boosted_trees,pileup,53,854,0.9989853506573283,0.9990196860748625
ML_gradient_boosted_trees,pileup,54,832,0.9963537814349113,0.9965828841825145
ML_gradient_boosted_trees,pileup,55,786,0.9962770882297717,0.9962426630181087
ML_gradient_boosted_trees,pileup,56,916,0.9973088804561316,0.997551012746223
ML_gradient_boosted_trees,pileup,57,866,0.9954237315255828,0.9963986658019894
ML_gradient_boosted_trees,pileup,58,848,0.9931804022783909,0.9941955112462308
ML_gradient_boosted_trees,pileup,59,960,0.9911371527777777,0.9918574765498794
ML_gradient_boosted_trees,pileup,60,960,0.9938064236111112,0.9946164711845058
ML_gradient_boosted_trees,pileup,61,960,0.9920052083333335,0.9927028274496056
ML_gradient_boosted_trees,pileup,62,960,0.9926085069444445,0.9931797172726563
ML_gradient_boosted_trees,pileup,63,960,0.991720920138889,0.9932625006826926
ML_gradient_boosted_trees,pileup,64,960,0.9914973958333333,0.9919183311120487
ML_gradient_boosted_trees,pileup,65,850,0.9983501730103806,0.9986354831845096
ML_mlp,pileup,31,852,0.9963851969406423,0.9969085235010299
ML_mlp,pileup,32,818,0.9981408528165183,0.9983414390361711
ML_mlp,pileup,33,860,0.9991941590048675,0.9992294113095556
ML_mlp,pileup,34,822,0.9995441656158796,0.9995650234107272
ML_mlp,pileup,35,778,0.9969799300824076,0.9976790162275675
ML_mlp,pileup,36,766,0.9976958054114488,0.9977805004528639
ML_mlp,pileup,37,864,0.9953864454732511,0.9967745238172677
ML_mlp,pileup,39,844,0.9973664113564386,0.9978121503636543
ML_mlp,pileup,40,820,0.9974301011302796,0.9978424608118869
ML_mlp,pileup,41,878,0.9977428510644921,0.9978672246884369
ML_mlp,pileup,42,848,0.9976081345674618,0.9977490327340783
ML_mlp,pileup,44,430,0.994808004326663,0.9960765245777666
ML_mlp,pileup,45,902,0.9984808334275642,0.9985784166174135
ML_mlp,pileup,46,256,1.0,1.0
ML_mlp,pileup,47,436,0.9996633280026934,0.9996734077009419
ML_mlp,pileup,48,852,0.998787718486191,0.9988902290462908
ML_mlp,pileup,49,858,0.9996305171130346,0.9996358153850335
ML_mlp,pileup,50,894,0.9948125459814124,0.9949913625821927
