run,group,event_index,eventno,evt,stave,stave_idx,amplitude_adc,peak_sample,baseline_adc
31,sample_i_calib,22,391411,4932,B8,3,1812.0,7,6880.0
31,sample_i_calib,122,391512,5028,B2,0,5187.0,6,6844.0
31,sample_i_calib,633,392023,5507,B6,2,3746.0,10,6972.0
31,sample_i_calib,784,392174,5643,B4,1,2521.5,6,7024.5
31,sample_i_calib,784,392174,5643,B6,2,2822.0,7,6925.0
31,sample_i_calib,790,392180,5648,B4,1,3518.5,6,7086.5
31,sample_i_calib,790,392180,5648,B6,2,5432.0,6,6950.0
31,sample_i_calib,1074,392464,5909,B2,0,5943.0,6,6785.0
31,sample_i_calib,1294,392684,6113,B4,1,1383.0,7,7026.0
31,sample_i_calib,1407,392797,6218,B6,2,2424.0,9,6953.0
31,sample_i_calib,1407,392797,6218,B8,3,3602.0,8,6890.0
31,sample_i_calib,1457,392847,6272,B6,2,1980.0,8,6913.0
31,sample_i_calib,1457,392847,6272,B8,3,4285.5,7,6888.5
31,sample_i_calib,1586,392976,6398,B2,0,2824.0,7,6737.0
31,sample_i_calib,1606,392996,6416,B4,1,1592.5,8,7010.5
31,sample_i_calib,1800,393190,6589,B6,2,2691.0,8,6978.0
31,sample_i_calib,1815,393205,6604,B2,0,4129.0,6,6731.0
31,sample_i_calib,1873,393263,6659,B8,3,1693.5,8,6887.5
31,sample_i_calib,1957,393347,6741,B4,1,3190.5,6,7060.5
31,sample_i_calib,1957,393347,6741,B6,2,2831.0,7,6950.0
31,sample_i_calib,2056,393446,6836,B6,2,2973.5,6,6942.5
31,sample_i_calib,2056,393446,6836,B8,3,2890.5,8,6907.5
31,sample_i_calib,2104,393494,6880,B6,2,2801.5,7,6926.5
31,sample_i_calib,2104,393494,6880,B8,3,2440.5,8,6872.5
31,sample_i_calib,2323,393713,7078,B6,2,1791.5,9,6933.5
31,sample_i_calib,2323,393713,7078,B8,3,3890.0,8,6892.0
31,sample_i_calib,2379,393769,7132,B4,1,3736.5,9,7009.5
31,sample_i_calib,2447,393837,7194,B4,1,1701.0,7,7042.0
31,sample_i_calib,2544,393934,7285,B4,1,2530.5,6,7032.5
31,sample_i_calib,2681,394071,7409,B6,2,2687.0,7,6955.0
31,sample_i_calib,2689,394079,7415,B8,3,1701.5,7,6912.5
31,sample_i_calib,2820,394210,7533,B2,0,2892.0,8,6900.0
31,sample_i_calib,2847,394237,7558,B8,3,3730.5,6,6895.5
31,sample_i_calib,2960,394350,7664,B4,1,3512.0,7,7043.0
31,sample_i_calib,2978,394368,7681,B4,1,1738.5,7,7060.5
31,sample_i_calib,3082,394472,7778,B6,2,3977.5,6,6928.5
31,sample_i_calib,3122,394512,7816,B8,3,2833.0,9,6941.0
31,sample_i_calib,3131,394521,7823,B4,1,3413.0,6,7032.0
31,sample_i_calib,3151,394541,7842,B4,1,2682.5,10,7029.5
31,sample_i_calib,3151,394541,7842,B8,3,1677.5,10,6887.5
31,sample_i_calib,3186,394576,7874,B2,0,5426.5,5,6764.5
31,sample_i_calib,3189,394579,7875,B2,0,1903.5,7,6747.5
31,sample_i_calib,3241,394631,7921,B8,3,2645.0,11,6910.0
31,sample_i_calib,3384,394774,8055,B2,0,3052.0,7,6750.0
31,sample_i_calib,3612,395002,8268,B2,0,6551.5,6,6745.5
31,sample_i_calib,3624,395014,8279,B4,1,2258.5,6,7037.5
31,sample_i_calib,3624,395014,8279,B6,2,2540.0,7,6957.0
31,sample_i_calib,3669,395059,8321,B6,2,1940.0,6,6914.0
31,sample_i_calib,3685,395075,8337,B2,0,4404.5,7,6757.5
31,sample_i_calib,3771,395161,8415,B4,1,2730.5,9,7056.5
31,sample_i_calib,3779,395169,8423,B4,1,2232.0,7,7007.0
31,sample_i_calib,3967,395357,8591,B2,0,4419.5,6,6757.5
31,sample_i_calib,4033,395423,8652,B4,1,5387.5,10,7033.5
31,sample_i_calib,4188,395578,8798,B4,1,5551.5,7,7039.5
31,sample_i_calib,4430,395820,9024,B4,1,3594.5,7,7017.5
31,sample_i_calib,4518,395908,9106,B2,0,6488.5,6,7538.5
31,sample_i_calib,4776,396166,9344,B4,1,4657.0,4,7300.0
31,sample_i_calib,4815,396205,9381,B6,2,3639.5,7,6911.5
31,sample_i_calib,4937,396327,9495,B2,0,3661.5,7,6720.5
31,sample_i_calib,5233,396623,9777,B4,1,2934.0,6,7018.0
31,sample_i_calib,5407,396797,9946,B4,1,1708.5,7,7034.5
31,sample_i_calib,5545,396935,10078,B2,0,6869.0,6,6765.0
31,sample_i_calib,5576,396966,10107,B2,0,3492.0,10,6750.0
31,sample_i_calib,5727,397117,10247,B2,0,4336.0,6,6752.0
31,sample_i_calib,5873,397263,10387,B8,3,1384.0,7,6892.0
31,sample_i_calib,5922,397312,10433,B2,0,2505.5,8,6752.5
31,sample_i_calib,6043,397433,10546,B2,0,3809.5,6,6835.5
31,sample_i_calib,6106,397496,10602,B2,0,6041.0,6,6751.0
31,sample_i_calib,6148,397538,10643,B6,2,3249.0,8,6977.0
31,sample_i_calib,6148,397538,10643,B8,3,4699.0,8,6871.0
31,sample_i_calib,6237,397627,10726,B2,0,4064.0,6,6725.0
31,sample_i_calib,6486,397876,10955,B4,1,3333.5,11,7013.5
31,sample_i_calib,6515,397905,10982,B6,2,4064.5,6,6948.5
31,sample_i_calib,6535,397925,11001,B4,1,3600.0,10,7046.0
31,sample_i_calib,6730,398120,11184,B6,2,1334.5,7,6946.5
31,sample_i_calib,6848,398238,11296,B2,0,3687.5,7,6747.5
31,sample_i_calib,6923,398313,11366,B6,2,2948.0,8,6922.0
31,sample_i_calib,7273,398663,11693,B4,1,1643.5,7,7024.5
31,sample_i_calib,7331,398721,11745,B4,1,3283.0,9,7033.0
31,sample_i_calib,7331,398721,11745,B6,2,2142.5,10,6941.5
31,sample_i_calib,7378,398768,11790,B6,2,4150.0,6,6935.0
31,sample_i_calib,7425,398815,11831,B6,2,2582.5,4,7375.5
31,sample_i_calib,7517,398907,11915,B6,2,1703.5,11,6952.5
31,sample_i_calib,7517,398907,11915,B8,3,2381.0,11,6868.0
31,sample_i_calib,7547,398937,11944,B8,3,2711.5,7,6911.5
31,sample_i_calib,7578,398968,11974,B4,1,2876.5,6,7039.5
31,sample_i_calib,7578,398968,11974,B6,2,2974.5,7,6939.5
31,sample_i_calib,7578,398968,11974,B8,3,3309.0,7,6940.0
31,sample_i_calib,7585,398975,11981,B4,1,2147.0,5,7383.0
31,sample_i_calib,7585,398975,11981,B8,3,2935.5,8,7097.5
31,sample_i_calib,7684,399074,12076,B4,1,3080.0,5,7032.0
31,sample_i_calib,7684,399074,12076,B6,2,2651.0,7,6944.0
31,sample_i_calib,7720,399110,12109,B8,3,3419.0,11,6887.0
31,sample_i_calib,7867,399258,12250,B4,1,5617.5,5,7038.5
