split_name,endpoint,method,pileup_multiplicity_proxy,metric,metric_value,ci_low,ci_high,n,runs
particle_heldout,pileup_sideband,traditional_dE_E_tail_pedestal_likelihood,pileup_proxy,auc,,,,764,33
particle_heldout,pileup_sideband,traditional_dE_E_tail_pedestal_likelihood,single_proxy,auc,,,,995,33
particle_heldout,pulse_shape_harmonics,1d_cnn,pileup_proxy,auc,0.6626729264475744,0.6063364944437954,0.717196408991228,764,33
particle_heldout,pulse_shape_harmonics,1d_cnn,single_proxy,auc,0.7380761457455427,0.7098652676218157,0.7685364516432731,995,33
particle_heldout,pulse_shape_harmonics,gradient_boosted_trees,pileup_proxy,auc,0.9999436619718309,0.9998269212125739,1.0,764,33
particle_heldout,pulse_shape_harmonics,gradient_boosted_trees,single_proxy,auc,0.9999324949064339,0.9998332058706603,1.0,995,33
particle_heldout,pulse_shape_harmonics,mlp,pileup_proxy,auc,0.8321752738654146,0.7843466263173076,0.8832135413869383,764,33
particle_heldout,pulse_shape_harmonics,mlp,single_proxy,auc,0.8719612479850752,0.8519935478973424,0.8924400498185594,995,33
particle_heldout,pulse_shape_harmonics,ridge,pileup_proxy,auc,0.7102848200312989,0.6707108344376472,0.7622343259954791,764,33
particle_heldout,pulse_shape_harmonics,ridge,single_proxy,auc,0.9320325988233656,0.9155632635206573,0.9479997947020755,995,33
particle_heldout,pulse_shape_harmonics,spectral_transformer_new,pileup_proxy,auc,0.6534710485133021,0.5939104276625394,0.7026547660829006,764,33
particle_heldout,pulse_shape_harmonics,spectral_transformer_new,single_proxy,auc,0.7709490807033621,0.7479442588050875,0.7979957170661691,995,33
particle_heldout,pulse_shape_harmonics,traditional_dE_E_tail_pedestal_likelihood,pileup_proxy,auc,0.7295774647887324,0.6873404432951072,0.7656643791176894,764,33
particle_heldout,pulse_shape_harmonics,traditional_dE_E_tail_pedestal_likelihood,single_proxy,auc,0.9314884668570447,0.913937190034998,0.9439099225001988,995,33
particle_heldout,saturation_clipping,1d_cnn,pileup_proxy,auc,0.7325940860215053,0.5885481400634202,0.910564680336275,764,33
particle_heldout,saturation_clipping,1d_cnn,single_proxy,auc,0.764765057113188,0.7127914139908798,0.8191888172600252,995,33
particle_heldout,saturation_clipping,gradient_boosted_trees,pileup_proxy,auc,1.0,1.0,1.0,764,33
particle_heldout,saturation_clipping,gradient_boosted_trees,single_proxy,auc,0.9999188733125649,0.999708517806015,1.0,995,33
particle_heldout,saturation_clipping,mlp,pileup_proxy,auc,0.675,0.5713095238095238,0.7779761904761905,764,33
particle_heldout,saturation_clipping,mlp,single_proxy,auc,0.8208560488058152,0.7477712204948072,0.8951566717838214,995,33
particle_heldout,saturation_clipping,ridge,pileup_proxy,auc,0.8872311827956989,0.7731429603209544,0.971085623230197,764,33
particle_heldout,saturation_clipping,ridge,single_proxy,auc,0.9647910176531672,0.9489028260957453,0.9775936557633095,995,33
particle_heldout,saturation_clipping,spectral_transformer_new,pileup_proxy,auc,0.6198924731182796,0.521595557689479,0.7285188307475149,764,33
particle_heldout,saturation_clipping,spectral_transformer_new,single_proxy,auc,0.6804582035306336,0.5996044887792472,0.7747956544290215,995,33
particle_heldout,saturation_clipping,traditional_dE_E_tail_pedestal_likelihood,pileup_proxy,auc,0.8624999999999999,0.7405750427500006,0.9626894108247336,764,33
particle_heldout,saturation_clipping,traditional_dE_E_tail_pedestal_likelihood,single_proxy,auc,0.9663486500519212,0.9489172969187675,0.9806559120664045,995,33
run_heldout,energy_scale,1d_cnn,pileup_proxy,sigma68,0.43864062749747196,0.39917582691446785,0.475418727473425,616,8
run_heldout,energy_scale,1d_cnn,single_proxy,sigma68,0.35216813652507845,0.3312259788119832,0.38800215148288986,3200,8
run_heldout,energy_scale,gradient_boosted_trees,pileup_proxy,sigma68,0.045181590424129434,0.03676707313245315,0.0625511235046227,616,8
run_heldout,energy_scale,gradient_boosted_trees,single_proxy,sigma68,0.13162043466557818,0.06016908474628154,0.1810577994460744,3200,8
run_heldout,energy_scale,mlp,pileup_proxy,sigma68,0.06180148074619826,0.052206785208874514,0.07864671382605123,616,8
run_heldout,energy_scale,mlp,single_proxy,sigma68,0.1458511382724593,0.08580002905721028,0.18692683354763592,3200,8
run_heldout,energy_scale,ridge,pileup_proxy,sigma68,0.05044314387696877,0.041621364760891226,0.06520413868377598,616,8
run_heldout,energy_scale,ridge,single_proxy,sigma68,0.14645031523477714,0.0880854053987942,0.22872400729061315,3200,8
run_heldout,energy_scale,spectral_transformer_new,pileup_proxy,sigma68,0.43749537085095186,0.40717140654685663,0.46497217271590974,616,8
run_heldout,energy_scale,spectral_transformer_new,single_proxy,sigma68,0.29458488420503737,0.2619651071260631,0.3229702759955241,3200,8
run_heldout,energy_scale,traditional_dE_E_tail_pedestal_likelihood,pileup_proxy,sigma68,0.05725455149810403,0.047805785666374896,0.07582001213862233,616,8
run_heldout,energy_scale,traditional_dE_E_tail_pedestal_likelihood,single_proxy,sigma68,0.12099612229667289,0.10839280809219815,0.14975305023566543,3200,8
run_heldout,pedestal_noise_color,1d_cnn,pileup_proxy,auc,0.6136447905079718,0.5173418536315331,0.685891585422796,616,8
run_heldout,pedestal_noise_color,1d_cnn,single_proxy,auc,0.7305660647945804,0.7112083455013847,0.7481499434996202,3200,8
run_heldout,pedestal_noise_color,gradient_boosted_trees,pileup_proxy,auc,0.9083858608330243,0.8499333972693401,0.9687790298907097,616,8
run_heldout,pedestal_noise_color,gradient_boosted_trees,single_proxy,auc,0.9521179910584208,0.9416828699349888,0.9594871638343807,3200,8
run_heldout,pedestal_noise_color,mlp,pileup_proxy,auc,0.5844147818563836,0.5337645911822688,0.65530253741054,616,8
run_heldout,pedestal_noise_color,mlp,single_proxy,auc,0.8727054195804196,0.8560932967952692,0.8878100265001968,3200,8
run_heldout,pedestal_noise_color,ridge,pileup_proxy,auc,0.7451798294401186,0.6730133375873005,0.8438618987295042,616,8
run_heldout,pedestal_noise_color,ridge,single_proxy,auc,0.9122396971518065,0.8940652723549769,0.925890683223591,3200,8
run_heldout,pedestal_noise_color,spectral_transformer_new,pileup_proxy,auc,0.5916450376962057,0.5034279014482937,0.6690231074486758,616,8
run_heldout,pedestal_noise_color,spectral_transformer_new,single_proxy,auc,0.8241891571969697,0.8015215159349187,0.8382559984673525,3200,8
run_heldout,pedestal_noise_color,traditional_dE_E_tail_pedestal_likelihood,pileup_proxy,auc,0.7607526881720431,0.6770399445454692,0.8449213683584202,616,8
run_heldout,pedestal_noise_color,traditional_dE_E_tail_pedestal_likelihood,single_proxy,auc,0.9118029187609267,0.8945847599223482,0.9250403806376799,3200,8
run_heldout,pid_separation,1d_cnn,pileup_proxy,auc,0.21989891579033177,0.16340066196109984,0.2809474330434696,616,8
run_heldout,pid_separation,1d_cnn,single_proxy,auc,0.636932999868369,0.6212371766838731,0.6652894491592909,3200,8
run_heldout,pid_separation,gradient_boosted_trees,pileup_proxy,auc,0.9992459444036847,0.9985703842595035,0.9996609490748495,616,8
run_heldout,pid_separation,gradient_boosted_trees,single_proxy,auc,0.9995998420429116,0.9993628806051366,0.9997935692492396,3200,8
run_heldout,pid_separation,mlp,pileup_proxy,auc,0.9851023070025271,0.9765666988227738,0.9925590732405892,616,8
run_heldout,pid_separation,mlp,single_proxy,auc,0.9869005309113246,0.9831619923606333,0.9900174340169249,3200,8
run_heldout,pid_separation,ridge,pileup_proxy,auc,0.991848047607402,0.9889048921339868,0.994043758285018,616,8
run_heldout,pid_separation,ridge,single_proxy,auc,0.9967903997191875,0.9952941335663813,0.9977362459304048,3200,8
run_heldout,pid_separation,spectral_transformer_new,pileup_proxy,auc,0.1132713784951496,0.08206039370270336,0.15948332250068503,616,8
run_heldout,pid_separation,spectral_transformer_new,single_proxy,auc,0.6122429906542056,0.5961383940508302,0.640660483502441,3200,8
run_heldout,pid_separation,traditional_dE_E_tail_pedestal_likelihood,pileup_proxy,auc,0.9924594440368468,0.9888179845220683,0.9955418349361386,616,8
run_heldout,pid_separation,traditional_dE_E_tail_pedestal_likelihood,single_proxy,auc,0.9971857312096881,0.9956329081498022,0.998202412179621,3200,8
run_heldout,pileup_sideband,1d_cnn,pileup_proxy,auc,,,,616,8
run_heldout,pileup_sideband,1d_cnn,single_proxy,auc,,,,3200,8
run_heldout,pileup_sideband,gradient_boosted_trees,pileup_proxy,auc,,,,616,8
run_heldout,pileup_sideband,gradient_boosted_trees,single_proxy,auc,,,,3200,8
run_heldout,pileup_sideband,mlp,pileup_proxy,auc,,,,616,8
run_heldout,pileup_sideband,mlp,single_proxy,auc,,,,3200,8
run_heldout,pileup_sideband,ridge,pileup_proxy,auc,,,,616,8
run_heldout,pileup_sideband,ridge,single_proxy,auc,,,,3200,8
run_heldout,pileup_sideband,spectral_transformer_new,pileup_proxy,auc,,,,616,8
run_heldout,pileup_sideband,spectral_transformer_new,single_proxy,auc,,,,3200,8
run_heldout,pileup_sideband,traditional_dE_E_tail_pedestal_likelihood,pileup_proxy,auc,,,,616,8
run_heldout,pileup_sideband,traditional_dE_E_tail_pedestal_likelihood,single_proxy,auc,,,,3200,8
run_heldout,pulse_shape_harmonics,1d_cnn,pileup_proxy,auc,0.8258305143551046,0.7978955051899946,0.8553274070364343,616,8
run_heldout,pulse_shape_harmonics,1d_cnn,single_proxy,auc,0.607287170251263,0.5698820772304326,0.6391415912297663,3200,8
run_heldout,pulse_shape_harmonics,gradient_boosted_trees,pileup_proxy,auc,1.0,0.9999999999999999,1.0,616,8
run_heldout,pulse_shape_harmonics,gradient_boosted_trees,single_proxy,auc,0.99998537467981,0.9999619024823334,1.0,3200,8
run_heldout,pulse_shape_harmonics,mlp,pileup_proxy,auc,0.9738919247115967,0.9613793639177952,0.9848154508393576,616,8
run_heldout,pulse_shape_harmonics,mlp,single_proxy,auc,0.9690413311548571,0.9563367631143181,0.9779978824450916,3200,8
run_heldout,pulse_shape_harmonics,ridge,pileup_proxy,auc,0.9698400307299605,0.9645909563186515,0.9767693494128044,616,8
run_heldout,pulse_shape_harmonics,ridge,single_proxy,auc,0.989995236324281,0.9860656561812994,0.9935046063365112,3200,8
run_heldout,pulse_shape_harmonics,spectral_transformer_new,pileup_proxy,auc,0.8308241329318612,0.7993174383668764,0.8545371553882379,616,8
run_heldout,pulse_shape_harmonics,spectral_transformer_new,single_proxy,auc,0.6354670282602972,0.5951158826972703,0.6721233528031595,3200,8
run_heldout,pulse_shape_harmonics,traditional_dE_E_tail_pedestal_likelihood,pileup_proxy,auc,0.971128706491704,0.9657811558329292,0.977053698279199,616,8
run_heldout,pulse_shape_harmonics,traditional_dE_E_tail_pedestal_likelihood,single_proxy,auc,0.9902929660567211,0.9860435334225873,0.9939306206336531,3200,8
run_heldout,saturation_clipping,1d_cnn,pileup_proxy,auc,0.7978924015529673,0.6914763399249494,0.9280400018513842,616,8
run_heldout,saturation_clipping,1d_cnn,single_proxy,auc,0.7682507844461215,0.6180147386751971,0.8314422384278349,3200,8
run_heldout,saturation_clipping,gradient_boosted_trees,pileup_proxy,auc,0.9930116472545758,0.9845813066085206,0.9997532894736842,616,8
run_heldout,saturation_clipping,gradient_boosted_trees,single_proxy,auc,0.998850992118657,0.9973606772047978,0.9997035470434605,3200,8
run_heldout,saturation_clipping,mlp,pileup_proxy,auc,0.6983361064891846,0.5,0.887461802303569,616,8
run_heldout,saturation_clipping,mlp,single_proxy,auc,0.7831070307934113,0.655464246119734,0.8664223422458054,3200,8
run_heldout,saturation_clipping,ridge,pileup_proxy,auc,0.8988352745424293,0.8220557753348043,0.9745388970715253,616,8
run_heldout,saturation_clipping,ridge,single_proxy,auc,0.8964360896282888,0.8420345694668283,0.9343005512596085,3200,8
run_heldout,saturation_clipping,spectral_transformer_new,pileup_proxy,auc,0.8339434276206322,0.6782966181611634,0.924820125994695,616,8
run_heldout,saturation_clipping,spectral_transformer_new,single_proxy,auc,0.740650480313665,0.6266709530838641,0.786555241084818,3200,8
run_heldout,saturation_clipping,traditional_dE_E_tail_pedestal_likelihood,pileup_proxy,auc,0.9071547420965057,0.8435077142433284,0.9652767743513706,616,8
run_heldout,saturation_clipping,traditional_dE_E_tail_pedestal_likelihood,single_proxy,auc,0.8920485817554572,0.8379327234719172,0.922702647974804,3200,8
