split_name,method,joint_loss,pid_separation,energy_scale,pileup_sideband,saturation_clipping,pedestal_noise_color,pulse_shape_harmonics,mean_joint_loss
particle_heldout,gradient_boosted_trees,0.05202958440109132,0.9588006230529594,0.1031598437847917,0.9987963377094898,0.9999267721148212,0.8315686034492138,0.9999147244302912,0.035919232450476665
run_heldout,gradient_boosted_trees,0.01980888049986201,0.9996184271176024,0.0797296460607828,0.9999604301948052,0.9985068318544016,0.948490813648294,0.9999939781190654,0.035919232450476665
particle_heldout,ridge,0.09343889255113862,0.9594801783641806,0.0822704488039016,0.9987437185929648,0.9370803478887838,0.608291170230129,0.8597182768058637,0.06770697609572635
run_heldout,ridge,0.04197505964031406,0.9967977251364736,0.1068047553300857,0.9988047889610392,0.8989560025692254,0.8990902168663103,0.9903800452071204,0.06770697609572635
particle_heldout,traditional_dE_E_tail_pedestal_likelihood,0.10452967710181016,0.9496197544438336,0.1132082050142179,0.9987345102475728,0.9295097111441576,0.5965399053370327,0.862679044586161,0.07343093931962083
run_heldout,traditional_dE_E_tail_pedestal_likelihood,0.042332201537431516,0.99716319908897,0.108084986404817,0.99885450487013,0.895604694272158,0.8995570973569366,0.9904682227493756,0.07343093931962083
particle_heldout,mlp,0.16474250079679428,0.8474451774479262,0.1096159416437149,0.964368307506117,0.7651300076607632,0.5427615472498776,0.9065359289852344,0.11564678970437153
run_heldout,mlp,0.06655107861194878,0.986891516937204,0.1067965085618198,0.9786749188311687,0.7779544705742706,0.8508913055809084,0.97636347213052,0.11564678970437153
particle_heldout,1d_cnn,0.20766488695473825,0.800003054181174,0.1714080640080972,0.981902970349128,0.7403902482988599,0.5381100048963604,0.8095585044984568,0.24361217925896705
run_heldout,1d_cnn,0.2795594715631958,0.6825104614800622,0.3687524548182051,0.9191375811688312,0.7841883921152735,0.6867487585662794,0.7900359377251485,0.24361217925896705
particle_heldout,spectral_transformer_new,0.24694111878422217,0.8116914055341763,0.3619051447477738,0.9930608540082612,0.6076787886981209,0.5544108046352212,0.8167516693545527,0.2469766400595501
run_heldout,spectral_transformer_new,0.24701216133487808,0.7050633676475905,0.3262185008827982,0.9844921875,0.7619051316838966,0.7709647173278193,0.8162134842818154,0.2469766400595501
