split_name,endpoint,method,stratum_axis,stratum,n,metric,value
particle_heldout,energy_scale,1d_cnn,tail_amplitude_bin,tail_high,1699,sigma68,0.16953970480812966
particle_heldout,energy_scale,1d_cnn,tail_amplitude_bin,tail_mid,60,sigma68,0.22062167667463564
particle_heldout,energy_scale,1d_cnn,pedestal_history_bin,pedestal_memory,483,sigma68,0.15512760236296996
particle_heldout,energy_scale,1d_cnn,pedestal_history_bin,pedestal_mid,687,sigma68,0.14837009560764994
particle_heldout,energy_scale,1d_cnn,pedestal_history_bin,pedestal_quiet,589,sigma68,0.259909896054624
particle_heldout,energy_scale,1d_cnn,pulse_shape_bin,low_harmonic,834,sigma68,0.17135327648376159
particle_heldout,energy_scale,1d_cnn,pulse_shape_bin,mid_harmonic,911,sigma68,0.1380701058972412
particle_heldout,energy_scale,1d_cnn,timing_residual_bin,timing_core,560,sigma68,0.15446182179418763
particle_heldout,energy_scale,1d_cnn,timing_residual_bin,timing_mid,488,sigma68,0.21028883675991014
particle_heldout,energy_scale,1d_cnn,timing_residual_bin,timing_tail,711,sigma68,0.15681747716970387
particle_heldout,energy_scale,1d_cnn,pileup_flag,pileup_proxy,764,sigma68,0.1588091870835872
particle_heldout,energy_scale,1d_cnn,pileup_flag,single_proxy,995,sigma68,0.1822081867309116
particle_heldout,energy_scale,1d_cnn,saturation_flag,linear_proxy,1707,sigma68,0.16917066089881372
particle_heldout,energy_scale,1d_cnn,saturation_flag,saturation_proxy,52,sigma68,0.29014821335169194
particle_heldout,energy_scale,1d_cnn,energy_bin,energy_high,1647,sigma68,0.15790817910203997
particle_heldout,energy_scale,1d_cnn,energy_bin,energy_low,23,sigma68,0.08072824099335932
particle_heldout,energy_scale,1d_cnn,energy_bin,energy_mid,89,sigma68,0.10747922603009538
particle_heldout,energy_scale,gradient_boosted_trees,tail_amplitude_bin,tail_high,1699,sigma68,0.1027250845389392
particle_heldout,energy_scale,gradient_boosted_trees,tail_amplitude_bin,tail_mid,60,sigma68,0.10846877202749074
particle_heldout,energy_scale,gradient_boosted_trees,pedestal_history_bin,pedestal_memory,483,sigma68,0.08046433780452694
particle_heldout,energy_scale,gradient_boosted_trees,pedestal_history_bin,pedestal_mid,687,sigma68,0.08331776834034471
particle_heldout,energy_scale,gradient_boosted_trees,pedestal_history_bin,pedestal_quiet,589,sigma68,0.16143567523351135
particle_heldout,energy_scale,gradient_boosted_trees,pulse_shape_bin,low_harmonic,834,sigma68,0.1086606410418416
particle_heldout,energy_scale,gradient_boosted_trees,pulse_shape_bin,mid_harmonic,911,sigma68,0.0913188283389513
particle_heldout,energy_scale,gradient_boosted_trees,timing_residual_bin,timing_core,560,sigma68,0.10640235833925367
particle_heldout,energy_scale,gradient_boosted_trees,timing_residual_bin,timing_mid,488,sigma68,0.11621758624485981
particle_heldout,energy_scale,gradient_boosted_trees,timing_residual_bin,timing_tail,711,sigma68,0.08025135431690235
particle_heldout,energy_scale,gradient_boosted_trees,pileup_flag,pileup_proxy,764,sigma68,0.07946106680581791
particle_heldout,energy_scale,gradient_boosted_trees,pileup_flag,single_proxy,995,sigma68,0.10677615456849343
particle_heldout,energy_scale,gradient_boosted_trees,saturation_flag,linear_proxy,1707,sigma68,0.09906960113719049
particle_heldout,energy_scale,gradient_boosted_trees,saturation_flag,saturation_proxy,52,sigma68,0.24169648779735348
particle_heldout,energy_scale,gradient_boosted_trees,energy_bin,energy_high,1647,sigma68,0.09713241366907036
particle_heldout,energy_scale,gradient_boosted_trees,energy_bin,energy_low,23,sigma68,0.08510190412698496
particle_heldout,energy_scale,gradient_boosted_trees,energy_bin,energy_mid,89,sigma68,0.13483779000849677
particle_heldout,energy_scale,mlp,tail_amplitude_bin,tail_high,1699,sigma68,0.10941093325614928
particle_heldout,energy_scale,mlp,tail_amplitude_bin,tail_mid,60,sigma68,0.17390824481844902
particle_heldout,energy_scale,mlp,pedestal_history_bin,pedestal_memory,483,sigma68,0.09222319155931473
particle_heldout,energy_scale,mlp,pedestal_history_bin,pedestal_mid,687,sigma68,0.09448161661624908
particle_heldout,energy_scale,mlp,pedestal_history_bin,pedestal_quiet,589,sigma68,0.16419702872633934
particle_heldout,energy_scale,mlp,pulse_shape_bin,low_harmonic,834,sigma68,0.10741189509630204
particle_heldout,energy_scale,mlp,pulse_shape_bin,mid_harmonic,911,sigma68,0.10997926071286201
particle_heldout,energy_scale,mlp,timing_residual_bin,timing_core,560,sigma68,0.11007232338190079
particle_heldout,energy_scale,mlp,timing_residual_bin,timing_mid,488,sigma68,0.10835190668702124
particle_heldout,energy_scale,mlp,timing_residual_bin,timing_tail,711,sigma68,0.09301678538322447
particle_heldout,energy_scale,mlp,pileup_flag,pileup_proxy,764,sigma68,0.0920141714811325
particle_heldout,energy_scale,mlp,pileup_flag,single_proxy,995,sigma68,0.10760990023612976
particle_heldout,energy_scale,mlp,saturation_flag,linear_proxy,1707,sigma68,0.10752524316310882
particle_heldout,energy_scale,mlp,saturation_flag,saturation_proxy,52,sigma68,0.2355593645572662
particle_heldout,energy_scale,mlp,energy_bin,energy_high,1647,sigma68,0.10315430521965026
particle_heldout,energy_scale,mlp,energy_bin,energy_low,23,sigma68,0.10950243741273882
particle_heldout,energy_scale,mlp,energy_bin,energy_mid,89,sigma68,0.15685144677758217
particle_heldout,energy_scale,ridge,tail_amplitude_bin,tail_high,1699,sigma68,0.08030219614505767
particle_heldout,energy_scale,ridge,tail_amplitude_bin,tail_mid,60,sigma68,0.16888394765555859
particle_heldout,energy_scale,ridge,pedestal_history_bin,pedestal_memory,483,sigma68,0.06084658741950988
