run,event_index,weak_label,weak_label_name,depth_idx,event_fraction,propensity_logit
59,2092,0,low_calibrated_range_energy_residual,3,0.049453925,1.0741736159328894
65,12951,0,low_calibrated_range_energy_residual,0,0.33716026,-4.618676023962108
35,14824,0,low_calibrated_range_energy_residual,0,0.53358287,-1.2238044688823961
61,5811,1,high_calibrated_range_energy_residual,3,0.15907474,2.5478186912673837
40,24039,1,high_calibrated_range_energy_residual,0,0.73741525,1.2721919152463796
55,22420,1,high_calibrated_range_energy_residual,0,0.91840076,4.075142284333245
35,14740,1,high_calibrated_range_energy_residual,0,0.53055936,1.197266702692242
63,24536,1,high_calibrated_range_energy_residual,0,0.6626516,0.9361039793763769
49,9210,1,high_calibrated_range_energy_residual,0,0.2846986,0.5863090101920755
64,22061,1,high_calibrated_range_energy_residual,2,0.61379445,-1.358507692474596
64,14617,0,low_calibrated_range_energy_residual,0,0.406683,-1.8135627443521796
59,5880,1,high_calibrated_range_energy_residual,3,0.13900052,1.1959585593828668
63,36965,1,high_calibrated_range_energy_residual,0,0.9983255,-2.4832526762138665
61,32838,0,low_calibrated_range_energy_residual,1,0.8989324,0.7797184364862727
32,28202,1,high_calibrated_range_energy_residual,0,0.67293423,4.575078109155169
59,16147,0,low_calibrated_range_energy_residual,1,0.38170773,-0.10129767001568826
60,21392,1,high_calibrated_range_energy_residual,0,0.59308547,-2.10930249606769
45,8400,1,high_calibrated_range_energy_residual,0,0.17435706,3.688851621393117
40,28183,0,low_calibrated_range_energy_residual,0,0.86453575,1.5879509866387436
40,23147,1,high_calibrated_range_energy_residual,0,0.71005243,0.38588890627924904
35,23420,1,high_calibrated_range_energy_residual,0,0.8429919,2.771536827453275
61,31226,0,low_calibrated_range_energy_residual,1,0.8548043,3.776078701967825
31,13870,1,high_calibrated_range_energy_residual,0,0.3468454,3.8610411037044683
39,9178,0,low_calibrated_range_energy_residual,0,0.30274442,1.7027993510134638
57,2573,0,low_calibrated_range_energy_residual,0,0.0822544,-0.6504207922246141
60,20796,0,low_calibrated_range_energy_residual,0,0.57656157,-2.1863872768801356
56,36882,0,low_calibrated_range_energy_residual,0,0.7118016,3.637489263862295
50,9357,1,high_calibrated_range_energy_residual,0,0.20885228,5.031437444486422
61,18940,1,high_calibrated_range_energy_residual,0,0.518478,-2.621232973358499
37,47377,0,low_calibrated_range_energy_residual,0,0.93793553,-0.8241029332717884
35,11703,1,high_calibrated_range_energy_residual,0,0.42124397,5.5521697876673555
39,10833,1,high_calibrated_range_energy_residual,0,0.35733607,5.472370499950912
40,14091,0,low_calibrated_range_energy_residual,0,0.43225253,2.3144600903073203
59,17202,0,low_calibrated_range_energy_residual,3,0.40664744,2.3054959989865793
61,32602,1,high_calibrated_range_energy_residual,2,0.89247197,1.526755795126623
63,2095,1,high_calibrated_range_energy_residual,0,0.056580335,-1.4262597283159069
56,29444,0,low_calibrated_range_energy_residual,0,0.56825244,5.2197213389121515
40,17135,0,low_calibrated_range_energy_residual,0,0.52562964,-0.961508421499481
65,24341,1,high_calibrated_range_energy_residual,0,0.6336822,-3.0265195827445974
36,15759,1,high_calibrated_range_energy_residual,0,0.72425205,5.357186564819101
54,14609,1,high_calibrated_range_energy_residual,0,0.39050013,3.867043230599251
37,41380,0,low_calibrated_range_energy_residual,0,0.8192113,2.1808736327077245
59,19776,1,high_calibrated_range_energy_residual,0,0.46749562,-1.1066232604262654
40,8311,1,high_calibrated_range_energy_residual,0,0.25494647,1.2985837490009304
55,9124,0,low_calibrated_range_energy_residual,0,0.37375063,3.924776389951592
35,25093,0,low_calibrated_range_energy_residual,0,0.9032107,1.8955316394953257
49,32012,0,low_calibrated_range_energy_residual,0,0.9895518,4.156123690913935
45,23195,0,low_calibrated_range_energy_residual,0,0.4814538,2.947702348993369
36,7578,1,high_calibrated_range_energy_residual,0,0.34826967,1.3132637608273885
65,10875,1,high_calibrated_range_energy_residual,0,0.28311464,-4.4040511830493
62,13396,1,high_calibrated_range_energy_residual,1,0.35651365,1.452179926412091
35,15872,0,low_calibrated_range_energy_residual,0,0.57130516,-0.2441450853046242
62,29803,0,low_calibrated_range_energy_residual,2,0.7931603,1.3439570598972226
59,34590,1,high_calibrated_range_energy_residual,0,0.81769186,-1.0470561163970895
37,12466,0,low_calibrated_range_energy_residual,0,0.24679284,0.2667582025738896
60,6511,1,high_calibrated_range_energy_residual,0,0.18051513,-0.8876520863615229
35,26266,1,high_calibrated_range_energy_residual,0,0.9454323,0.9797193125552079
62,13898,1,high_calibrated_range_energy_residual,0,0.36987358,-1.0416393880170065
40,21793,1,high_calibrated_range_energy_residual,0,0.6685174,2.1811381221182833
37,30500,0,low_calibrated_range_energy_residual,0,0.6038169,0.9857039132558499
39,29527,0,low_calibrated_range_energy_residual,0,0.97397417,0.17892492762339346
49,24731,1,high_calibrated_range_energy_residual,0,0.7644822,3.4863254919346804
49,9269,0,low_calibrated_range_energy_residual,0,0.28652242,-1.0425011329480949
64,20106,1,high_calibrated_range_energy_residual,0,0.5594013,1.1244872780791557
59,9218,1,high_calibrated_range_energy_residual,1,0.21790932,0.649542800716865
59,3660,0,low_calibrated_range_energy_residual,3,0.08652073,3.0715100517923215
57,1062,0,low_calibrated_range_energy_residual,0,0.03395032,-0.6395223711702905
42,19330,0,low_calibrated_range_energy_residual,0,0.56913203,2.8024758127467213
64,15533,1,high_calibrated_range_energy_residual,0,0.43216848,-1.0978750738274536
55,21746,0,low_calibrated_range_energy_residual,0,0.8907914,3.879565212010739
37,33840,1,high_calibrated_range_energy_residual,0,0.6699398,1.289264620375745
63,34342,1,high_calibrated_range_energy_residual,3,0.92748535,1.1769826277967028
57,22689,0,low_calibrated_range_energy_residual,0,0.72532845,0.15197114011337992
63,36427,0,low_calibrated_range_energy_residual,0,0.9837956,-0.7267390986452095
61,12360,1,high_calibrated_range_energy_residual,0,0.33835202,-1.0478362871357885
41,31457,0,low_calibrated_range_energy_residual,0,0.9253964,-0.3488412595944233
54,26019,1,high_calibrated_range_energy_residual,0,0.69549066,5.013389502389948
62,27479,0,low_calibrated_range_energy_residual,2,0.7313107,0.31163469911348607
33,39817,1,high_calibrated_range_energy_residual,0,0.6964545,3.114598803819402
39,16427,0,low_calibrated_range_energy_residual,1,0.5418591,3.5724256081015295
48,9966,0,low_calibrated_range_energy_residual,0,0.3142758,1.6412959458733871
61,24317,0,low_calibrated_range_energy_residual,0,0.66567206,-2.1790005776002515
50,17958,1,high_calibrated_range_energy_residual,0,0.40083033,6.140303669875154
49,19159,1,high_calibrated_range_energy_residual,0,0.5922411,-0.03265205376932207
42,21002,1,high_calibrated_range_energy_residual,0,0.61836064,3.627912499623741
61,11584,1,high_calibrated_range_energy_residual,1,0.31710923,2.9885295467467285
45,22659,1,high_calibrated_range_energy_residual,0,0.47032815,5.247674093763085
35,21153,0,low_calibrated_range_energy_residual,0,0.7613923,-0.4360174609096328
35,9500,1,high_calibrated_range_energy_residual,0,0.34194803,3.0577430170742588
60,33522,1,high_calibrated_range_energy_residual,0,0.92938536,-1.2877175093192041
31,23342,1,high_calibrated_range_energy_residual,0,0.5837105,4.563647481553279
59,28175,0,low_calibrated_range_energy_residual,1,0.6660442,1.6401317920030412
60,29986,1,high_calibrated_range_energy_residual,0,0.83135104,-2.1435586274752403
37,42315,0,low_calibrated_range_energy_residual,0,0.8377217,1.211587428082774
59,21035,0,low_calibrated_range_energy_residual,0,0.4972578,-0.5229739793758855
45,22637,1,high_calibrated_range_energy_residual,0,0.46987152,3.8883200261271775
48,22416,1,high_calibrated_range_energy_residual,0,0.706884,2.594782472677818
61,19574,0,low_calibrated_range_energy_residual,0,0.53583354,-3.3068640744407616
60,33081,1,high_calibrated_range_energy_residual,1,0.9171588,2.1418227082427532
61,14472,1,high_calibrated_range_energy_residual,1,0.39616755,1.4217689631337083
