run,depth_idx,negative_rows,positive_rows,matched_pairs,median_distance,p90_distance
31,0,6588,6588,8,0.4220293374676318,0.44339617800813264
31,1,94,94,1,0.39104048332714886,0.39104048332714886
31,2,34,34,0,,
31,3,18,18,0,,
32,0,6680,6680,7,0.3865058836958617,0.4271553174404048
32,1,99,99,0,,
32,2,31,31,0,,
32,3,18,18,0,,
33,0,11789,11789,2,0.3852607176369417,0.43334329164182117
33,1,83,83,0,,
33,2,37,37,0,,
33,3,24,24,0,,
34,0,8240,8240,3,0.31719424264072876,0.3681744341725458
34,1,58,58,0,,
34,2,29,29,0,,
34,3,18,18,1,0.4492853668806234,0.4492853668806234
35,0,2664,2664,12,0.2954701961497215,0.4344548185809585
35,1,59,59,1,0.20743549941692885,0.20743549941692885
35,2,22,22,0,,
35,3,12,12,0,,
36,0,2380,2380,9,0.39899511222885287,0.4269931046936762
36,1,49,49,0,,
36,2,23,23,0,,
37,0,5491,5491,22,0.3674192666450816,0.4334225594484465
37,1,151,151,1,0.4067176096167197,0.4067176096167197
37,2,62,62,0,,
37,3,30,30,0,,
39,0,3138,3138,16,0.35121054017094666,0.4298459880526625
39,1,97,97,1,0.3747288487978152,0.3747288487978152
39,2,37,37,0,,
39,3,19,19,0,,
40,0,3232,3232,20,0.35527066948342095,0.41287803710566434
40,1,100,100,0,,
40,2,42,42,0,,
40,3,20,20,0,,
41,0,3560,3560,14,0.35089637466992646,0.4394208373664922
41,1,116,116,0,,
41,2,42,42,0,,
41,3,22,22,0,,
42,0,4072,4072,7,0.39117513413508126,0.4276765125191889
42,1,106,106,0,,
42,2,43,43,0,,
42,3,22,22,0,,
44,0,449,449,3,0.41474287199918397,0.4411859434348528
44,1,13,13,0,,
45,0,5463,5463,15,0.39248350250494074,0.443179129433699
45,1,148,148,0,,
45,2,53,53,0,,
45,3,30,30,0,,
46,0,167,167,0,,
47,0,1259,1259,1,0.4498803047770066,0.4498803047770066
47,1,12,12,0,,
48,0,3117,3117,14,0.33467160431401705,0.42754578287555955
48,1,91,91,0,,
48,2,36,36,0,,
48,3,17,17,0,,
49,0,3288,3288,14,0.36146633373165116,0.4122136601615577
49,1,94,94,0,,
49,2,41,41,0,,
49,3,19,19,0,,
50,0,8351,8351,13,0.35161141547628433,0.4257586214606464
50,1,101,101,0,,
50,2,45,45,0,,
50,3,26,26,0,,
51,0,3474,3474,2,0.3873335739364409,0.3939935005387677
51,1,44,44,0,,
51,2,21,21,0,,
51,3,12,12,0,,
52,0,1687,1687,2,0.37810228778644217,0.42100327501418594
52,1,22,22,0,,
53,0,7664,7664,4,0.3405985507488568,0.4363854101858447
53,1,84,84,0,,
53,2,37,37,0,,
53,3,22,22,0,,
54,0,7238,7238,5,0.34098590276075524,0.3757848557261974
54,1,79,79,0,,
54,2,38,38,0,,
54,3,20,20,0,,
55,0,4090,4090,12,0.42035740874997807,0.44705722772975953
55,1,55,55,0,,
55,2,24,24,0,,
55,3,16,16,0,,
56,0,9469,9469,9,0.3058514766339807,0.3972529168394856
56,1,125,125,1,0.4242589020819115,0.4242589020819115
56,2,53,53,0,,
56,3,35,35,0,,
57,0,3038,3038,17,0.32992390044816805,0.44122558728151867
57,1,96,96,1,0.17833165618884994,0.17833165618884994
57,2,38,38,0,,
57,3,20,20,1,0.37528991046488225,0.37528991046488225
58,0,3803,3803,0,,
58,1,89,89,0,,
58,2,35,35,0,,
58,3,22,22,0,,
59,0,2260,2260,16,0.3919961763859786,0.4370590305108134
59,1,566,566,7,0.3880720887334713,0.42580794886169365
59,2,359,359,3,0.2817641045274707,0.40749511167179486
59,3,208,208,5,0.3005803708343034,0.3777976132389158
60,0,1468,1468,13,0.3782622526224795,0.4185457660693154
60,1,484,484,11,0.3651988086169063,0.43018816296992596
60,2,307,307,2,0.35396401188264226,0.4051769613521682
60,3,209,209,5,0.3149411054190723,0.3813715819447037
61,0,1663,1663,16,0.27772971643264976,0.42355919514038154
61,1,500,500,12,0.3539252315787902,0.42117281178564814
61,2,350,350,1,0.43331164246558684,0.43331164246558684
61,3,243,243,4,0.3214269302472163,0.4068259689520606
62,0,1871,1871,14,0.39464910115650204,0.4345691548412716
62,1,489,489,7,0.4059008987867891,0.41974385305667494
62,2,339,339,3,0.4179445024015412,0.43171610237327945
62,3,211,211,4,0.34531913169065703,0.42002406268288595
63,0,2994,2994,14,0.3808679899553091,0.4333180828489737
63,1,373,373,0,,
63,2,176,176,2,0.4306358557576297,0.4431334041997926
63,3,100,100,1,0.4164000686424828,0.4164000686424828
64,0,2560,2560,12,0.3445221560842152,0.40406758691760464
64,1,248,248,1,0.3554644246503032,0.3554644246503032
64,2,110,110,1,0.2836226578715449,0.2836226578715449
64,3,60,60,0,,
65,0,2742,2742,15,0.2784011079848306,0.405885556320628
65,1,132,132,0,,
65,2,50,50,0,,
65,3,20,20,0,,
