stratum,level,n_rows,n_runs,negative_rows,positive_rows,roc_auc,average_precision,purity_at_fixed_efficiency,calibration_slope,traditional_auc,nuisance_auc,shuffled_auc,waveform_minus_traditional_auc_lift
saturation,0,500,18,250,250,1.0,1.0,1.0,0.055894155216743756,0.99696,0.9867839999999999,0.520592,0.0030400000000000427
saturation,1,302,23,151,151,0.9950440770141661,0.9961656651837081,1.0,0.05770348634311554,0.9510547782991975,0.671681066619885,0.6125389237314153,0.043989298714968594
q_template,q2_of_3,267,26,126,141,0.9924575030958009,0.9949584323309248,1.0,0.06050340752508905,0.9512552065743554,0.8040639423618148,0.556850163233142,0.04120229652144558
q_template,q3_of_3,268,26,8,260,1.0,1.0,1.0,0.0665472051572146,0.7966346153846153,0.26298076923076924,0.8360576923076923,0.20336538461538467
run_family,sample_i_analysis,218,10,109,109,0.9999158320006734,0.9999165971643034,1.0,0.05719497115066316,0.9841764161265887,0.7842774177257807,0.6480094268159245,0.015739415874084672
run_family,sample_i_calib,246,10,123,123,0.9996695088902108,0.999673688403075,1.0,0.05811713555607943,0.9812942031859343,0.8701169938528653,0.6125983211051622,0.01837530570427648
run_family,sample_ii_analysis,310,6,155,155,0.9985848074921957,0.9988259127238914,1.0,0.055202882206996214,0.9917585848074921,0.9817273673257024,0.4875962539021853,0.0068262226847035645
run_family,sample_ii_calib,28,1,14,14,1.0,0.9999999999999998,1.0,0.054801148383932734,0.9897959183673469,0.9948979591836735,0.17091836734693874,0.010204081632653073
topology,0,648,27,324,324,0.9987616217040086,0.9989569675356893,1.0,0.05607021821420158,0.9865683584819388,0.879486739826246,0.5911494055784179,0.012193263222069817
topology,1,88,11,44,44,1.0,0.9999999999999999,1.0,0.06146467934863816,1.0,0.972107438016529,0.4917355371900826,0.0
topology,3,24,6,12,12,1.0,1.0,1.0,0.055547211913087396,0.9444444444444444,1.0,0.2361111111111111,0.05555555555555558
topology,7,42,7,21,21,1.0,1.0000000000000002,1.0,0.05531256428790828,0.9478458049886621,0.9909297052154195,0.3764172335600907,0.05215419501133789
depth,0,648,27,324,324,0.9987616217040086,0.9989569675356893,1.0,0.05607021821420158,0.9865683584819388,0.879486739826246,0.5911494055784179,0.012193263222069817
depth,1,88,11,44,44,1.0,0.9999999999999999,1.0,0.06146467934863816,1.0,0.972107438016529,0.4917355371900826,0.0
depth,2,24,6,12,12,1.0,1.0,1.0,0.055547211913087396,0.9444444444444444,1.0,0.2361111111111111,0.05555555555555558
depth,3,42,7,21,21,1.0,1.0000000000000002,1.0,0.05531256428790828,0.9478458049886621,0.9909297052154195,0.3764172335600907,0.05215419501133789
