heldout_run,status,train_negative,train_positive,test_negative,test_positive
31,evaluated,399,399,9,9
32,evaluated,401,401,7,7
33,skipped,406,406,2,2
34,evaluated,404,404,4,4
35,evaluated,395,395,13,13
36,evaluated,399,399,9,9
37,evaluated,385,385,23,23
39,evaluated,391,391,17,17
40,evaluated,388,388,20,20
41,evaluated,394,394,14,14
42,evaluated,401,401,7,7
44,evaluated,405,405,3,3
45,evaluated,393,393,15,15
47,skipped,407,407,1,1
48,evaluated,394,394,14,14
49,evaluated,394,394,14,14
50,evaluated,395,395,13,13
51,skipped,406,406,2,2
52,skipped,406,406,2,2
53,evaluated,404,404,4,4
54,evaluated,403,403,5,5
55,evaluated,396,396,12,12
56,evaluated,398,398,10,10
57,evaluated,389,389,19,19
59,evaluated,377,377,31,31
60,evaluated,377,377,31,31
61,evaluated,375,375,33,33
62,evaluated,380,380,28,28
63,evaluated,391,391,17,17
64,evaluated,394,394,14,14
65,evaluated,393,393,15,15
