covariate,negative_mean,positive_mean,standardized_mean_difference
log_b2_area,10.763424672332464,10.788942678301941,0.0835833935762295
log_even_total_charge,10.955061987334608,10.98381858479743,0.12471772120873617
event_fraction,0.5161381902455069,0.5172433522050542,0.003911494298134136
depth_idx,0.32107843137254904,0.32107843137254904,0.0
multiplicity,1.321078431372549,1.321078431372549,0.0
topology_code,0.5563725490196079,0.5563725490196079,0.0
downstream_charge_fraction,0.12266838085291537,0.123034446572288,0.0014885825685674306
saturated_count,0.3872549019607843,0.3872549019607843,0.0
b2_saturated,0.3872549019607843,0.3872549019607843,0.0
b2_width20,13.42156862745098,13.20343137254902,-0.18523686353082872
b2_tail_fraction,0.25329094452728684,0.3397622848769613,1.2438794737962362
propensity_logit,1.126372707366898,1.958072987613584,0.3272053106312247
