alpha,fold,sigma68_ns,n_pair_residuals
0.01,0,2.332269464857845,3018
0.01,1,1.8498404064723841,3534
0.01,2,1.9421578555212915,4710
0.01,-1,2.0414225756171738,0
0.1,0,2.330687510532985,3018
0.1,1,1.8489444770101278,3534
0.1,2,1.9418921699952556,4710
0.1,-1,2.040508052512789,0
1.0,0,2.3283899110814175,3018
1.0,1,1.8448001872810165,3534
1.0,2,1.9425281782853354,4710
1.0,-1,2.0385727588825895,0
10.0,0,2.3043583523021898,3018
10.0,1,1.839820539816835,3534
10.0,2,1.9369122934048928,4710
10.0,-1,2.027030395174639,0
100.0,0,2.232618930319319,3018
100.0,1,1.8170616380776747,3534
100.0,2,1.8791014950428462,4710
100.0,-1,1.97626068781328,0
