heldout_run,n_train,n_test,train_pos_frac,test_pos_frac
31,22654,720,0.5,0.5
32,22654,720,0.5,0.5
33,22654,720,0.5,0.5
34,22654,720,0.5,0.5
35,22654,720,0.5,0.5
36,22654,720,0.5,0.5
37,22654,720,0.5,0.5
39,22654,720,0.5,0.5
40,22654,720,0.5,0.5
41,22654,720,0.5,0.5
42,22654,720,0.5,0.5
44,22654,720,0.5,0.5
45,22654,720,0.5,0.5
46,23040,334,0.5,0.5
47,22654,720,0.5,0.5
48,22654,720,0.5,0.5
49,22654,720,0.5,0.5
50,22654,720,0.5,0.5
51,22654,720,0.5,0.5
52,22654,720,0.5,0.5
53,22654,720,0.5,0.5
54,22654,720,0.5,0.5
55,22654,720,0.5,0.5
56,22654,720,0.5,0.5
57,22654,720,0.5,0.5
58,22654,720,0.5,0.5
59,22654,720,0.5,0.5
60,22654,720,0.5,0.5
61,22654,720,0.5,0.5
62,22654,720,0.5,0.5
63,22654,720,0.5,0.5
64,22654,720,0.5,0.5
65,22654,720,0.5,0.5
