run,rows,high_drift_fraction,baseline_median_adc,abs_drift_median_adc,abs_drift_p90_adc,cfd_proxy_median_sample,energy_proxy_median_adc,pid_proxy_median_adc
31,1031,0.16197866149369544,6947.0,15.75,104.75,7.0,3355.0,3283.5
32,1019,0.1874386653581943,6941.25,17.0,230.6000000000003,6.0,3465.5,3291.0
33,1154,0.12478336221837089,6928.0,14.0,45.85000000000002,7.0,3366.25,3368.25
34,1033,0.1452081316553727,6930.5,14.5,62.25,7.0,3501.5,3496.0
35,935,0.20320855614973263,6938.0,16.75,378.7000000000008,7.0,3188.5,3086.5
36,894,0.18232662192393737,6932.0,16.0,196.40000000000214,7.0,3316.0,3214.25
37,1211,0.20809248554913296,6933.5,17.25,492.0,7.0,3217.5,3104.0
39,1081,0.2247918593894542,6932.0,18.5,505.0,7.0,3153.5,3065.5
40,1126,0.21758436944937834,6932.25,17.5,447.75,7.0,3105.25,3037.25
41,1125,0.23022222222222222,6935.0,18.5,576.8000000000004,7.0,3274.5,3160.5
42,1124,0.2117437722419929,6936.5,18.5,297.0000000000002,7.0,3261.0,3183.25
44,504,0.21626984126984128,6757.5,18.0,1031.7999999999997,6.0,3691.5,3492.5
45,1227,0.20048899755501223,6935.25,17.5,701.900000000001,7.0,3126.5,3063.0
46,362,0.13535911602209943,6754.0,13.5,46.80000000000007,6.0,4488.0,4422.25
47,510,0.12941176470588237,6754.0,14.5,59.82500000000002,6.0,3772.25,3610.75
48,1057,0.24314096499526963,6937.5,18.5,589.15,7.0,3150.5,3085.0
49,1096,0.2198905109489051,6933.5,18.25,627.5,7.0,3133.0,3042.25
50,1170,0.1752136752136752,6938.0,15.5,81.6500000000002,7.0,3418.5,3377.75
51,890,0.18089887640449437,6942.5,17.0,128.30000000000007,7.0,3595.25,3572.25
52,609,0.16091954022988506,6756.0,16.5,77.4000000000002,6.0,4811.0,4753.0
53,1116,0.17025089605734767,6939.5,16.5,118.5,7.0,3468.25,3466.75
54,1111,0.1782178217821782,6940.25,17.5,90.0,7.0,3512.5,3473.0
55,980,0.17142857142857143,6939.5,15.5,150.70000000000016,7.0,3540.25,3485.25
56,1222,0.1718494271685761,6937.25,15.75,87.22500000000002,7.0,3402.5,3335.5
57,1103,0.21033544877606528,6941.0,18.25,310.60000000000025,7.0,3076.0,3027.5
58,1099,0.1637852593266606,6937.0,14.5,213.60000000000002,7.0,3196.0,3153.0
59,1400,0.2592857142857143,6929.875,20.75,640.0500000000004,7.0,2918.25,2782.5
60,1400,0.2671428571428571,6931.375,20.5,939.0000000000007,7.0,3114.5,2974.75
61,1400,0.24285714285714285,6923.5,18.5,643.5250000000001,7.0,3089.25,2978.25
62,1400,0.24142857142857144,6927.625,18.25,803.3750000000002,7.0,2991.75,2885.0
63,1400,0.22071428571428572,6923.0,18.75,615.025000000003,7.0,2916.0,2797.25
64,1321,0.20968962906888722,6924.25,15.75,439.75,7.0,2835.5,2758.0
65,1128,0.19148936170212766,6932.0,15.75,326.0500000000009,8.0,2786.5,2740.75
