max_leaf_nodes,learning_rate,l2_regularization,cv_average_precision
15,0.08,0.1,0.9988353956455823
15,0.08,0.0,0.9987969003408796
15,0.04,0.1,0.9987243654175811
63,0.04,0.1,0.9987154670871085
31,0.04,0.0,0.998684054890962
31,0.08,0.0,0.9986163251035798
15,0.04,0.0,0.998534984647509
31,0.04,0.1,0.9980462049587243
31,0.08,0.1,0.9979674611935426
63,0.04,0.0,0.9977748711110724
63,0.08,0.1,0.9977564334660102
63,0.08,0.0,0.9976913479468831
