run,group,stave,selected_pulses,contamination_labels,median_s16f_pretrigger_score
31,sample_i_calib,B2,26948,315,0.3259166666666667
31,sample_i_calib,B4,592,15,0.13354166666666667
31,sample_i_calib,B6,237,5,0.11033333333333334
31,sample_i_calib,B8,94,0,0.08541666666666667
32,sample_i_calib,B2,27316,370,0.32233333333333336
32,sample_i_calib,B4,605,8,0.15141666666666664
32,sample_i_calib,B6,224,2,0.132125
32,sample_i_calib,B8,95,1,0.1605
33,sample_i_calib,B2,47724,82,0.16116666666666668
33,sample_i_calib,B4,559,7,0.10408333333333335
33,sample_i_calib,B6,318,1,0.10766666666666667
33,sample_i_calib,B8,136,2,0.09987500000000002
34,sample_i_calib,B2,33373,57,0.18741666666666668
34,sample_i_calib,B4,412,3,0.11066666666666668
34,sample_i_calib,B6,244,1,0.10533333333333335
34,sample_i_calib,B8,89,1,0.13166666666666668
35,sample_i_calib,B2,11029,234,0.20008333333333334
35,sample_i_calib,B4,403,8,0.15366666666666667
35,sample_i_calib,B6,163,1,0.12666666666666668
35,sample_i_calib,B8,72,2,0.09625
36,sample_i_calib,B2,9847,203,0.22916666666666669
36,sample_i_calib,B4,340,3,0.17900000000000002
36,sample_i_calib,B6,143,1,0.12475
36,sample_i_calib,B8,61,0,0.10566666666666667
37,sample_i_calib,B2,22956,617,0.22975
37,sample_i_calib,B4,997,10,0.14608333333333334
37,sample_i_calib,B6,423,5,0.11250000000000002
37,sample_i_calib,B8,161,1,0.11000000000000001
39,sample_i_calib,B2,13174,415,0.21845833333333337
39,sample_i_calib,B4,663,11,0.14700000000000002
39,sample_i_calib,B6,273,4,0.12733333333333335
39,sample_i_calib,B8,108,2,0.12587500000000001
40,sample_i_calib,B2,13575,382,0.20625000000000004
40,sample_i_calib,B4,707,5,0.18033333333333335
40,sample_i_calib,B6,310,0,0.12837500000000002
40,sample_i_calib,B8,116,2,0.10675000000000001
41,sample_i_calib,B2,14963,412,0.20933333333333334
41,sample_i_calib,B4,758,20,0.14891666666666667
41,sample_i_calib,B6,298,0,0.13245833333333334
41,sample_i_calib,B8,127,2,0.12041666666666667
42,sample_i_calib,B2,16977,414,0.2514166666666667
42,sample_i_calib,B4,711,10,0.16899999999999998
42,sample_i_calib,B6,307,2,0.13891666666666666
42,sample_i_calib,B8,117,1,0.11158333333333334
44,sample_i_analysis,B2,1884,49,0.21466666666666667
44,sample_i_analysis,B4,93,2,0.1379166666666667
44,sample_i_analysis,B6,44,0,0.10358333333333333
44,sample_i_analysis,B8,17,0,0.10316666666666667
45,sample_i_analysis,B2,22786,670,0.247375
45,sample_i_analysis,B4,969,22,0.16083333333333333
45,sample_i_analysis,B6,401,6,0.13666666666666666
45,sample_i_analysis,B8,177,3,0.10408333333333335
46,sample_i_analysis,B2,675,7,0.27025000000000005
46,sample_i_analysis,B4,7,0,0.08683333333333335
46,sample_i_analysis,B6,3,0,0.09625000000000002
46,sample_i_analysis,B8,2,0,0.07462500000000001
47,sample_i_analysis,B2,5116,52,0.3022916666666667
47,sample_i_analysis,B4,85,2,0.27608333333333335
47,sample_i_analysis,B6,50,0,0.13133333333333336
47,sample_i_analysis,B8,25,0,0.09500000000000001
48,sample_i_analysis,B2,13044,366,0.19954166666666667
48,sample_i_analysis,B4,599,5,0.19066666666666668
48,sample_i_analysis,B6,245,0,0.13508333333333333
48,sample_i_analysis,B8,112,0,0.12820833333333337
49,sample_i_analysis,B2,13779,390,0.2084166666666667
49,sample_i_analysis,B4,640,16,0.167875
49,sample_i_analysis,B6,281,2,0.13758333333333334
49,sample_i_analysis,B8,115,2,0.11941666666666667
50,sample_i_analysis,B2,34088,166,0.3337916666666667
50,sample_i_analysis,B4,659,11,0.13383333333333336
50,sample_i_analysis,B6,330,3,0.113625
50,sample_i_analysis,B8,140,0,0.09670833333333334
51,sample_i_analysis,B2,14200,118,0.3202916666666667
51,sample_i_analysis,B4,303,7,0.132
51,sample_i_analysis,B6,177,2,0.11758333333333335
51,sample_i_analysis,B8,60,0,0.10145833333333334
52,sample_i_analysis,B2,6893,62,0.33208333333333334
52,sample_i_analysis,B4,148,1,0.13008333333333333
52,sample_i_analysis,B6,76,0,0.13008333333333333
52,sample_i_analysis,B8,35,1,0.1699166666666667
53,sample_i_analysis,B2,31225,158,0.23883333333333334
53,sample_i_analysis,B4,559,6,0.12283333333333335
53,sample_i_analysis,B6,296,0,0.12712500000000002
53,sample_i_analysis,B8,120,2,0.12116666666666667
54,sample_i_analysis,B2,29493,123,0.2369166666666667
54,sample_i_analysis,B4,536,8,0.13108333333333333
54,sample_i_analysis,B6,298,2,0.11283333333333334
54,sample_i_analysis,B8,113,0,0.1085
55,sample_i_analysis,B2,16735,140,0.32400000000000007
55,sample_i_analysis,B4,372,0,0.12933333333333336
55,sample_i_analysis,B6,199,2,0.12633333333333335
55,sample_i_analysis,B8,81,0,0.12383333333333335
56,sample_i_analysis,B2,38730,207,0.41708333333333336
56,sample_i_analysis,B4,825,15,0.12758333333333335
56,sample_i_analysis,B6,421,4,0.12633333333333335
56,sample_i_analysis,B8,172,2,0.12366666666666667
57,sample_i_analysis,B2,12774,326,0.20083333333333336
57,sample_i_analysis,B4,656,10,0.15333333333333335
57,sample_i_analysis,B6,273,3,0.14925
57,sample_i_analysis,B8,130,2,0.11270833333333333
58,sample_ii_analysis,B2,15791,29,0.09783333333333334
58,sample_ii_analysis,B4,591,10,0.12258333333333335
58,sample_ii_analysis,B6,285,1,0.12291666666666667
58,sample_ii_analysis,B8,114,1,0.11708333333333334
59,sample_ii_analysis,B2,13565,382,0.15366666666666667
59,sample_ii_analysis,B4,4527,53,0.1474166666666667
59,sample_ii_analysis,B6,2366,16,0.15037499999999998
59,sample_ii_analysis,B8,919,12,0.13958333333333334
60,sample_ii_analysis,B2,9873,252,0.13666666666666666
60,sample_ii_analysis,B4,4040,75,0.15675
60,sample_ii_analysis,B6,2189,38,0.15808333333333335
60,sample_ii_analysis,B8,927,26,0.13608333333333333
61,sample_ii_analysis,B2,11015,230,0.13291666666666668
61,sample_ii_analysis,B4,4401,58,0.14391666666666666
61,sample_ii_analysis,B6,2490,30,0.14983333333333335
61,sample_ii_analysis,B8,1059,17,0.13508333333333333
62,sample_ii_analysis,B2,11635,263,0.13825
62,sample_ii_analysis,B4,4183,71,0.14708333333333334
62,sample_ii_analysis,B6,2342,25,0.14950000000000002
62,sample_ii_analysis,B8,929,17,0.14766666666666667
63,sample_ii_analysis,B2,14566,375,0.12666666666666668
63,sample_ii_analysis,B4,2645,37,0.1379166666666667
63,sample_ii_analysis,B6,1153,6,0.13666666666666666
63,sample_ii_analysis,B8,453,10,0.14075000000000001
64,sample_ii_calib,B2,11907,306,0.12225
64,sample_ii_calib,B4,1689,20,0.13758333333333334
64,sample_ii_calib,B6,763,7,0.1411666666666667
64,sample_ii_calib,B8,271,0,0.1335
65,sample_ii_analysis,B2,11768,294,0.11408333333333334
65,sample_ii_analysis,B4,842,10,0.12991666666666668
65,sample_ii_analysis,B6,323,1,0.1285
65,sample_ii_analysis,B8,105,0,0.10691666666666667
