method,family,n,positive_fraction,average_precision,roc_auc,balanced_accuracy,f1,run
hist_gradient_boosted_trees,ml,13833,0.02465119641437143,0.9986669322435333,0.9999654405825804,0.9866182240719601,0.9793510324483776,57
mlp,ml,13833,0.02465119641437143,0.9984581358624468,0.9999602240667436,0.9895137163936836,0.9809104258443465,57
one_dimensional_cnn,ml,13833,0.02465119641437143,0.9764360183869508,0.999636256697789,0.981848807113241,0.9605839416058394,57
ridge_logistic,ml,13833,0.02465119641437143,0.9688091585085234,0.9996037621512216,0.9789903737894423,0.960352422907489,57
score_residual_net,new_architecture,13833,0.02465119641437143,0.9618266801041844,0.9995714849594807,0.9863217520885625,0.967930029154519,57
traditional_s16f_pretrigger_score,traditional,13833,0.02465119641437143,0.2545406272911919,0.8715788350302949,0.5,0.0,57
hist_gradient_boosted_trees,ml,13038,0.023393158459886487,0.9997979284137108,0.9999951075880023,0.9917640106448585,0.99009900990099,65
mlp,ml,13038,0.023393158459886487,0.9995407790627977,0.999988927699163,0.9884067860329362,0.9834983498349835,65
score_residual_net,new_architecture,13038,0.023393158459886487,0.9995381959022445,0.9999884127084264,0.9884460540766022,0.9851239669421487,65
ridge_logistic,ml,13038,0.023393158459886487,0.9992287144073836,0.9999806878473774,0.9868459778579732,0.9850746268656717,65
one_dimensional_cnn,ml,13038,0.023393158459886487,0.9986316966704202,0.9999660106113841,0.9867674417706411,0.9818181818181817,65
traditional_s16f_pretrigger_score,traditional,13038,0.023393158459886487,0.4333672458586754,0.8932359829177572,0.5,0.0,65
