method,family,n,positive_fraction,average_precision,roc_auc,balanced_accuracy,f1,ap_ci_low,ap_ci_high
hist_gradient_boosted_trees,ml,26871,0.024040787466041456,0.9992932498413089,0.9999822918480523,0.989049692025724,0.984423676012461,0.9980799099252781,0.9999054466369908
mlp,ml,26871,0.024040787466041456,0.9990445401612227,0.9999761530220437,0.9889924946949328,0.982128982128982,0.9978556324515033,0.9997791425244171
one_dimensional_cnn,ml,26871,0.024040787466041456,0.9867988934703313,0.999797330200958,0.9841769398542619,0.9705426356589146,0.96952833639547,0.9992025320007768
ridge_logistic,ml,26871,0.024040787466041456,0.9833266563055766,0.9997915750515749,0.9827052153458845,0.97196261682243,0.9598285623641892,0.9996182922851109
score_residual_net,new_architecture,26871,0.024040787466041456,0.978603227612922,0.9997737193316943,0.9873301124172513,0.975987606506584,0.9470235168596809,0.9998035108848652
traditional_s16f_pretrigger_score,traditional,26871,0.024040787466041456,0.3173593537529327,0.8819777939774575,0.5,0.0,0.2395137336923751,0.4548112657762921
