run,weak_label_name,n
31,penetrating_like,155
31,terminal_b2_like,25877
32,penetrating_like,138
32,terminal_b2_like,26201
33,penetrating_like,187
33,terminal_b2_like,46905
34,penetrating_like,145
34,terminal_b2_like,32800
35,penetrating_like,115
35,terminal_b2_like,10243
36,penetrating_like,107
36,terminal_b2_like,9163
37,penetrating_like,290
37,terminal_b2_like,20949
39,penetrating_like,189
39,terminal_b2_like,11909
40,penetrating_like,214
40,terminal_b2_like,12213
41,penetrating_like,208
41,terminal_b2_like,13522
42,penetrating_like,214
42,terminal_b2_like,15589
44,penetrating_like,27
44,terminal_b2_like,1692
45,penetrating_like,279
45,terminal_b2_like,20762
46,penetrating_like,1
46,terminal_b2_like,650
47,penetrating_like,22
47,terminal_b2_like,4916
48,penetrating_like,172
48,terminal_b2_like,11837
49,penetrating_like,198
49,terminal_b2_like,12435
50,penetrating_like,206
50,terminal_b2_like,33085
51,penetrating_like,100
51,terminal_b2_like,13666
52,penetrating_like,50
52,terminal_b2_like,6643
53,penetrating_like,180
53,terminal_b2_like,30339
54,penetrating_like,176
54,terminal_b2_like,28688
55,penetrating_like,120
55,terminal_b2_like,16066
56,penetrating_like,265
56,terminal_b2_like,37417
57,penetrating_like,200
57,terminal_b2_like,11452
58,penetrating_like,200
58,terminal_b2_like,14899
59,penetrating_like,2160
59,terminal_b2_like,8417
60,penetrating_like,2024
60,terminal_b2_like,5450
61,penetrating_like,2319
61,terminal_b2_like,6190
62,penetrating_like,2152
62,terminal_b2_like,6994
63,penetrating_like,1040
63,terminal_b2_like,11390
64,penetrating_like,619
64,terminal_b2_like,9788
65,penetrating_like,249
65,terminal_b2_like,10404
