method,n_events,n_runs,positive_fraction,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,ap_ci_low,ap_ci_high,purity_at_80pct_eff,purity_ci_low,purity_ci_high,bootstrap_valid
traditional hand-shape logistic,174,12,0.5,0.9877130400317083,0.9756561273925455,0.9992771085443575,0.9836304319913944,0.9673172085311107,0.9992921963907847,0.971830985915493,0.9358870967741936,1.0,400
ML residual waveform PCA HGB,174,12,0.5,0.9895626899194081,0.9724268703803858,0.9992010622001515,0.9912540240569157,0.9763297633482498,0.9992089492889578,1.0,1.0,1.0,400
leakage sentinel: matched nuisance logistic,174,12,0.5,0.5143347866296737,0.48271463935903886,0.550658323588277,0.5186411320343542,0.5046606144579258,0.5528932146885687,0.48936170212765956,0.47585576114381833,0.5,400
leakage sentinel: run-only logistic,174,12,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,400
leakage sentinel: match-cell logistic,174,12,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,400
leakage sentinel: shuffled-label HGB,174,12,0.5,0.49715946624388957,0.3883496373756114,0.6070269807953693,0.5210588527930784,0.44378987856211477,0.631390228132586,0.5,0.4499903100775194,0.5492220061128091,400
