match_cell,run,group,amp_bin,charge_bin,event_bin,negative_rows,positive_rows,matched_pairs,median_distance,p90_distance
sample_i_calib|a0|q0|e0,31,sample_i_calib,0,0,0,377,0,0,,
sample_i_calib|a0|q0|e1,31,sample_i_calib,0,0,1,280,0,0,,
sample_i_calib|a0|q0|e2,31,sample_i_calib,0,0,2,233,0,0,,
sample_i_calib|a0|q0|e3,31,sample_i_calib,0,0,3,294,0,0,,
sample_i_calib|a0|q0|e4,31,sample_i_calib,0,0,4,377,1,0,,
sample_i_calib|a0|q0|e5,31,sample_i_calib,0,0,5,281,1,1,0.15789503419078416,0.15789503419078416
sample_i_calib|a0|q1|e0,31,sample_i_calib,0,1,0,8,0,0,,
sample_i_calib|a0|q1|e1,31,sample_i_calib,0,1,1,14,1,0,,
sample_i_calib|a0|q1|e2,31,sample_i_calib,0,1,2,2,1,0,,
sample_i_calib|a0|q1|e3,31,sample_i_calib,0,1,3,10,1,0,,
sample_i_calib|a0|q1|e4,31,sample_i_calib,0,1,4,11,1,0,,
sample_i_calib|a0|q1|e5,31,sample_i_calib,0,1,5,17,0,0,,
sample_i_calib|a0|q2|e0,31,sample_i_calib,0,2,0,0,1,0,,
sample_i_calib|a0|q2|e1,31,sample_i_calib,0,2,1,0,3,0,,
sample_i_calib|a0|q2|e3,31,sample_i_calib,0,2,3,0,1,0,,
sample_i_calib|a0|q3|e4,31,sample_i_calib,0,3,4,0,2,0,,
sample_i_calib|a0|q3|e5,31,sample_i_calib,0,3,5,0,1,0,,
sample_i_calib|a0|q4|e4,31,sample_i_calib,0,4,4,0,1,0,,
sample_i_calib|a0|q5|e4,31,sample_i_calib,0,5,4,0,1,0,,
sample_i_calib|a0|q5|e5,31,sample_i_calib,0,5,5,0,1,0,,
sample_i_calib|a0|q6|e2,31,sample_i_calib,0,6,2,0,1,0,,
sample_i_calib|a0|q6|e3,31,sample_i_calib,0,6,3,0,1,0,,
sample_i_calib|a0|q7|e0,31,sample_i_calib,0,7,0,0,3,0,,
sample_i_calib|a0|q7|e1,31,sample_i_calib,0,7,1,0,2,0,,
sample_i_calib|a0|q7|e2,31,sample_i_calib,0,7,2,0,2,0,,
