heldout_run,status,train_negative,train_positive,test_negative,test_positive
31,skipped,126,126,1,1
32,evaluated,122,122,5,5
34,skipped,125,125,2,2
35,skipped,125,125,2,2
36,skipped,125,125,2,2
37,evaluated,122,122,5,5
39,skipped,125,125,2,2
40,skipped,123,123,4,4
41,skipped,123,123,4,4
42,evaluated,121,121,6,6
45,skipped,125,125,2,2
48,skipped,124,124,3,3
49,evaluated,121,121,6,6
50,skipped,124,124,3,3
51,skipped,125,125,2,2
53,skipped,126,126,1,1
54,skipped,125,125,2,2
55,skipped,124,124,3,3
56,skipped,123,123,4,4
57,evaluated,122,122,5,5
58,evaluated,120,120,7,7
59,evaluated,122,122,5,5
60,evaluated,114,114,13,13
61,evaluated,114,114,13,13
62,evaluated,117,117,10,10
63,evaluated,121,121,6,6
64,evaluated,121,121,6,6
65,skipped,124,124,3,3
