run,event_index,weak_label,weak_label_name,group,match_cell,b2_amplitude_adc,total_charge_adc_samples,event_fraction
63,698,1,penetrating_like,sample_ii_analysis,sample_ii_analysis|a1|q1|e0,2924.0,20281.0,0.018851109
37,40722,0,terminal_b2_like,sample_i_calib,sample_i_calib|a0|q0|e4,2490.0,14746.0,0.80618465
60,15517,0,terminal_b2_like,sample_ii_analysis,sample_ii_analysis|a0|q0|e2,2570.5,18176.0,0.43025094
58,14427,1,penetrating_like,sample_ii_analysis,sample_ii_analysis|a1|q1|e2,3078.5,23821.0,0.42259586
39,4258,0,terminal_b2_like,sample_i_calib,sample_i_calib|a0|q0|e0,1273.0,9105.0,0.14045389
32,37764,0,terminal_b2_like,sample_i_calib,sample_i_calib|a0|q0|e5,1918.0,8798.0,0.90092325
63,10877,0,terminal_b2_like,sample_ii_analysis,sample_ii_analysis|a3|q3|e1,5533.5,47745.0,0.2937586
62,8822,0,terminal_b2_like,sample_ii_analysis,sample_ii_analysis|a1|q1|e1,3014.5,22417.0,0.23475878
45,4651,0,terminal_b2_like,sample_i_analysis,sample_i_analysis|a0|q0|e0,2463.0,18457.0,0.09653583
36,3431,1,penetrating_like,sample_i_calib,sample_i_calib|a0|q0|e0,1340.0,10325.0,0.15768188
61,35101,1,penetrating_like,sample_ii_analysis,sample_ii_analysis|a0|q0|e5,2658.5,17242.5,0.9608815
60,2738,1,penetrating_like,sample_ii_analysis,sample_ii_analysis|a1|q1|e0,2859.0,19789.0,0.07591848
62,17574,1,penetrating_like,sample_ii_analysis,sample_ii_analysis|a0|q0|e2,1362.0,7814.0,0.4676548
61,22158,0,terminal_b2_like,sample_ii_analysis,sample_ii_analysis|a1|q1|e3,2922.0,20720.5,0.60656995
61,29450,0,terminal_b2_like,sample_ii_analysis,sample_ii_analysis|a1|q1|e4,3671.5,30595.5,0.8061867
40,2685,1,penetrating_like,sample_i_calib,sample_i_calib|a0|q0|e0,1528.5,7041.0,0.08233418
35,1412,1,penetrating_like,sample_i_calib,sample_i_calib|a0|q0|e0,1549.5,10412.5,0.050822444
61,14273,1,penetrating_like,sample_ii_analysis,sample_ii_analysis|a1|q1|e2,3481.5,29893.0,0.39071995
54,29643,1,penetrating_like,sample_i_analysis,sample_i_analysis|a1|q1|e4,3554.5,31811.0,0.7923394
60,10361,0,terminal_b2_like,sample_ii_analysis,sample_ii_analysis|a0|q0|e1,1890.0,10110.0,0.28728685
60,10669,1,penetrating_like,sample_ii_analysis,sample_ii_analysis|a0|q0|e1,1704.5,11584.0,0.29582697
65,258,1,penetrating_like,sample_ii_analysis,sample_ii_analysis|a1|q0|e0,2980.0,18178.5,0.0067152525
63,11010,1,penetrating_like,sample_ii_analysis,sample_ii_analysis|a3|q3|e1,5505.0,48134.0,0.2973506
32,11641,1,penetrating_like,sample_i_calib,sample_i_calib|a4|q4|e1,6241.0,52125.5,0.27771547
50,43820,0,terminal_b2_like,sample_i_analysis,sample_i_analysis|a1|q1|e5,3114.5,24045.5,0.97805953
62,17353,0,terminal_b2_like,sample_ii_analysis,sample_ii_analysis|a0|q0|e2,1547.5,10925.0,0.46177387
60,31262,1,penetrating_like,sample_ii_analysis,sample_ii_analysis|a1|q0|e5,2698.0,17329.0,0.8668238
64,20191,0,terminal_b2_like,sample_ii_calib,sample_ii_calib|a0|q0|e3,1754.0,8641.0,0.5617662
58,31874,1,penetrating_like,sample_ii_analysis,sample_ii_analysis|a0|q0|e5,2048.5,12535.0,0.9336536
56,49891,0,terminal_b2_like,sample_i_analysis,sample_i_analysis|a0|q0|e5,2383.0,16392.0,0.96273786
49,27204,0,terminal_b2_like,sample_i_analysis,sample_i_analysis|a0|q0|e5,1457.0,13884.0,0.8408494
58,4678,0,terminal_b2_like,sample_ii_analysis,sample_ii_analysis|a1|q1|e0,3088.0,23360.5,0.13702804
57,4525,0,terminal_b2_like,sample_i_analysis,sample_i_analysis|a7|q7|e0,8868.0,67182.0,0.1446565
41,18327,0,terminal_b2_like,sample_i_calib,sample_i_calib|a0|q0|e3,1537.5,12340.5,0.5391087
62,31930,0,terminal_b2_like,sample_ii_analysis,sample_ii_analysis|a0|q0|e5,1858.5,9288.5,0.84967667
40,13031,1,penetrating_like,sample_i_calib,sample_i_calib|a1|q0|e2,2931.0,19099.5,0.3995891
51,16681,1,penetrating_like,sample_i_analysis,sample_i_analysis|a0|q0|e4,1461.0,9184.5,0.81105655
41,28023,1,penetrating_like,sample_i_calib,sample_i_calib|a1|q1|e4,3596.0,32528.0,0.8243271
64,21834,0,terminal_b2_like,sample_ii_calib,sample_ii_calib|a1|q1|e3,2896.0,22518.0,0.60747874
60,19822,0,terminal_b2_like,sample_ii_analysis,sample_ii_analysis|a0|q0|e3,1492.0,5907.5,0.5496187
45,4469,1,penetrating_like,sample_i_analysis,sample_i_analysis|a0|q0|e0,2424.5,19664.5,0.09275825
62,14844,1,penetrating_like,sample_ii_analysis,sample_ii_analysis|a0|q1|e2,2541.5,20596.5,0.39500785
41,15475,1,penetrating_like,sample_i_calib,sample_i_calib|a1|q1|e2,2803.0,20803.5,0.455214
58,5221,1,penetrating_like,sample_ii_analysis,sample_ii_analysis|a0|q0|e0,2607.5,10877.5,0.1529336
51,2920,1,penetrating_like,sample_i_analysis,sample_i_analysis|a0|q0|e0,2093.5,14279.5,0.14197502
56,25730,1,penetrating_like,sample_i_analysis,sample_i_analysis|a0|q0|e2,2468.5,19291.0,0.4965073
61,31208,1,penetrating_like,sample_ii_analysis,sample_ii_analysis|a0|q0|e5,1685.0,6438.5,0.8543115
