max_depth,min_samples_leaf,n_estimators,roc_auc,average_precision,brier
5,20,300,0.8425354901667487,0.30365751331005403,0.10825605096989348
4,30,250,0.8305525282959734,0.2880178865058997,0.12660041561854615
3,40,200,0.8116335805001744,0.2486334266521368,0.14615896362951164
