run,group,events_total,selected_pulses,downstream_ge2_events,clean_events,tail_events,ambiguous_events
31,sample_i_calib,39990,27871,166,93,2,71
32,sample_i_calib,41921,28240,154,94,4,56
33,sample_i_calib,57173,48737,194,99,3,92
34,sample_i_calib,39765,34118,153,83,2,68
35,sample_i_calib,27786,11667,123,73,3,47
36,sample_i_calib,21764,10391,116,73,1,42
37,sample_i_calib,50513,24537,313,187,4,122
39,sample_i_calib,30321,14218,212,113,5,94
40,sample_i_calib,32613,14708,231,129,6,96
41,sample_i_calib,33997,16146,223,126,5,92
42,sample_i_calib,33972,18112,231,124,2,105
44,sample_i_analysis,4294,2038,31,20,1,10
45,sample_i_analysis,48181,24333,306,182,7,117
46,sample_i_analysis,1441,687,1,0,0,1
47,sample_i_analysis,10970,5276,26,14,0,12
48,sample_i_analysis,31713,14000,190,112,1,77
49,sample_i_analysis,32354,14815,210,117,4,89
50,sample_i_analysis,44804,35217,215,119,2,94
51,sample_i_analysis,20569,14740,106,60,4,42
52,sample_i_analysis,10005,7152,51,29,1,21
53,sample_i_analysis,39612,32200,189,102,1,86
54,sample_i_analysis,37413,30440,181,101,5,75
55,sample_i_analysis,24416,17387,129,70,1,58
56,sample_i_analysis,51823,40148,276,158,6,112
57,sample_i_analysis,31284,13833,219,135,2,82
58,sample_ii_analysis,34141,16781,207,112,5,90
59,sample_ii_analysis,42303,21377,2227,1254,31,942
60,sample_ii_analysis,36074,17029,2084,1217,33,834
61,sample_ii_analysis,36535,18965,2379,1614,45,720
62,sample_ii_analysis,37584,19089,2219,1257,22,940
63,sample_ii_analysis,37030,18817,1076,562,19,495
64,sample_ii_calib,35943,14630,650,375,16,259
65,sample_ii_analysis,38424,13038,266,154,0,112
