fold,test_runs,train_n,test_n,test_tail,test_clean,traditional_cut_feature,traditional_cut_direction,traditional_cut_threshold,traditional_train_clean_retain
1,61,5920,1659,45,1614,q_downstream_max,1,0.5092973656977483,0.9499393729430106
2,"44,48,51,59",6096,1483,37,1446,q_downstream_max,1,0.5050225241343342,0.9498485358465163
3,"47,55,58,62",6098,1481,28,1453,q_downstream_max,1,0.4876943310448994,0.9499494438827099
4,"49,53,60",6105,1474,38,1436,q_downstream_max,1,0.48442131904579266,0.9499243824567299
5,"45,50,52,54,56,57,63,65",6097,1482,42,1440,q_downstream_max,1,0.5042966009971411,0.9498991257565568
