method,n_eval,brier,log_loss,ece_10bin,auc,calibration_slope,calibration_intercept,true_high_minus_low_downstream,pred_high_minus_low_downstream,abs_delta_error,pred_high_over_low,true_high_over_low,brier_ci_low,brier_ci_high,log_loss_ci_low,log_loss_ci_high,ece_10bin_ci_low,ece_10bin_ci_high,auc_ci_low,auc_ci_high,abs_delta_error_ci_low,abs_delta_error_ci_high,pred_high_minus_low_downstream_ci_low,pred_high_minus_low_downstream_ci_high,pred_high_over_low_ci_low,pred_high_over_low_ci_high
amplitude_only_ridge_control,3500,0.024627617413689483,0.11836886703464117,0.006571993703260789,0.556548707255772,0.5495471785591081,-1.6844652216353646,0.018000000000000002,-4.699787890909135e-07,0.018000469978789093,0.9999845923052505,2.8,0.018580486983616397,0.03126394140571479,0.09627346313735327,0.1432304038866991,0.0018458649137012089,0.01398246221298979,0.486410681390685,0.6267650820026829,0.0014359767097126572,0.03362439926753883,-0.004355162868771395,0.005891558005850484,0.8689330387410092,1.212100567478843
cnn1d,3500,0.024986900850138626,0.12299118126452153,0.004380202808970352,0.435968891128833,-0.02917490868564721,-3.752392303040673,0.018000000000000002,-0.001175879087519812,0.019175879087519814,0.9618427602758064,2.8,0.018259743496962473,0.030190773866831253,0.09626055221323662,0.14410938034213217,0.0003718521435828224,0.013864652352115227,0.385479929066721,0.515604971415637,0.003519208923253607,0.03654894466757038,-0.008433226954112619,0.005918243351366438,0.7614418416953994,1.225177931856886
cwola_only_ridge_control,3500,0.025243972159163963,0.1502617536210365,0.00258946941164738,0.47313878759729755,-0.018825497999629195,-3.7376338406315055,0.018000000000000002,0.005907195121632496,0.012092804878367506,1.2573410766425546,2.8,0.01816509047607874,0.031733653023671364,0.10703613471065221,0.2069481975588914,5.9906993776182634e-05,0.015592081971530709,0.40511654827500265,0.5450800077451103,0.0006033512670842643,0.03630295696880736,-0.008823698178961274,0.02344667015627965,0.7282710032505239,3.311376061296551
gradient_boosted_trees,3500,0.030457538746895347,0.2621113639907116,0.02967107269179404,0.6073427345106216,0.17345543208705264,-2.2521881142181646,0.018000000000000002,0.008041873311283622,0.00995812668871638,1.894349584252083,2.8,0.023892411794453908,0.037150219479368064,0.20871416250484853,0.325073228055838,0.023333178769063188,0.037571343816925055,0.5524668470107423,0.6678757636294947,0.0008515912833398081,0.01864590474889889,0.0038208355270413458,0.013121703947425054,1.404948725970131,2.5237527904816908
hybrid_cnn_score_gate,3500,0.025530247677726995,0.12758863901623352,0.003507763485324439,0.43460516043599856,-0.12088260710711039,-4.102440731606433,0.018000000000000002,0.00017983795572702743,0.017820162044272975,1.0062898631693697,2.8,0.01696495400594907,0.03338181628399753,0.0937424493819421,0.1552801390950102,0.0026624536435616132,0.013813174648552636,0.3645338136635725,0.5289692723225261,0.0013343241659634132,0.03796630691927482,-0.009109943653791535,0.010010303915235264,0.7409164920760388,1.4589422489968835
mlp,3500,0.02503022393920964,0.13292524771212103,0.002885650936999686,0.4172143000668689,-0.20048606593034207,-4.423659488204556,0.018000000000000002,-0.0005255989192611901,0.018525598919261192,0.9817276638907022,2.8,0.01779731572006226,0.031287751013538936,0.10398015712377003,0.16036874940485105,0.0003958881384954814,0.013905349280609013,0.3417318721113128,0.4773409068204199,0.002788279485147277,0.038514011525706306,-0.010114839547101642,0.008127870294843265,0.7179283771392466,1.3750686499806801
ridge,3500,0.024943791636008125,0.1423903344053419,0.004843576712556885,0.5782695772764256,0.08546514772063524,-3.255948478796091,0.018000000000000002,0.009160000594793924,0.008839999405206078,1.4085507057258684,2.8,0.017422000278694803,0.03125454559006448,0.10597391498389921,0.18830392868945078,0.0021347631476704293,0.017213995457507958,0.4952210970051102,0.661488180039531,0.0007925252615923851,0.033365817451385324,-0.006042725324218408,0.02387126234913782,0.8190450363044902,3.085207684577286
shuffled_current_control,3500,0.025061295342560144,0.12699640231730663,0.003178688463928707,0.4612967300109691,0.006446193783363636,-3.62125553276013,0.018000000000000002,-5.071429387090709e-06,0.018005071429387093,0.9998227492284207,2.8,0.018934874169306174,0.031754218623248155,0.10421000216161477,0.14991290819045067,0.00020945057141155308,0.011355601752597009,0.382398336470087,0.5324788242160305,0.0019123458601435213,0.036517405706882014,-0.008709528592734288,0.007190758247887023,0.7453243741208302,1.312306311583876
topology_rate_only_control,3500,0.024884232804232805,0.12023478904178585,0.0031428571428571417,0.49382368345636557,0.08395970452244567,-3.343697156804352,0.018000000000000002,0.01777777777777778,0.00022222222222222088,2.3333333333333335,2.8,0.018188218694885364,0.0302452204585538,0.09520716059782112,0.13998857747640292,0.00041269841269840624,0.010920634920634921,0.4193548387096774,0.5919168897067024,0.0006464646464646555,0.0214017094017094,0.008888888888888884,0.02555555555555556,1.4444444444444442,4.833333333333334
traditional_stratified,3500,0.024871645392681274,0.12355747109839438,0.0048976589810260825,0.669963996192095,0.3150706016688077,-2.3826025764020375,0.018000000000000002,0.0019256317813051635,0.01607436821869484,1.0671520670062284,2.8,0.017492678183295782,0.030700593702273155,0.09375262792015977,0.14716177639678188,0.0012948089967784605,0.013002636095514844,0.5991002156472838,0.7219964102071487,0.002594178125938921,0.03296265404152775,-0.0038344343451587846,0.007574377942923146,0.883605823063462,1.3103254375606401
