run,current_group,high_current,events_with_selected,selected_pulses,downstream_events,multi_stave_events,downstream_per_selected_event,multi_stave_per_selected_event,b2_events,b2_downstream_events
44,high_20nA,1,1912,2038,116,90,0.060669456066945605,0.04707112970711297,1884,88
45,high_20nA,1,23013,24333,1147,944,0.04984139399469865,0.041020292877938555,22786,920
46,low_2nA,0,677,687,10,8,0.014771048744460856,0.011816838995568686,675,8
47,low_2nA,0,5161,5276,125,83,0.02422011238132145,0.016082154621197442,5116,80
48,high_20nA,1,13185,14000,708,584,0.05369738339021615,0.04429275692074327,13044,567
49,high_20nA,1,13937,14815,770,623,0.055248618784530384,0.04470115519839277,13779,612
50,high_20nA,1,34257,35217,854,691,0.024929211548004787,0.020171059929357502,34088,685
51,high_20nA,1,14295,14740,400,308,0.027981811822315496,0.021545995103182933,14200,305
52,high_20nA,1,6933,7152,186,147,0.026828212894850715,0.02120294244915621,6893,146
53,high_20nA,1,31386,32200,727,567,0.02316319378066654,0.01806537946855286,31225,566
54,high_20nA,1,29665,30440,716,547,0.024136187426259902,0.01843923815944716,29493,544
55,high_20nA,1,16841,17387,479,379,0.028442491538507215,0.022504601864497358,16735,373
56,high_20nA,1,38932,40148,1050,854,0.026970101715812184,0.021935682728860578,38730,848
57,high_20nA,1,12939,13833,776,627,0.05997372285338898,0.048458149779735685,12774,611
