method,roc_auc,average_precision,brier,roc_auc_ci95_low,roc_auc_ci95_high,average_precision_ci95_low,average_precision_ci95_high,brier_ci95_low,brier_ci95_high,rank_by_average_precision
gradient_boosted_trees,0.9986446600026663,0.9831388193105115,0.008524648664647536,0.9986180049595825,0.9987422886697105,0.9825292516600598,0.9850000150924714,0.008317327619961049,0.008865969342864568,1
ridge,0.9904425014322222,0.9402656885552972,0.01746692826788552,0.9894274695952611,0.9917642449716656,0.9303517779549128,0.946692650920476,0.015829011476482503,0.018178401858125387,2
mlp,0.9913161610236035,0.9162376142410176,0.013842516514546824,0.9909063723085113,0.9925173121350331,0.897240592492784,0.940407228047449,0.010821885298587115,0.017795615242007026,3
traditional_topology,0.8704377374382518,0.2666271265696952,0.12210779933414999,0.8672969128566806,0.8725136638474681,0.26224716888648936,0.27387523782775486,0.1199931345008194,0.12419562990081504,4
deepsets_layer_pool,0.3085220935564026,0.05343591474693107,0.19970381288681008,0.1075730421585358,0.3085220935564026,0.04358136569080541,0.05375015494827395,0.17961181052573477,0.214630237206135,5
cnn_1d,0.07803887353323441,0.04320453673371195,0.23565871874638245,0.03306482826018964,0.10463253213173908,0.04167678643498443,0.04587617882685285,0.23442116049196368,0.23811642643732114,6
