run,current_group,events_total,events_with_selected,selected_pulses,multi_stave_events,three_stave_events,downstream_events,B2,B4,B6,B8
31,not_in_current_panel,39990,27078,27871,589,159,710,26948,592,237,94
32,not_in_current_panel,41921,27461,28240,598,141,730,27316,605,224,95
33,not_in_current_panel,57173,47911,48737,577,191,760,47724,559,318,136
34,not_in_current_panel,39765,33500,34118,417,151,542,33373,412,244,89
35,not_in_current_panel,27786,11141,11667,374,117,479,11029,403,163,72
36,not_in_current_panel,21764,9930,10391,332,107,406,9847,340,143,61
37,not_in_current_panel,50513,23174,24537,987,299,1185,22956,997,423,161
39,not_in_current_panel,30321,13329,14218,631,199,766,13174,663,273,108
40,not_in_current_panel,32613,13763,14708,659,225,832,13575,707,310,116
41,not_in_current_panel,33997,15140,16146,727,214,891,14963,758,298,127
42,not_in_current_panel,33972,17132,18112,695,222,836,16977,711,307,117
44,high_20nA,4294,1912,2038,90,29,116,1884,93,44,17
45,high_20nA,48181,23013,24333,944,285,1147,22786,969,401,177
46,low_2nA,1441,677,687,8,1,10,675,7,3,2
47,low_2nA,10970,5161,5276,83,23,125,5116,85,50,25
48,high_20nA,31713,13185,14000,584,179,708,13044,599,245,112
49,high_20nA,32354,13937,14815,623,202,770,13779,640,281,115
50,high_20nA,44804,34257,35217,691,209,854,34088,659,330,140
51,high_20nA,20569,14295,14740,308,103,400,14200,303,177,60
52,high_20nA,10005,6933,7152,147,51,186,6893,148,76,35
53,high_20nA,39612,31386,32200,567,188,727,31225,559,296,120
54,high_20nA,37413,29665,30440,547,178,716,29493,536,298,113
55,high_20nA,24416,16841,17387,379,124,479,16735,372,199,81
56,high_20nA,51823,38932,40148,854,271,1050,38730,825,421,172
57,high_20nA,31284,12939,13833,627,207,776,12774,656,273,130
58,not_in_current_panel,34141,15920,16781,587,202,710,15791,591,285,114
59,not_in_current_panel,42303,13863,21377,4590,2175,4822,13565,4527,2366,919
60,not_in_current_panel,36074,10140,17029,4056,2031,4264,9873,4040,2189,927
61,not_in_current_panel,36535,11287,18965,4426,2327,4638,11015,4401,2490,1059
62,not_in_current_panel,37584,11912,19089,4216,2163,4428,11635,4183,2342,929
63,not_in_current_panel,37030,14781,18817,2621,1050,2805,14566,2645,1153,453
64,not_in_current_panel,35943,12103,14630,1696,624,1863,11907,1689,763,271
65,not_in_current_panel,38424,11904,13038,817,254,938,11768,842,323,105
