axis,value,method,n,energy_bias_frac,energy_sigma68_frac,time_sigma68_ns,pid_balanced_accuracy,pileup_miss_rate,false_split_rate
hardware_pedestal_band,high_pedestal,1d_cnn,213,-0.07398600175405493,0.1181717172972723,8.437362746606793,0.733468882602546,0.23529411764705882,0.23423423423423423
hardware_pedestal_band,high_pedestal,deltaE_over_E_likelihood_template,213,-0.01444096058767351,0.12605659366705108,5.682038190630082,0.7681223479490806,0.5196078431372549,0.10810810810810811
hardware_pedestal_band,high_pedestal,gradient_boosted_trees,213,-0.0050253067919457765,0.08321042443369321,4.933556045513436,0.8612093352192363,0.23529411764705882,0.21621621621621623
hardware_pedestal_band,high_pedestal,joint_sequence_transformer,214,-0.004042305010856113,0.13679768943289827,8.107982198660821,0.4831057422969187,0.22549019607843138,0.2767857142857143
hardware_pedestal_band,high_pedestal,mlp,213,-0.0561692664825645,0.1332479195838211,8.258376407695653,0.8091849363507779,0.29411764705882354,0.1891891891891892
hardware_pedestal_band,high_pedestal,ridge,213,-0.006184030109089451,0.0853845914382409,7.055391983385694,0.7532708628005658,0.22549019607843138,0.23423423423423423
hardware_pedestal_band,high_pedestal,template_residual_boosted_stack_new,214,-0.002567870585667668,0.09191088587312937,4.972734596193917,0.8719362745098039,0.21568627450980393,0.22321428571428573
hardware_pedestal_band,low_pedestal,1d_cnn,213,-0.05606540134910345,0.16395431978214225,11.387016483916824,0.7778219395866455,0.42201834862385323,0.15384615384615385
hardware_pedestal_band,low_pedestal,deltaE_over_E_likelihood_template,214,0.07516956984492792,0.1275311357281428,10.290962694180811,0.8014705882352942,0.7339449541284404,0.11428571428571428
hardware_pedestal_band,low_pedestal,gradient_boosted_trees,214,-0.0066091503142009745,0.1389409599978328,6.6805033194412395,0.8760504201680672,0.3394495412844037,0.1619047619047619
hardware_pedestal_band,low_pedestal,joint_sequence_transformer,213,0.04872296563292275,0.19117761803703065,9.18446751498525,0.5568362480127187,0.3944954128440367,0.21153846153846154
hardware_pedestal_band,low_pedestal,mlp,213,-0.0697336896480071,0.25556995650366915,11.278557784148525,0.7803391626921039,0.3944954128440367,0.28846153846153844
hardware_pedestal_band,low_pedestal,ridge,214,0.0038111967644771636,0.14780142784336742,8.899042191471294,0.7644432773109244,0.3577981651376147,0.20952380952380953
hardware_pedestal_band,low_pedestal,template_residual_boosted_stack_new,213,-0.004787562370343674,0.13948328318553915,6.171768569223056,0.8863275039745628,0.3302752293577982,0.20192307692307693
hardware_pedestal_band,mid_pedestal,1d_cnn,214,-0.08136996459960938,0.1227594727872943,9.001229643014856,0.7650422237860661,0.3944954128440367,0.19047619047619047
hardware_pedestal_band,mid_pedestal,deltaE_over_E_likelihood_template,213,-0.02648174615626593,0.06424654053922772,6.294733603301577,0.8236313544258798,0.6880733944954128,0.08653846153846154
hardware_pedestal_band,mid_pedestal,gradient_boosted_trees,213,-0.03112457142928898,0.0995351381581476,6.453962613749869,0.8682456452186278,0.3119266055045872,0.21153846153846154
hardware_pedestal_band,mid_pedestal,joint_sequence_transformer,213,-0.013689916486902407,0.13162116165491206,9.4127866293185,0.511464628510487,0.3486238532110092,0.22115384615384615
hardware_pedestal_band,mid_pedestal,mlp,214,-0.035781352480041835,0.14088493502051494,11.189287928341638,0.8184377199155524,0.43119266055045874,0.18095238095238095
hardware_pedestal_band,mid_pedestal,ridge,213,-0.02164202362108226,0.11756331714343696,6.453318530813274,0.7746178457163171,0.3302752293577982,0.19230769230769232
hardware_pedestal_band,mid_pedestal,template_residual_boosted_stack_new,213,-0.02374345945192704,0.12380222897000653,6.664968307630381,0.8466939210806967,0.28440366972477066,0.19230769230769232
hardware_saturation_label,hardware_saturated,1d_cnn,236,-0.04295118245607333,0.12635978984580623,9.354709415753854,0.7660590277777778,0.4642857142857143,0.17708333333333334
hardware_saturation_label,hardware_saturated,deltaE_over_E_likelihood_template,236,0.01740979103839033,0.10962355469958171,10.574151871828107,0.8068576388888888,0.75,0.125
hardware_saturation_label,hardware_saturated,gradient_boosted_trees,236,-0.008138062885142062,0.07768748875495496,6.044560503835578,0.8861400462962963,0.29285714285714287,0.28125
hardware_saturation_label,hardware_saturated,joint_sequence_transformer,236,0.03987735439664382,0.1327702429733882,9.0150368692434,0.5147569444444444,0.4142857142857143,0.25
hardware_saturation_label,hardware_saturated,mlp,236,-0.005103857365011606,0.1939994858312875,9.657400418145563,0.7709780092592593,0.37857142857142856,0.3020833333333333
hardware_saturation_label,hardware_saturated,ridge,236,0.009611641004214331,0.07943556962623387,7.0966507835241694,0.7287326388888888,0.29285714285714287,0.2708333333333333
hardware_saturation_label,hardware_saturated,template_residual_boosted_stack_new,236,-0.006201846801642092,0.08146111969850192,5.792182563471389,0.8580729166666667,0.2785714285714286,0.3229166666666667
hardware_saturation_label,hardware_unsaturated,1d_cnn,404,-0.07806738312321602,0.15613031566375177,8.966636917290886,0.7508415008415008,0.26666666666666666,0.20089285714285715
hardware_saturation_label,hardware_unsaturated,deltaE_over_E_likelihood_template,404,-0.021551161179636666,0.13632270174298713,6.442530290425491,0.7840807840807842,0.5722222222222222,0.09375
hardware_saturation_label,hardware_unsaturated,gradient_boosted_trees,404,-0.01889660564134518,0.147176536752577,5.701410690590514,0.8587021087021087,0.3,0.16071428571428573
