input_view,methods,n,timing_pull_sigma68,pileup_miss_rate,false_split_rate,energy_fractional_sigma68,pid_balanced_accuracy
raw_adc_sequence_view,"1d_cnn, joint_sequence_transformer",1280,9.645322032477102,0.334375,0.2015625,0.14188764966052153,0.659375
pedestal_subtracted_feature_view,"deltaE_over_E_likelihood_template, gradient_boosted_trees, mlp, ridge, template_residual_boosted_stack_new",3200,7.509616334273813,0.37,0.21375,0.11656670526315549,0.8090625
