method,run,group,n_events,coverage,accepted_secondary_fraction_mean,accepted_secondary_contribution,bad_proxy_contribution,mean_probability
traditional_template_fit,44,high_20nA,473,0.48414376321353064,0.5431215568989647,0.26294891443945645,0.0021141649048625794,0.46790600520652087
ridge_linear,44,high_20nA,473,0.035940803382663845,0.4192815020753489,0.01506931402807808,0.0,0.22902506218197796
gradient_boosted_trees,44,high_20nA,473,1.0,0.09466894905234656,0.09466894905234656,0.012684989429175475,0.26433307844546244
mlp,44,high_20nA,473,0.9746300211416491,0.10302446177630235,0.10041073335914459,0.012684989429175475,0.1686220394522524
cnn_1d_dual_head,44,high_20nA,473,0.02959830866807611,0.2930334210395813,0.008673294447362423,0.0,0.31622564792633057
consensus_abstention_ensemble,44,high_20nA,473,0.06553911205073996,0.23047732591481507,0.01510527928828598,0.0,0.24972692151293355
traditional_template_fit,45,high_20nA,720,0.43333333333333335,0.5224896258134942,0.22641217118584753,0.001388888888888889,0.42180635488253326
ridge_linear,45,high_20nA,720,0.05138888888888889,0.3985993187359311,0.02048357610170757,0.0,0.2468207703916052
gradient_boosted_trees,45,high_20nA,720,1.0,0.0912576306199381,0.0912576306199381,0.022222222222222223,0.2599058509786899
mlp,45,high_20nA,720,0.9541666666666667,0.08185161298590224,0.07810008072404838,0.022222222222222223,0.1083912782597322
cnn_1d_dual_head,45,high_20nA,720,0.001388888888888889,0.4000566899776459,0.0005556342657655478,0.0,0.26280519366264343
consensus_abstention_ensemble,45,high_20nA,720,0.043055555555555555,0.1553730596859593,0.006689673403145469,0.002777777777777778,0.210367439701113
traditional_template_fit,46,low_2nA,308,0.6006493506493507,0.537166096753277,0.32264846720570195,0.0,0.5920249631895392
ridge_linear,46,low_2nA,308,0.022727272727272728,0.4652374474519574,0.010573578351180848,0.0,0.18200349056397444
gradient_boosted_trees,46,low_2nA,308,1.0,0.060629931274,0.060629931274,0.0,0.19438641367362455
mlp,46,low_2nA,308,0.9935064935064936,0.060258503456606646,0.05986721447312219,0.0,0.05302523403199385
cnn_1d_dual_head,46,low_2nA,308,0.0,,0.0,0.0,0.41881462931632996
consensus_abstention_ensemble,46,low_2nA,308,0.025974025974025976,0.11889450564489276,0.0030881689777894224,0.0,0.2220754145626191
traditional_template_fit,47,low_2nA,504,0.4801587301587302,0.5383890058698013,0.2585121813898649,0.0,0.470177376385639
ridge_linear,47,low_2nA,504,0.021825396825396824,0.47394311214374335,0.01034399649520075,0.001984126984126984,0.19467736386668008
gradient_boosted_trees,47,low_2nA,504,1.0,0.08681038114655278,0.08681038114655278,0.007936507936507936,0.25420803233445777
mlp,47,low_2nA,504,0.9861111111111112,0.09798145972809949,0.09662060612076477,0.007936507936507936,0.23300088724261322
cnn_1d_dual_head,47,low_2nA,504,0.0,,0.0,0.0,0.39708128571510315
consensus_abstention_ensemble,47,low_2nA,504,0.1388888888888889,0.09279747249005163,0.012888537845840506,0.0,0.29476340799258577
traditional_template_fit,48,high_20nA,720,0.43194444444444446,0.5145080481151397,0.22223889300528954,0.001388888888888889,0.4201370475361565
ridge_linear,48,high_20nA,720,0.06527777777777778,0.42556319920676194,0.027779819948219178,0.008333333333333333,0.26456050835691447
gradient_boosted_trees,48,high_20nA,720,1.0,0.09442555942732571,0.09442555942732571,0.022222222222222223,0.2706378039810359
mlp,48,high_20nA,720,0.9930555555555556,0.10580153437596722,0.10506680149835633,0.022222222222222223,0.2014394500026873
cnn_1d_dual_head,48,high_20nA,720,0.004166666666666667,0.38997745513916016,0.0016249060863628983,0.0,0.15858052670955658
consensus_abstention_ensemble,48,high_20nA,720,0.07361111111111111,0.17258059580798316,0.012703849413643208,0.006944444444444444,0.21021925645390113
traditional_template_fit,49,high_20nA,720,0.44027777777777777,0.5288096408610046,0.2328231335457478,0.002777777777777778,0.4276289669450785
ridge_linear,49,high_20nA,720,0.03611111111111111,0.6216754161267166,0.022449390026798098,0.0,0.23067657041093825
gradient_boosted_trees,49,high_20nA,720,1.0,0.0952175323726886,0.0952175323726886,0.02638888888888889,0.24817400385555932
mlp,49,high_20nA,720,0.9638888888888889,0.07408999047837424,0.07141451859998851,0.02638888888888889,0.12529442947929656
