stave,n_train_pulses,template_peak_sample,template_cfd20_sample,template_area,heldout_run,training_runs
B2,5695,5,2.4518511617726695,9.285341551822418,44,46 47
B4,32,7,1.508879028203003,9.279989243165659,44,46 47
B6,24,6,3.249143272022857,8.143315684830744,44,46 47
B8,15,7,3.3090002608678986,7.650832525211052,44,46 47
B2,5695,5,2.4518511617726695,9.285341551822418,45,46 47
B4,32,7,1.508879028203003,9.279989243165659,45,46 47
B6,24,6,3.249143272022857,8.143315684830744,45,46 47
B8,15,7,3.3090002608678986,7.650832525211052,45,46 47
B2,5033,5,2.4436731170520596,9.279246964274055,46,47
B4,31,7,1.508879028203003,9.36422294787783,46,47
B6,22,6,3.401329117911468,8.031917797091403,46,47
B8,14,7,3.264065965728891,7.470484720377547,46,47
B2,662,5,2.5443686709392854,9.358264723578683,47,46
B4,1,17,10.546048850574712,-10.85330877516116,47,46
B6,2,6,3.0530240899681256,8.6615172994937,47,46
B8,1,7,3.4019798955665754,7.801264011123693,47,46
B2,5695,5,2.4518511617726695,9.285341551822418,48,46 47
B4,32,7,1.508879028203003,9.279989243165659,48,46 47
B6,24,6,3.249143272022857,8.143315684830744,48,46 47
B8,15,7,3.3090002608678986,7.650832525211052,48,46 47
B2,5695,5,2.4518511617726695,9.285341551822418,49,46 47
B4,32,7,1.508879028203003,9.279989243165659,49,46 47
B6,24,6,3.249143272022857,8.143315684830744,49,46 47
B8,15,7,3.3090002608678986,7.650832525211052,49,46 47
B2,5695,5,2.4518511617726695,9.285341551822418,50,46 47
B4,32,7,1.508879028203003,9.279989243165659,50,46 47
B6,24,6,3.249143272022857,8.143315684830744,50,46 47
B8,15,7,3.3090002608678986,7.650832525211052,50,46 47
B2,5695,5,2.4518511617726695,9.285341551822418,51,46 47
B4,32,7,1.508879028203003,9.279989243165659,51,46 47
B6,24,6,3.249143272022857,8.143315684830744,51,46 47
B8,15,7,3.3090002608678986,7.650832525211052,51,46 47
B2,5695,5,2.4518511617726695,9.285341551822418,52,46 47
B4,32,7,1.508879028203003,9.279989243165659,52,46 47
B6,24,6,3.249143272022857,8.143315684830744,52,46 47
B8,15,7,3.3090002608678986,7.650832525211052,52,46 47
B2,5695,5,2.4518511617726695,9.285341551822418,53,46 47
B4,32,7,1.508879028203003,9.279989243165659,53,46 47
B6,24,6,3.249143272022857,8.143315684830744,53,46 47
B8,15,7,3.3090002608678986,7.650832525211052,53,46 47
B2,5695,5,2.4518511617726695,9.285341551822418,54,46 47
B4,32,7,1.508879028203003,9.279989243165659,54,46 47
B6,24,6,3.249143272022857,8.143315684830744,54,46 47
B8,15,7,3.3090002608678986,7.650832525211052,54,46 47
B2,5695,5,2.4518511617726695,9.285341551822418,55,46 47
B4,32,7,1.508879028203003,9.279989243165659,55,46 47
B6,24,6,3.249143272022857,8.143315684830744,55,46 47
B8,15,7,3.3090002608678986,7.650832525211052,55,46 47
B2,5695,5,2.4518511617726695,9.285341551822418,56,46 47
B4,32,7,1.508879028203003,9.279989243165659,56,46 47
B6,24,6,3.249143272022857,8.143315684830744,56,46 47
B8,15,7,3.3090002608678986,7.650832525211052,56,46 47
B2,5695,5,2.4518511617726695,9.285341551822418,57,46 47
B4,32,7,1.508879028203003,9.279989243165659,57,46 47
B6,24,6,3.249143272022857,8.143315684830744,57,46 47
B8,15,7,3.3090002608678986,7.650832525211052,57,46 47
