n_estimators,max_depth,min_samples_leaf,roc_auc,average_precision,brier
500,7,8,0.8500660718706841,0.8542678524661782,0.16305246046873004
400,5,15,0.8184022837302121,0.8253156894127047,0.17845006615865827
300,4,20,0.7971354935702972,0.8091008504085093,0.18917832572821133
