candidate,roc_auc,average_precision
d_t_ns,0.5428423134401819,0.6150792799489252
abs_c_t_ns,0.49778070104790284,0.5607002715139118
max_downstream_late_fraction,0.5433091417815841,0.5349655198746397
max_downstream_tail_fraction,0.5305019374121901,0.5241014083525295
min_downstream_tail_fraction,0.5116110499610728,0.5119112843751104
min_downstream_late_fraction,0.5155007889846409,0.5119010476398071
max_downstream_area_over_peak,0.5631784298459914,0.6134032061131833
min_downstream_area_over_peak,0.5217619563239579,0.5309573294321093
max_downstream_peak_sample,0.6068992157880451,0.5709912382427026
min_downstream_peak_sample,0.5196798720920174,0.5103257569997982
max_downstream_max_down_step,0.49884411512911603,0.5050253314656178
min_downstream_max_down_step,0.5107982018905802,0.5161247033914576
max_downstream_final_fraction,0.5216694855342873,0.5268981824216026
min_downstream_final_fraction,0.5020328659084061,0.5091116437670832
matched_secondary_template,0.5745165418311007,0.5576998916230795
