heldout_run,n_train,n_test,fold_auc,ablation
58,1140,18,0.8395061728395062,target_stave_blind_aggregate
59,972,186,0.8570933055844606,target_stave_blind_aggregate
60,900,258,0.8607355327203894,target_stave_blind_aggregate
61,806,352,0.8233471074380165,target_stave_blind_aggregate
62,936,222,0.8806915023131239,target_stave_blind_aggregate
63,1044,114,0.8264081255771006,target_stave_blind_aggregate
65,1150,8,0.8125,target_stave_blind_aggregate
58,1140,18,0.8641975308641975,drop_B4_slot
59,972,186,0.8831078737426292,drop_B4_slot
60,900,258,0.8733549666486389,drop_B4_slot
61,806,352,0.8397146177685949,drop_B4_slot
62,936,222,0.8921353786218652,drop_B4_slot
63,1044,114,0.8759618344105878,drop_B4_slot
65,1150,8,0.875,drop_B4_slot
58,1140,18,0.8333333333333334,drop_B6_slot
59,972,186,0.8872702046479362,drop_B6_slot
60,900,258,0.8740460308875668,drop_B6_slot
61,806,352,0.8440728305785125,drop_B6_slot
62,936,222,0.8926223520818116,drop_B6_slot
63,1044,114,0.8516466605109264,drop_B6_slot
65,1150,8,0.875,drop_B6_slot
58,1140,18,0.8580246913580247,drop_B8_slot
59,972,186,0.9038039079662389,drop_B8_slot
60,900,258,0.8909019890631573,drop_B8_slot
61,806,352,0.8515786415289257,drop_B8_slot
62,936,222,0.9058517977436896,drop_B8_slot
63,1044,114,0.86088027085257,drop_B8_slot
65,1150,8,0.875,drop_B8_slot
