ablation,n_columns,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,fixed_95_clean_rejection,delta_auc_vs_primary_slot_gbt,delta_auc_ci_low,delta_auc_ci_high,notes
drop_B8_slot,145,0.8792495547978917,0.8599075167113573,0.9005388429752066,0.8782861406785495,0.5664939550949913,-0.0042670795039986276,-0.012259582734609384,-0.0006316401623054588,Slot-shape GBT with all B8 columns replaced by omission and retraining.
drop_B4_slot,145,0.8678965281692872,0.8468176387472303,0.8867536135976658,0.8744543482736845,0.49568221070811747,-0.015620106132603118,-0.021131268827297475,-0.012635741059400254,Slot-shape GBT with all B4 columns replaced by omission and retraining.
drop_B6_slot,145,0.8660471123758728,0.8457435346641067,0.8845745805150884,0.8766848305539923,0.5025906735751295,-0.017469521926017473,-0.02684342716942156,-0.012901384075938003,Slot-shape GBT with all B6 columns replaced by omission and retraining.
target_stave_blind_aggregate,72,0.8466252636163238,0.8276493897097006,0.8687248097389422,0.8520691422374091,0.45595854922279794,-0.03689137068556647,-0.04819131901998941,-0.031057434697770635,B2 plus downstream aggregate shape means/stds; no individual downstream slot identity.
