heldout_run,n_test,ml_pred_mean_live10_ns,observed_mean_live10_ns,mae_ns,r2
44,2038,116.88688306427602,116.4450084083111,6.340459178903221,0.8811046043118882
45,24333,118.36812240335917,117.98108385990827,5.995508843862184,0.8739644779123994
46,687,123.60298670989006,124.61192662991508,4.682493559306743,0.8647502110569905
47,5276,124.03022594626002,125.2477528213845,4.75551506853036,0.8417694904318826
48,14000,117.06937485069625,116.6912735822305,6.336906889477641,0.8693306676930975
49,14815,117.16205465261903,116.5334026929142,6.446243696999816,0.8655408437524037
50,35217,127.84482877110428,128.38748710739293,2.9167576330754748,0.878093065449321
51,14740,126.42670434178986,126.59583246631,3.312712887951774,0.892695670416195
52,7152,126.8014207630211,127.04493638567341,3.2863542748603387,0.878820064316748
53,32200,127.9094867122013,127.62489774874103,2.64311290833855,0.8907467924399092
54,30440,128.11018581184072,127.82838173132825,2.5981803658749962,0.8911834194686662
55,17387,126.14960525907091,126.23611794505092,3.3594528549080627,0.8895535962543237
56,40148,127.74873790599574,128.36461682671253,3.14112865386807,0.8796734415900963
57,13833,116.50746393472245,115.98464604182047,6.34812034394949,0.8748889713528782
