method,species,truth_n,pred_n,purity,purity_ci_low,purity_ci_high,efficiency,efficiency_ci_low,efficiency_ci_high
traditional_bands,proton,1500,1126,0.9760213143872114,0.9701230228471002,0.980701754385965,0.7326666666666667,0.7210663198959688,0.7478491065519524
traditional_bands,deuteron,1500,1360,0.9992647058823529,0.9978902953586498,1.0,0.906,0.8930987821380244,0.922874093605801
traditional_bands,alpha,80,591,0.10829103214890017,0.0972138119953864,0.1188118811881188,0.8,0.7368421052631579,0.868421052631579
traditional_bands,carbon12,28,31,0.7096774193548387,0.6428571428571429,0.8064516129032258,0.7857142857142857,0.7083333333333334,0.8462962962962962
ridge,proton,1500,1442,0.9902912621359223,0.9885502926258292,0.9919247656450113,0.952,0.9441657692970366,0.9587500095804772
ridge,deuteron,1500,1463,0.9904306220095693,0.9873595505617978,0.9939959973315544,0.966,0.9621907931423996,0.9700520833333334
ridge,alpha,80,148,0.42567567567567566,0.3815789473684211,0.47297297297297297,0.7875,0.6947893569844789,0.868421052631579
ridge,carbon12,28,55,0.4727272727272727,0.36507936507936506,0.696969696969697,0.9285714285714286,0.8461538461538461,1.0
gradient_boosted_trees,proton,1500,1487,0.9818426361802286,0.9773030707610146,0.9867780097425192,0.9733333333333334,0.9695162359178264,0.9786059351276742
gradient_boosted_trees,deuteron,1500,1487,0.9952925353059852,0.9919028340080972,0.9993288590604027,0.9866666666666667,0.976059251280454,0.9945205479452055
gradient_boosted_trees,alpha,80,104,0.5480769230769231,0.4336283185840708,0.6666666666666666,0.7125,0.6578947368421053,0.7763157894736842
gradient_boosted_trees,carbon12,28,30,0.9,0.8333333333333334,1.0,0.9642857142857143,0.8888888888888888,1.0
mlp,proton,1500,1547,0.9586296056884293,0.9538653366583542,0.963758389261745,0.9886666666666667,0.9824324324324324,0.9935064935064936
mlp,deuteron,1500,1509,0.9840954274353877,0.981888745148771,0.9874835309617919,0.99,0.9847176079734219,0.9945205479452055
mlp,alpha,80,24,0.5833333333333334,0.5,0.8333333333333334,0.175,0.11335227272727275,0.2571428571428571
mlp,carbon12,28,28,0.75,0.6923076923076923,0.8076923076923077,0.75,0.6666666666666666,0.9166666666666666
cnn1d,proton,1500,2878,0.495135510771369,0.4886502681747764,0.5057549085985105,0.95,0.9213127587991718,0.974559686888454
cnn1d,deuteron,1500,223,0.5201793721973094,0.4550561797752809,0.5727554179566563,0.07733333333333334,0.04893177119228118,0.11994698475811796
cnn1d,alpha,80,0,0.0,0.0,0.0,0.0,0.0,0.0
cnn1d,carbon12,28,7,0.7142857142857143,0.0,0.7142857142857143,0.17857142857142858,0.0,0.5566666666666656
hybrid_cnn_tabular,proton,1500,1106,0.9891500904159132,0.9824715162138475,0.9946236559139785,0.7293333333333333,0.7144790257104194,0.743829798096388
hybrid_cnn_tabular,deuteron,1500,1590,0.930188679245283,0.8818760856977418,0.9675281643472499,0.986,0.9798177083333334,0.99106529209622
hybrid_cnn_tabular,alpha,80,370,0.15675675675675677,0.1388888888888889,0.20333333333333334,0.725,0.6627906976744186,0.7857142857142857
hybrid_cnn_tabular,carbon12,28,42,0.6428571428571429,0.5454545454545454,0.75,0.9642857142857143,0.8888888888888888,1.0
