sim_run,method,n,balanced_accuracy
0,traditional_bands,755,0.7499610855866033
0,ridge,755,0.9265214280334413
0,gradient_boosted_trees,755,0.9444019733373503
0,mlp,755,0.7951419748437147
0,cnn1d,755,0.47122592955235876
0,hybrid_cnn_tabular,755,0.8644394441515403
1,traditional_bands,799,0.8131097493833687
1,ridge,799,0.8947152300622505
1,gradient_boosted_trees,799,0.9220777909913085
1,mlp,799,0.684856835065774
1,cnn1d,799,0.25249313630490955
1,hybrid_cnn_tabular,799,0.8563175358233498
2,traditional_bands,773,0.8190104603113277
2,ridge,773,0.8876014173286688
2,gradient_boosted_trees,773,0.8998598151862691
2,mlp,773,0.6980577445879884
2,cnn1d,773,0.25600002910869185
2,hybrid_cnn_tabular,773,0.8402743229582899
3,traditional_bands,781,0.8429678291682209
3,ridge,781,0.9294805576277508
3,gradient_boosted_trees,781,0.8709805576277508
3,mlp,781,0.7474605713042397
3,cnn1d,781,0.25497127937336816
3,hybrid_cnn_tabular,781,0.8502027073231382
