n_estimators,max_depth,min_samples_leaf,roc_auc,average_precision,brier
500,7,8,0.7957557058660655,0.809299149616115,0.1925965874173396
400,5,10,0.7875875163166014,0.795011096657338,0.19261560592289328
300,4,15,0.7725960207270282,0.7736629792515645,0.1975080391551098
200,3,20,0.7566947509987738,0.7474506476065899,0.21179146146576464
