candidate,roc_auc,average_precision
d_t_ns,0.5133301689015466,0.5951479641234954
abs_c_t_ns,0.49325580475455877,0.5474713322614686
max_downstream_late_fraction,0.5567619951742415,0.5488962205270081
max_downstream_tail_fraction,0.5350658597365611,0.5336589437536969
min_downstream_tail_fraction,0.5213599145603417,0.5216665911696068
min_downstream_late_fraction,0.5223092440963569,0.5210339381042302
max_downstream_area_over_peak,0.6435267592262964,0.7020515255558254
min_downstream_area_over_peak,0.5474664768007594,0.567890267397117
max_downstream_peak_sample,0.5901665282227759,0.5579082224964456
min_downstream_peak_sample,0.5127368379415371,0.507609129982722
max_downstream_max_down_step,0.5185119259522961,0.5357317401839796
min_downstream_max_down_step,0.5125588386535342,0.5147560489779406
max_downstream_final_fraction,0.5451129306593885,0.5409264149539603
min_downstream_final_fraction,0.5195996993789802,0.5288613425201949
matched_secondary_template,0.5894149756734306,0.5805966283723225
