n_estimators,max_depth,min_samples_leaf,roc_auc,average_precision,brier
200,3,20,0.9808447165960119,0.8485424881823156,0.013596721476131246
300,4,15,0.9866541058250903,0.8765131645415287,0.010532913863659104
400,5,10,0.9907363793374155,0.9122698676706066,0.008588133742307024
500,7,8,0.9934055581723975,0.9338493703266428,0.007485394693568342
