n_estimators,max_depth,min_samples_leaf,roc_auc,average_precision,brier
200,3,20,0.9834353901711415,0.8527865921847928,0.015460539235529772
300,4,15,0.986418590045533,0.8770927381847582,0.013744165403383038
400,5,10,0.9901868425184488,0.9106427917350206,0.008351295726866773
500,7,8,0.9927775160935782,0.9278097429996162,0.007483500143949977
