stratum_type,stratum,method,n_events,n_clean,n_gross,n_runs,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,ap_ci_low,ap_ci_high,brier,max_clean_abs_c_t_ns,min_gross_abs_c_t_ns
overall,all,curvature-only traditional,601,579,22,7,1.0,0.9999999999999999,1.0,1.0,0.9999999999999998,1.0000000000000002,0.003999756397041198,5.435510435926048,51.994553212352244
overall,all,amplitude-only RF control,601,579,22,7,0.779282461924949,0.7122980502505496,0.8811683599419448,0.24915311713462246,0.10761132092307482,0.34536770831568847,0.032623533315422115,5.435510435926048,51.994553212352244
overall,all,shape-only RF,601,579,22,7,0.9927775160935782,0.9774185570166013,1.0,0.9278097429996162,0.7618129903563255,1.0,0.007483500143949977,5.435510435926048,51.994553212352244
overall,all,shape RF shuffled-label null,601,579,22,7,0.5320301460197833,0.320667834205252,0.6884518330445816,0.045104636187817196,0.03389109586299646,0.11874903106409092,0.03612579623942324,5.435510435926048,51.994553212352244
amplitude_stratum,high_event_max_amp,curvature-only traditional,169,159,10,7,1.0,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999998,1.0,0.006076827531760548,5.435510435926048,52.564050322130925
amplitude_stratum,high_event_max_amp,amplitude-only RF control,169,159,10,7,0.7389937106918238,0.6435185185185185,0.9070495335230866,0.22573506940457444,0.0828022831589292,0.46377832260175217,0.05768722131805324,5.435510435926048,52.564050322130925
amplitude_stratum,high_event_max_amp,shape-only RF,169,159,10,7,1.0,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999998,1.0,0.0003519790522622922,5.435510435926048,52.564050322130925
amplitude_stratum,high_event_max_amp,shape RF shuffled-label null,169,159,10,7,0.41635220125786165,0.15086224365729103,0.7253521892256185,0.059411880959367405,0.022848310082352635,0.2585035901991265,0.05745172960011837,5.435510435926048,52.564050322130925
amplitude_stratum,low_event_max_amp,curvature-only traditional,273,269,4,7,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.0018053316014951081,5.332480472368019,59.67922553636839
amplitude_stratum,low_event_max_amp,amplitude-only RF control,273,269,4,7,0.6394052044609665,0.42470941766833936,0.8166301937441643,0.027291005847777394,0.015095958298660055,0.0698531746031746,0.015068773649638082,5.332480472368019,59.67922553636839
amplitude_stratum,low_event_max_amp,shape-only RF,273,269,4,7,0.991635687732342,0.9682618856837607,1.0,0.8269230769230769,0.4782967032967033,1.0,0.0070780985929277005,5.332480472368019,59.67922553636839
amplitude_stratum,low_event_max_amp,shape RF shuffled-label null,273,269,4,7,0.7611524163568772,0.6393516382095062,0.9158300580997947,0.06941976240323287,0.024901378023214196,0.32924722300337456,0.0156925592496149,5.332480472368019,59.67922553636839
amplitude_stratum,mid_event_max_amp,curvature-only traditional,159,151,8,7,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,0.00555983782733373,5.224988826542667,51.994553212352244
amplitude_stratum,mid_event_max_amp,amplitude-only RF control,159,151,8,7,0.8141556291390728,0.7222222222222222,0.9605263157894738,0.4803944158308484,0.4024424119241193,0.6918803418803419,0.03612470385827986,5.224988826542667,51.994553212352244
amplitude_stratum,mid_event_max_amp,shape-only RF,159,151,8,7,0.9809602649006623,0.9400375435773667,1.0,0.8817049808429118,0.5291666666666667,1.0,0.015759611388756894,5.224988826542667,51.994553212352244
amplitude_stratum,mid_event_max_amp,shape RF shuffled-label null,159,151,8,7,0.5182119205298013,0.2514557338086749,0.6910444617279149,0.06382854541658226,0.023539231516970724,0.13032238970454074,0.048542091586971654,5.224988826542667,51.994553212352244
current_run_family,high_all_three_rate,curvature-only traditional,431,416,15,3,1.0,1.0,1.0,1.0,0.9999999999999999,1.0000000000000002,0.003961179436248122,5.435510435926048,52.564050322130925
current_run_family,high_all_three_rate,amplitude-only RF control,431,416,15,3,0.7717147435897436,0.689824120603015,0.8940568475452196,0.2971251482543444,0.019230769230769232,0.40616951182988914,0.03017712963092352,5.435510435926048,52.564050322130925
current_run_family,high_all_three_rate,shape-only RF,431,416,15,3,0.9993589743589744,0.9984754160843603,1.0,0.9859649122807017,0.9625,1.0,0.003581868678823416,5.435510435926048,52.564050322130925
current_run_family,high_all_three_rate,shape RF shuffled-label null,431,416,15,3,0.565224358974359,0.3178294573643411,0.990990990990991,0.05149680402495409,0.03661343614677337,0.5,0.03453983994312083,5.435510435926048,52.564050322130925
current_run_family,low_all_three_rate_edge,curvature-only traditional,13,13,0,2,,,,,,,,4.283778244328829,
current_run_family,low_all_three_rate_edge,amplitude-only RF control,13,13,0,2,,,,,,,,4.283778244328829,
current_run_family,low_all_three_rate_edge,shape-only RF,13,13,0,2,,,,,,,,4.283778244328829,
current_run_family,low_all_three_rate_edge,shape RF shuffled-label null,13,13,0,2,,,,,,,,4.283778244328829,
current_run_family,mid_all_three_rate,curvature-only traditional,157,150,7,2,1.0,1.0,1.0,0.9999999999999998,0.9999999999999998,1.0,0.004390150251953084,5.263749354814998,51.994553212352244
current_run_family,mid_all_three_rate,amplitude-only RF control,157,150,7,2,0.798095238095238,0.798095238095238,0.9473684210526316,0.19411603102779573,0.19411603102779573,0.625,0.04176258341374687,5.263749354814998,51.994553212352244
current_run_family,mid_all_three_rate,shape-only RF,157,150,7,2,0.9828571428571429,0.978494623655914,1.0,0.8357753357753357,0.7909090909090908,1.0,0.017221644496439766,5.263749354814998,51.994553212352244
current_run_family,mid_all_three_rate,shape RF shuffled-label null,157,150,7,2,0.4952380952380952,0.1842105263157895,0.5870967741935484,0.057486462416308864,0.03042328042328042,0.08614319705818733,0.043362935917870486,5.263749354814998,51.994553212352244
