method,run,n,time_bias_ns,time_mae_ns,time_sigma68_ns
gradient_boosted_trees,58,202,0.017892274777591147,0.7346467606825057,0.4000579361229457
gradient_boosted_trees,60,2029,0.01621367444891955,0.37997033096724636,0.2901812523913433
gradient_boosted_trees,62,2163,0.038944114973112204,0.35728062837466246,0.29411028176772824
gradient_boosted_trees,64,623,0.004927381796375175,0.47245142279974006,0.3647019539722334
gradient_boosted_trees,65,254,-0.020826329667634355,0.4138415763970196,0.3708762807371206
graph_residual_message_passing_new,58,202,-0.046998739902729195,0.7502292254486487,0.3517984517500304
graph_residual_message_passing_new,60,2029,0.027740728843510414,0.3177758489472653,0.25538371698193685
graph_residual_message_passing_new,62,2163,0.01431960421439701,0.32593929858542064,0.27002992110233737
graph_residual_message_passing_new,64,623,0.037115693722962056,0.448557560502148,0.3313596790769171
graph_residual_message_passing_new,65,254,-0.03552931956002693,0.3556474390451597,0.33178697916218997
mlp,58,202,0.6027774560876268,1.2364547697490726,0.8531111020582729
mlp,60,2029,0.2019300549112574,0.7041037273004069,0.6894661519924847
mlp,62,2163,0.17564638399377186,0.6637147942918818,0.6959632342863381
mlp,64,623,0.16827204413563504,0.7861361245352316,0.8064193684900777
mlp,65,254,0.3617218877849519,0.7698923502565144,0.8137365539234257
one_dimensional_cnn_filterbank,58,202,-0.025497948474492233,5.451930428079204,5.46427000528927
one_dimensional_cnn_filterbank,60,2029,-1.10120317024581,4.2545756420918455,4.464532509033965
one_dimensional_cnn_filterbank,62,2163,-0.16852583647937705,3.8787253893024407,4.22655015015487
one_dimensional_cnn_filterbank,64,623,1.6187954856140196,5.180129086381765,5.572828674963462
one_dimensional_cnn_filterbank,65,254,1.7956762707746885,6.227851195069679,6.676990920589447
ridge,58,202,-0.02855049039180887,1.5496728047949109,1.124626618523839
ridge,60,2029,-0.15158707024845733,0.9722981495529313,0.9527194268421344
ridge,62,2163,0.0882208837595416,0.9217042725829605,0.870183479845464
ridge,64,623,0.016627621088961365,1.0646873308159273,0.8565447334427394
ridge,65,254,-0.059682364502581894,1.149592162134953,1.0219592898942738
traditional_inverse_variance_s04,58,202,-2.296991709589804,11.086371274755132,8.606828248232413
traditional_inverse_variance_s04,60,2029,4.66024992380359,5.99416717173253,1.1465156694599639
traditional_inverse_variance_s04,62,2163,3.730088215648528,6.356341661492402,1.3282630221812517
traditional_inverse_variance_s04,64,623,1.8759130705886715,8.022839736419458,3.450319722447806
traditional_inverse_variance_s04,65,254,-0.9310389798799771,10.752459740765206,3.4747360344117926
