method,n,harm_rate,flag_rate,precision,recall,f1,accepted_coverage,accepted_charge_bias_frac,accepted_charge_res68_frac,accepted_timing_abs68_ns,accepted_timing_tail_frac_gt5ns,calibration_ece,precision_ci95,recall_ci95,accepted_coverage_ci95,accepted_charge_res68_frac_ci95,accepted_timing_abs68_ns_ci95,accepted_timing_tail_frac_gt5ns_ci95,flag_rate_ci95,primary_rank,stave
mlp,22918,0.38851557727550395,0.42084824155685485,0.8508035251425609,0.9216082659478886,0.8847916329721277,0.5791517584431451,0.0004995290833644225,0.05967437642024884,0.42775113531543063,0.10758683040759437,0.054642446126885694,"[0.8267294792591677, 0.8870630183693978]","[0.9096718537594681, 0.9332812917798095]","[0.5543399573636432, 0.5934938803711258]","[0.055697589490265584, 0.06865338206587235]","[0.27510549212184277, 0.6697212104107217]","[0.08907196705291079, 0.13307919215769548]","[0.4065061196288741, 0.4456600426363567]",1,B4
traditional_rule,22918,0.38851557727550395,0.24059691072519418,0.6262241566920566,0.3878032345013477,0.4789846025801081,0.7594030892748058,-0.026320279025183975,0.08308383586672279,0.08599038906002861,0.030625143645139047,0.08589318439654423,"[0.5761868365765395, 0.6632347869059327]","[0.32713446101488686, 0.44349229738902096]","[0.7331005691091349, 0.7751405654277658]","[0.07394494768581658, 0.09438437438071597]","[0.08210939779703473, 0.08996331485732867]","[0.0269744474611541, 0.03457302666932882]","[0.22485943457223423, 0.26689943089086504]",2,B4
shuffled_target_gbt,22918,0.38851557727550395,0.0,0.0,0.0,0.0,1.0,-0.0022426651785514198,0.1844682582354249,0.28616616839088893,0.14970765337289466,0.03828524338105183,"[0.0, 0.0]","[0.0, 0.0]","[1.0, 1.0]","[0.16731820832468203, 0.22416610746896107]","[0.2529606589119286, 0.3367971499224071]","[0.14525308892825053, 0.15343020844085595]","[0.0, 0.0]",3,B4
gradient_boosted_trees,22918,0.38851557727550395,0.5654507374116415,0.6065282815032024,0.8827493261455526,0.719023006906646,0.4345492625883585,-0.015589135462867321,0.06338184441400334,0.3120458686897211,0.06356059845366001,0.16748978289992797,"[0.5925593839385227, 0.6387225905033983]","[0.8732082179673083, 0.8973062497125717]","[0.38564467412817804, 0.46415656029426106]","[0.05897365190683768, 0.07191666051680325]","[0.19620363941434332, 0.6045994700929366]","[0.05341584727176869, 0.0791673966568883]","[0.535843439705739, 0.614355325871822]",4,B4
wavegate_resnet,22918,0.38851557727550395,0.5736975303255083,0.4480529358077274,0.6616127583108715,0.5342826047524034,0.42630246967449165,-0.03684107324087839,0.07823438544136035,0.06611630684098571,0.013715455475946776,0.22774815954629363,"[0.4148849045340234, 0.49235541894206253]","[0.5932907131348578, 0.7363960713079574]","[0.3834341978043123, 0.4852047901539699]","[0.06978070792010725, 0.09364260834062102]","[0.06093138218256467, 0.07546065613938654]","[0.010052533839189514, 0.01849239890130809]","[0.5147952098460301, 0.6165658021956876]",5,B4
cnn_1d,22918,0.38851557727550395,0.6750589056636704,0.40275353887919335,0.6997978436657682,0.5112615384615385,0.3249410943363295,-0.04543276307075488,0.08498313756999416,0.08235239961327896,0.027527863569222506,0.27312000745827614,"[0.38620106991061176, 0.4487904541420037]","[0.65116022881873, 0.7707778728103545]","[0.2977079040390201, 0.36365237184345245]","[0.0747983045505572, 0.09964725414982838]","[0.07129509691364072, 0.09672848069510596]","[0.022821591600108528, 0.03221458157508994]","[0.6363476281565474, 0.7022920959609799]",6,B4
ridge,22918,0.38851557727550395,0.651714809320185,0.4049946438136047,0.6793575920934412,0.5074664429530202,0.348285190679815,-0.045245117801476956,0.08584486694969054,0.07270754628254937,0.027311450764219494,0.16093513740171198,"[0.38561459211708937, 0.44557744275884215]","[0.618698660632606, 0.753639128089433]","[0.313766704271726, 0.37800642111280336]","[0.07621771626474383, 0.09959028575181228]","[0.06550602468364382, 0.07975019100005017]","[0.021865003539532225, 0.03075655655521133]","[0.6219935788871966, 0.686233295728274]",7,B4
mlp,11910,0.4280436607892527,0.4663308144416457,0.8707238026647461,0.9486072969792075,0.9079984979346603,0.5336691855583543,0.017005886928711664,0.04728230664426885,0.09992300329369784,0.05239144115796098,0.03575168284175714,"[0.8451222908715138, 0.8988063521846307]","[0.9428986339280457, 0.9592901064273278]","[0.5041718376529498, 0.5557621579506847]","[0.04619813344514211, 0.04900573570963888]","[0.0899167376302145, 0.11275719575620755]","[0.04435219234671972, 0.06143518230014484]","[0.44423784204931516, 0.4958281623470503]",1,B6
traditional_rule,11910,0.4280436607892527,0.20839630562552477,0.8078162771958098,0.3932914868575912,0.5290237467018469,0.7916036943744752,0.02082283379786396,0.08388592064318967,0.08821057922866786,0.03171404327535002,0.09897145256087321,"[0.7969260028324711, 0.8192780582121122]","[0.34703072248480754, 0.44349094710817977]","[0.7725828457637564, 0.806817803288013]","[0.0762248439828871, 0.0971406404779611]","[0.08260864259781338, 0.09663753438174731]","[0.029081910919487194, 0.03403203009661019]","[0.19318219671198697, 0.22741715423624367]",2,B6
shuffled_target_gbt,11910,0.4280436607892527,0.0,0.0,0.0,0.0,1.0,0.04279597062892994,0.1917177674197409,0.188624457808313,0.14198152812762385,0.07840280153148728,"[0.0, 0.0]","[0.0, 0.0]","[1.0, 1.0]","[0.16581499607293715, 0.24766561297004658]","[0.16730273549436417, 0.2146556061524375]","[0.1347282344803179, 0.145158457484385]","[0.0, 0.0]",3,B6
