run,group,events_total,s00_selected_pulses,B2_selected,B2_valid_odd,B2_high_proxy,B4_selected,B4_valid_odd,B4_high_proxy,B6_selected,B6_valid_odd,B6_high_proxy,B8_selected,B8_valid_odd,B8_high_proxy
31,sample_i_calib,39990,27871,26948,26931,12235,592,592,1,237,237,0,94,94,0
32,sample_i_calib,41921,28240,27316,27305,11991,605,605,4,224,224,0,95,95,0
33,sample_i_calib,57173,48737,47724,47721,16066,559,559,1,318,318,1,136,136,0
34,sample_i_calib,39765,34118,33373,33372,15541,412,412,1,244,244,0,89,89,0
35,sample_i_calib,27786,11667,11029,11021,1411,403,403,4,163,163,0,72,72,1
36,sample_i_calib,21764,10391,9847,9841,2143,340,340,3,143,143,0,61,61,0
37,sample_i_calib,50513,24537,22956,22930,4947,997,997,3,423,423,0,161,161,0
39,sample_i_calib,30321,14218,13174,13161,2306,663,663,2,273,273,0,108,108,0
40,sample_i_calib,32613,14708,13575,13569,1985,707,707,5,310,310,0,116,116,0
41,sample_i_calib,33997,16146,14963,14953,2727,758,758,7,298,298,0,127,127,0
42,sample_i_calib,33972,18112,16977,16968,4895,711,711,3,307,307,0,117,117,1
44,sample_i_analysis,4294,2038,1884,1883,334,93,93,0,44,44,0,17,17,0
45,sample_i_analysis,48181,24333,22786,22772,5466,969,969,5,401,401,1,177,177,0
46,sample_i_analysis,1441,687,675,674,144,7,7,0,3,3,0,2,2,0
47,sample_i_analysis,10970,5276,5116,5115,1268,85,85,1,50,50,0,25,25,0
48,sample_i_analysis,31713,14000,13044,13035,1986,599,599,5,245,245,1,112,112,0
49,sample_i_analysis,32354,14815,13779,13763,2153,640,640,1,281,281,0,115,115,0
50,sample_i_analysis,44804,35217,34088,34085,19490,659,659,4,330,330,0,140,140,1
51,sample_i_analysis,20569,14740,14200,14199,7247,303,303,3,177,177,0,60,60,0
52,sample_i_analysis,10005,7152,6893,6893,3623,148,148,2,76,76,0,35,35,0
53,sample_i_analysis,39612,32200,31225,31221,13960,559,559,3,296,296,0,120,120,0
54,sample_i_analysis,37413,30440,29493,29492,13282,536,536,1,298,298,0,113,113,0
55,sample_i_analysis,24416,17387,16735,16730,8329,372,372,1,199,199,0,81,81,0
56,sample_i_analysis,51823,40148,38730,38723,21644,825,825,3,421,421,2,172,172,0
57,sample_i_analysis,31284,13833,12774,12763,1840,656,656,4,273,273,0,130,130,1
58,sample_ii_analysis,34141,16781,15791,15790,1615,591,591,4,285,285,0,114,114,1
59,sample_ii_analysis,42303,21377,13565,13563,805,4527,4527,7,2366,2366,0,919,919,1
60,sample_ii_analysis,36074,17029,9873,9866,344,4040,4040,29,2189,2189,5,927,927,4
61,sample_ii_analysis,36535,18965,11015,11015,412,4401,4401,8,2490,2490,0,1059,1059,0
62,sample_ii_analysis,37584,19089,11635,11634,503,4183,4183,10,2342,2342,0,929,929,1
63,sample_ii_analysis,37030,18817,14566,14564,1221,2645,2645,10,1153,1152,0,453,453,2
64,sample_ii_calib,35943,14630,11907,11907,771,1689,1689,6,763,763,0,271,271,1
65,sample_ii_analysis,38424,13038,11768,11768,451,842,842,2,323,323,1,105,105,0
