train_rows,heldout_rows,train_positive_rate,heldout_positive_rate,sampled_train_waveform_hash_overlap,loss_cut,split,heldout_run,target_stave,train_stave
45000,591,0.34942222222222225,0.5313028764805414,0,337798.0293451997,b2_to_target_transfer,58,B4,B2
35525,591,0.568698099929627,0.5989847715736041,0,1304401.9651010456,target_within_stave,58,B4,B4
45000,285,0.34942222222222225,0.5333333333333333,0,337798.0293451997,b2_to_target_transfer,58,B6,B2
17659,285,0.49764992355173,0.5578947368421052,0,1105614.7367421316,target_within_stave,58,B6,B6
45000,114,0.34942222222222225,0.543859649122807,0,337798.0293451997,b2_to_target_transfer,58,B8,B2
7138,114,0.5523956290277389,0.6228070175438597,0,1321244.3936904862,target_within_stave,58,B8,B8
45000,4527,0.3499111111111111,0.35409763640379943,0,288235.6530219645,b2_to_target_transfer,59,B4,B2
31589,4527,0.6075532622115293,0.6043737574552683,0,1386971.1052229165,target_within_stave,59,B4,B4
45000,2366,0.3499111111111111,0.4319526627218935,0,288235.6530219645,b2_to_target_transfer,59,B6,B2
15578,2366,0.5174605212479138,0.47717666948436177,0,1165453.2111374675,target_within_stave,59,B6,B6
45000,919,0.3499111111111111,0.3068552774755169,0,288235.6530219645,b2_to_target_transfer,59,B8,B2
6333,919,0.6003473867045634,0.515778019586507,0,1373958.771393927,target_within_stave,59,B8,B8
45000,4040,0.35146666666666665,0.3574257425742574,0,301454.81006004126,b2_to_target_transfer,60,B4,B2
32076,4040,0.6013842124953236,0.571039603960396,0,1359003.592340637,target_within_stave,60,B4,B4
45000,2189,0.35146666666666665,0.3851073549566012,0,301454.81006004126,b2_to_target_transfer,60,B6,B2
15755,2189,0.5214217708663916,0.4641388761991777,0,1111651.1932528564,target_within_stave,60,B6,B6
45000,927,0.35146666666666665,0.36461704422869473,0,301454.81006004126,b2_to_target_transfer,60,B8,B2
6325,927,0.5846640316205534,0.5415318230852212,0,1325862.5486339428,target_within_stave,60,B8,B8
45000,4401,0.35124444444444447,0.4383094751192911,0,300539.3924122321,b2_to_target_transfer,61,B4,B2
31715,4401,0.6080718902727416,0.7096114519427403,0,1398308.6029613763,target_within_stave,61,B4,B4
45000,2490,0.35124444444444447,0.40441767068273093,0,300539.3924122321,b2_to_target_transfer,61,B6,B2
15454,2490,0.529248091109098,0.45943775100401607,0,1130755.5613973418,target_within_stave,61,B6,B6
45000,1059,0.35124444444444447,0.31350330500472146,0,300539.3924122321,b2_to_target_transfer,61,B8,B2
6193,1059,0.60342321976425,0.5731822474032106,0,1355796.7072748078,target_within_stave,61,B8,B8
45000,4183,0.35031111111111113,0.3554864929476452,0,297978.5578342231,b2_to_target_transfer,62,B4,B2
31933,4183,0.6024488773369242,0.5931149892421707,0,1376671.09815427,target_within_stave,62,B4,B4
45000,2342,0.35031111111111113,0.4150298889837746,0,297978.5578342231,b2_to_target_transfer,62,B6,B2
15602,2342,0.5239712857325984,0.46797608881298036,0,1134973.2952790833,target_within_stave,62,B6,B6
45000,929,0.35031111111111113,0.3240043057050592,0,297978.5578342231,b2_to_target_transfer,62,B8,B2
6323,929,0.5956033528388424,0.527448869752422,0,1344855.4599680738,target_within_stave,62,B8,B8
45000,2645,0.3484888888888889,0.38147448015122876,0,299817.711799828,b2_to_target_transfer,63,B4,B2
33471,2645,0.5882704430701204,0.598109640831758,0,1339287.0246730752,target_within_stave,63,B4,B4
45000,1152,0.3484888888888889,0.4713541666666667,0,299817.711799828,b2_to_target_transfer,63,B6,B2
16792,1152,0.5066102906145784,0.4722222222222222,0,1131756.4654763583,target_within_stave,63,B6,B6
45000,453,0.3484888888888889,0.3686534216335541,0,299817.711799828,b2_to_target_transfer,63,B8,B2
6799,453,0.5644947786439182,0.5607064017660044,0,1338525.1966131919,target_within_stave,63,B8,B8
45000,1689,0.3495111111111111,0.428656009473061,0,306583.8680127315,b2_to_target_transfer,64,B4,B2
34427,1689,0.5789060911493885,0.5985790408525755,0,1330984.8624268866,target_within_stave,64,B4,B4
45000,763,0.3495111111111111,0.49934469200524245,0,306583.8680127315,b2_to_target_transfer,64,B6,B2
17181,763,0.49927245212735,0.5203145478374837,0,1121080.548526087,target_within_stave,64,B6,B6
45000,271,0.3495111111111111,0.39114391143911437,0,306583.8680127315,b2_to_target_transfer,64,B8,B2
6981,271,0.5653917776822804,0.5645756457564576,0,1341094.5528403593,target_within_stave,64,B8,B8
45000,842,0.3393111111111111,0.4679334916864608,0,313986.65540016553,b2_to_target_transfer,65,B4,B2
35274,842,0.5746442138685718,0.6080760095011877,0,1310929.1904095043,target_within_stave,65,B4,B4
45000,323,0.3393111111111111,0.5510835913312694,0,313986.65540016553,b2_to_target_transfer,65,B6,B2
17621,323,0.4990636172748425,0.5294117647058824,0,1111609.2561656914,target_within_stave,65,B6,B6
45000,105,0.3393111111111111,0.4380952380952381,0,313986.65540016553,b2_to_target_transfer,65,B8,B2
7147,105,0.5619140898278998,0.580952380952381,0,1334025.1035024002,target_within_stave,65,B8,B8
