method,n,harm_rate,flag_rate,precision,recall,f1,accepted_coverage,accepted_charge_bias_frac,accepted_charge_res68_frac,accepted_timing_abs68_ns,accepted_timing_tail_frac_gt5ns,calibration_ece,precision_ci95,recall_ci95,accepted_coverage_ci95,accepted_charge_res68_frac_ci95,accepted_timing_abs68_ns_ci95,accepted_timing_tail_frac_gt5ns_ci95,flag_rate_ci95,primary_rank
mlp,39605,0.39479863653579095,0.4289609897740184,0.8550238389546176,0.9290099769762088,0.8904827586206897,0.5710390102259816,0.004878975362725523,0.055457325952116346,0.19945984168806144,0.08909621506897772,0.04889765619073774,"[0.8380602168142077, 0.8753850406858381]","[0.9193151109003714, 0.9405891615703169]","[0.5498421575690862, 0.586756804050039]","[0.051226372397867585, 0.0599793195917437]","[0.12629747755297988, 0.36592551902946724]","[0.06956213465795597, 0.10686603134188014]","[0.413243195949961, 0.45015784243091383]",1
traditional_rule,39605,0.39479863653579095,0.22976896856457518,0.6778021978021977,0.39447429009976975,0.4987063389391979,0.7702310314354248,-0.012459706322940063,0.08189089777956464,0.0853792216415923,0.029536141616128504,0.0777995202625931,"[0.6341659869224145, 0.7276750230213735]","[0.3535540177699426, 0.43376120230896364]","[0.7548734357106963, 0.7826054363303399]","[0.07517496074085372, 0.09153510342366665]","[0.0818296328295229, 0.08888386473606502]","[0.02656716413871122, 0.032301917311018655]","[0.21739456366966012, 0.24512656428930368]",2
shuffled_target_gbt,39605,0.39479863653579095,0.0,0.0,0.0,0.0,1.0,0.011682424088085614,0.18517156797896372,0.22842293639848904,0.14530993561419012,0.04472514085081401,"[0.0, 0.0]","[0.0, 0.0]","[1.0, 1.0]","[0.1687852944116194, 0.2110447837862248]","[0.19708201685632046, 0.2599265608298762]","[0.14048949293258692, 0.14859929256216242]","[0.0, 0.0]",3
gradient_boosted_trees,39605,0.39479863653579095,0.5518747632874637,0.6442329688429336,0.9005500127909951,0.7511268770170432,0.4481252367125363,-0.00577370102459894,0.05832806460718626,0.1507256563632668,0.054090601757944556,0.15164193834439754,"[0.6198321884613507, 0.6839388794212486]","[0.8878682425990964, 0.9162808987794079]","[0.41904540622834335, 0.4675444469223919]","[0.05277374494083041, 0.06385536879831465]","[0.10841978990026396, 0.27119822770517316]","[0.04591473627777615, 0.06387575035343225]","[0.5324555530776081, 0.5809545937716567]",4
wavegate_resnet,39605,0.39479863653579095,0.572932710516349,0.5068970076241682,0.7356101304681504,0.6002035118845722,0.4270672894836511,-0.021119419210333022,0.07027448815624283,0.06512020889306797,0.011469788341019273,0.1919350984887433,"[0.46786640792285755, 0.556809237867322]","[0.6759337513352831, 0.806113663630044]","[0.38812582561734327, 0.46584806928941935]","[0.06061631969249453, 0.0797690403656317]","[0.062046400336834256, 0.06874939544535968]","[0.008166397943045117, 0.014396959179445291]","[0.5341519307105806, 0.6118741743826567]",5
ridge,39605,0.39479863653579095,0.6543113243277364,0.46090916107123564,0.7638782297262727,0.5749217809867629,0.3456886756722636,-0.029402267296840645,0.07673381480766203,0.06751452722030679,0.0234460594551165,0.17057921236067947,"[0.41990641993861827, 0.5138876226532423]","[0.6936468127084933, 0.8584054721908587]","[0.3172755336189873, 0.3735671275881366]","[0.06333456482366974, 0.09047603853507577]","[0.06276424764594367, 0.07183346551760147]","[0.018382506325366064, 0.02693766530560909]","[0.6264328724118634, 0.6827244663810127]",6
cnn_1d,39605,0.39479863653579095,0.7015275849008964,0.444320472214224,0.7895241749808135,0.5686319668355596,0.29847241509910366,-0.03242339065450229,0.07883436880249305,0.08520407073478967,0.024701801878013706,0.24711814619249928,"[0.41573769569268115, 0.48286896679278574]","[0.7295319806520594, 0.8614227936319592]","[0.26708835374903644, 0.33324625894660087]","[0.06799039615136136, 0.09430446236503102]","[0.07798502088433423, 0.09495283716912176]","[0.020270607919772053, 0.02863349170312058]","[0.6667537410533991, 0.7329116462509635]",7
