method,n,harm_rate,flag_rate,precision,recall,f1,accepted_coverage,accepted_charge_bias_frac,accepted_charge_res68_frac,accepted_timing_abs68_ns,accepted_timing_tail_frac_gt5ns,calibration_ece,precision_ci95,recall_ci95,accepted_coverage_ci95,accepted_charge_res68_frac_ci95,accepted_timing_abs68_ns_ci95,accepted_timing_tail_frac_gt5ns_ci95,flag_rate_ci95,stave,run
traditional_rule,591,0.5313028764805414,0.4906937394247039,0.7344827586206897,0.678343949044586,0.7052980132450332,0.5093062605752962,-0.02487801712644671,0.08494177165659182,0.09380331796565151,0.026578073089700997,0.13282571912013535,"[0.7344827586206897, 0.7344827586206897]","[0.678343949044586, 0.678343949044586]","[0.5093062605752962, 0.5093062605752962]","[0.08494177165659182, 0.08494177165659182]","[0.09380331796565151, 0.09380331796565151]","[0.026578073089700997, 0.026578073089700997]","[0.4906937394247039, 0.4906937394247039]",B4,58
ridge,591,0.5313028764805414,0.7140439932318104,0.6066350710900474,0.8152866242038217,0.6956521739130436,0.2859560067681895,-0.03832301610026458,0.07548273607908358,0.060847359742506935,0.011834319526627219,0.16430986847873472,"[0.6066350710900474, 0.6066350710900474]","[0.8152866242038217, 0.8152866242038217]","[0.2859560067681895, 0.2859560067681895]","[0.07548273607908358, 0.07548273607908358]","[0.060847359742506935, 0.060847359742506935]","[0.011834319526627219, 0.011834319526627219]","[0.7140439932318104, 0.7140439932318104]",B4,58
gradient_boosted_trees,591,0.5313028764805414,0.6683587140439933,0.7493670886075949,0.9426751592356688,0.8349788434414669,0.3316412859560068,-0.00796399806858472,0.05565158989663142,0.11823038878253987,0.05102040816326531,0.11154831360008473,"[0.7493670886075949, 0.7493670886075949]","[0.9426751592356688, 0.9426751592356688]","[0.3316412859560068, 0.3316412859560068]","[0.05565158989663142, 0.05565158989663142]","[0.11823038878253987, 0.11823038878253987]","[0.05102040816326531, 0.05102040816326531]","[0.6683587140439933, 0.6683587140439933]",B4,58
mlp,591,0.5313028764805414,0.5583756345177665,0.9212121212121213,0.9681528662420382,0.9440993788819876,0.4416243654822335,0.00990628604559398,0.05663727541431626,0.17939038533272256,0.09961685823754789,0.03202875426300582,"[0.9212121212121213, 0.9212121212121213]","[0.9681528662420382, 0.9681528662420382]","[0.4416243654822335, 0.4416243654822335]","[0.05663727541431626, 0.05663727541431626]","[0.17939038533272256, 0.17939038533272256]","[0.09961685823754789, 0.09961685823754789]","[0.5583756345177665, 0.5583756345177665]",B4,58
cnn_1d,591,0.5313028764805414,0.751269035532995,0.5878378378378378,0.8312101910828026,0.6886543535620052,0.24873096446700507,-0.046697016454805326,0.07550026949574762,0.07239071235533018,0.02040816326530612,0.2170534058396788,"[0.5878378378378378, 0.5878378378378378]","[0.8312101910828026, 0.8312101910828026]","[0.24873096446700507, 0.24873096446700507]","[0.07550026949574762, 0.07550026949574762]","[0.07239071235533018, 0.07239071235533018]","[0.02040816326530612, 0.02040816326530612]","[0.751269035532995, 0.751269035532995]",B4,58
wavegate_resnet,591,0.5313028764805414,0.7140439932318104,0.6208530805687204,0.8343949044585988,0.7119565217391304,0.2859560067681895,-0.03832301610026458,0.06976825366102703,0.07222649552388166,0.011834319526627219,0.17502699139848663,"[0.6208530805687204, 0.6208530805687204]","[0.8343949044585988, 0.8343949044585988]","[0.2859560067681895, 0.2859560067681895]","[0.06976825366102703, 0.06976825366102703]","[0.07222649552388166, 0.07222649552388166]","[0.011834319526627219, 0.011834319526627219]","[0.7140439932318104, 0.7140439932318104]",B4,58
shuffled_target_gbt,591,0.5313028764805414,0.0,0.0,0.0,0.0,1.0,0.06553407035292788,0.4665392887250558,0.14417429211001734,0.1319796954314721,0.18304491322672073,"[0.0, 0.0]","[0.0, 0.0]","[1.0, 1.0]","[0.4665392887250558, 0.4665392887250558]","[0.14417429211001734, 0.14417429211001734]","[0.1319796954314721, 0.1319796954314721]","[0.0, 0.0]",B4,58
traditional_rule,4527,0.35409763640379943,0.20764303070466092,0.6212765957446809,0.36431690580162196,0.45930003932363345,0.792356969295339,-0.01634067647782467,0.07892168827761714,0.09202133334420864,0.034569277948146085,0.05400927766732938,"[0.6212765957446809, 0.6212765957446809]","[0.36431690580162196, 0.36431690580162196]","[0.792356969295339, 0.792356969295339]","[0.07892168827761714, 0.07892168827761714]","[0.09202133334420864, 0.09202133334420864]","[0.034569277948146085, 0.034569277948146085]","[0.20764303070466092, 0.20764303070466092]",B4,59
ridge,4527,0.35409763640379943,0.6805831676607025,0.3875365141187926,0.7448533998752339,0.5098206660973527,0.3194168323392976,-0.03958011950614884,0.07582551643319102,0.07275706282946147,0.020055325034578148,0.19530125369503187,"[0.3875365141187926, 0.3875365141187926]","[0.7448533998752339, 0.7448533998752339]","[0.3194168323392976, 0.3194168323392976]","[0.07582551643319102, 0.07582551643319102]","[0.07275706282946147, 0.07275706282946147]","[0.020055325034578148, 0.020055325034578148]","[0.6805831676607025, 0.6805831676607025]",B4,59
gradient_boosted_trees,4527,0.35409763640379943,0.5436271261320963,0.5830963023161316,0.8951965065502183,0.7062007874015747,0.4563728738679037,-0.01160793779014152,0.058815364232938025,0.19657192413459304,0.06243949661181026,0.1891718358549534,"[0.5830963023161316, 0.5830963023161316]","[0.8951965065502183, 0.8951965065502183]","[0.4563728738679037, 0.4563728738679037]","[0.058815364232938025, 0.058815364232938025]","[0.19657192413459304, 0.19657192413459304]","[0.06243949661181026, 0.06243949661181026]","[0.5436271261320963, 0.5436271261320963]",B4,59
mlp,4527,0.35409763640379943,0.4007068698917606,0.8230429988974641,0.9313786650031192,0.8738659642961663,0.5992931301082395,0.007122463153236716,0.055288302157694584,0.3965472179016069,0.10541835606339846,0.0711017980287424,"[0.8230429988974641, 0.8230429988974641]","[0.9313786650031192, 0.9313786650031192]","[0.5992931301082395, 0.5992931301082395]","[0.055288302157694584, 0.055288302157694584]","[0.3965472179016069, 0.3965472179016069]","[0.10541835606339846, 0.10541835606339846]","[0.4007068698917606, 0.4007068698917606]",B4,59
cnn_1d,4527,0.35409763640379943,0.6869891760547824,0.38681672025723474,0.7504678727386151,0.5105028644175684,0.31301082394521756,-0.037598009653643294,0.07288011466987729,0.07019925001811061,0.02117148906139732,0.2827428340696264,"[0.38681672025723474, 0.38681672025723474]","[0.7504678727386151, 0.7504678727386151]","[0.31301082394521756, 0.31301082394521756]","[0.07288011466987729, 0.07288011466987729]","[0.07019925001811061, 0.07019925001811061]","[0.02117148906139732, 0.02117148906139732]","[0.6869891760547824, 0.6869891760547824]",B4,59
wavegate_resnet,4527,0.35409763640379943,0.5942125027612105,0.43271375464684014,0.72613849033063,0.5422781271837875,0.4057874972387895,-0.03166953539093691,0.06657341112914307,0.059513427760479944,0.004899292324442025,0.24484893265265667,"[0.43271375464684014, 0.43271375464684014]","[0.72613849033063, 0.72613849033063]","[0.4057874972387895, 0.4057874972387895]","[0.06657341112914307, 0.06657341112914307]","[0.059513427760479944, 0.059513427760479944]","[0.004899292324442025, 0.004899292324442025]","[0.5942125027612105, 0.5942125027612105]",B4,59
