policy,heldout_run,training_runs,stave,raw_clean_count,effective_template_count,template_source_stave,fallback_reason,min_downstream_templates,template_peak_sample,template_cfd20_sample,template_area
baseline_all_low_support,44,46 47,B2,5695,5695,B2,,1,5,2.4518511617726695,9.285341551822418
baseline_all_low_support,44,46 47,B4,32,32,B4,,1,7,1.508879028203003,9.279989243165659
baseline_all_low_support,44,46 47,B6,24,24,B6,,1,6,3.249143272022857,8.143315684830744
baseline_all_low_support,44,46 47,B8,15,15,B8,,1,7,3.3090002608678986,7.650832525211052
baseline_all_low_support,45,46 47,B2,5695,5695,B2,,1,5,2.4518511617726695,9.285341551822418
baseline_all_low_support,45,46 47,B4,32,32,B4,,1,7,1.508879028203003,9.279989243165659
baseline_all_low_support,45,46 47,B6,24,24,B6,,1,6,3.249143272022857,8.143315684830744
baseline_all_low_support,45,46 47,B8,15,15,B8,,1,7,3.3090002608678986,7.650832525211052
baseline_all_low_support,46,47,B2,5033,5033,B2,,1,5,2.4436731170520596,9.279246964274055
baseline_all_low_support,46,47,B4,31,31,B4,,1,7,1.508879028203003,9.36422294787783
baseline_all_low_support,46,47,B6,22,22,B6,,1,6,3.401329117911468,8.031917797091403
baseline_all_low_support,46,47,B8,14,14,B8,,1,7,3.264065965728891,7.470484720377547
baseline_all_low_support,47,46,B2,662,662,B2,,1,5,2.5443686709392854,9.358264723578683
baseline_all_low_support,47,46,B4,1,1,B4,,1,17,10.546048850574712,-10.85330877516116
baseline_all_low_support,47,46,B6,2,2,B6,,1,6,3.0530240899681256,8.6615172994937
baseline_all_low_support,47,46,B8,1,1,B8,,1,7,3.4019798955665754,7.801264011123693
baseline_all_low_support,48,46 47,B2,5695,5695,B2,,1,5,2.4518511617726695,9.285341551822418
baseline_all_low_support,48,46 47,B4,32,32,B4,,1,7,1.508879028203003,9.279989243165659
baseline_all_low_support,48,46 47,B6,24,24,B6,,1,6,3.249143272022857,8.143315684830744
baseline_all_low_support,48,46 47,B8,15,15,B8,,1,7,3.3090002608678986,7.650832525211052
baseline_all_low_support,49,46 47,B2,5695,5695,B2,,1,5,2.4518511617726695,9.285341551822418
baseline_all_low_support,49,46 47,B4,32,32,B4,,1,7,1.508879028203003,9.279989243165659
baseline_all_low_support,49,46 47,B6,24,24,B6,,1,6,3.249143272022857,8.143315684830744
baseline_all_low_support,49,46 47,B8,15,15,B8,,1,7,3.3090002608678986,7.650832525211052
baseline_all_low_support,50,46 47,B2,5695,5695,B2,,1,5,2.4518511617726695,9.285341551822418
baseline_all_low_support,50,46 47,B4,32,32,B4,,1,7,1.508879028203003,9.279989243165659
baseline_all_low_support,50,46 47,B6,24,24,B6,,1,6,3.249143272022857,8.143315684830744
baseline_all_low_support,50,46 47,B8,15,15,B8,,1,7,3.3090002608678986,7.650832525211052
baseline_all_low_support,51,46 47,B2,5695,5695,B2,,1,5,2.4518511617726695,9.285341551822418
baseline_all_low_support,51,46 47,B4,32,32,B4,,1,7,1.508879028203003,9.279989243165659
baseline_all_low_support,51,46 47,B6,24,24,B6,,1,6,3.249143272022857,8.143315684830744
baseline_all_low_support,51,46 47,B8,15,15,B8,,1,7,3.3090002608678986,7.650832525211052
baseline_all_low_support,52,46 47,B2,5695,5695,B2,,1,5,2.4518511617726695,9.285341551822418
baseline_all_low_support,52,46 47,B4,32,32,B4,,1,7,1.508879028203003,9.279989243165659
baseline_all_low_support,52,46 47,B6,24,24,B6,,1,6,3.249143272022857,8.143315684830744
baseline_all_low_support,52,46 47,B8,15,15,B8,,1,7,3.3090002608678986,7.650832525211052
baseline_all_low_support,53,46 47,B2,5695,5695,B2,,1,5,2.4518511617726695,9.285341551822418
baseline_all_low_support,53,46 47,B4,32,32,B4,,1,7,1.508879028203003,9.279989243165659
baseline_all_low_support,53,46 47,B6,24,24,B6,,1,6,3.249143272022857,8.143315684830744
baseline_all_low_support,53,46 47,B8,15,15,B8,,1,7,3.3090002608678986,7.650832525211052
baseline_all_low_support,54,46 47,B2,5695,5695,B2,,1,5,2.4518511617726695,9.285341551822418
baseline_all_low_support,54,46 47,B4,32,32,B4,,1,7,1.508879028203003,9.279989243165659
baseline_all_low_support,54,46 47,B6,24,24,B6,,1,6,3.249143272022857,8.143315684830744
baseline_all_low_support,54,46 47,B8,15,15,B8,,1,7,3.3090002608678986,7.650832525211052
baseline_all_low_support,55,46 47,B2,5695,5695,B2,,1,5,2.4518511617726695,9.285341551822418
baseline_all_low_support,55,46 47,B4,32,32,B4,,1,7,1.508879028203003,9.279989243165659
baseline_all_low_support,55,46 47,B6,24,24,B6,,1,6,3.249143272022857,8.143315684830744
baseline_all_low_support,55,46 47,B8,15,15,B8,,1,7,3.3090002608678986,7.650832525211052
baseline_all_low_support,56,46 47,B2,5695,5695,B2,,1,5,2.4518511617726695,9.285341551822418
baseline_all_low_support,56,46 47,B4,32,32,B4,,1,7,1.508879028203003,9.279989243165659
baseline_all_low_support,56,46 47,B6,24,24,B6,,1,6,3.249143272022857,8.143315684830744
baseline_all_low_support,56,46 47,B8,15,15,B8,,1,7,3.3090002608678986,7.650832525211052
baseline_all_low_support,57,46 47,B2,5695,5695,B2,,1,5,2.4518511617726695,9.285341551822418
baseline_all_low_support,57,46 47,B4,32,32,B4,,1,7,1.508879028203003,9.279989243165659
baseline_all_low_support,57,46 47,B6,24,24,B6,,1,6,3.249143272022857,8.143315684830744
baseline_all_low_support,57,46 47,B8,15,15,B8,,1,7,3.3090002608678986,7.650832525211052
min_downstream_100,44,46 47,B2,5695,5695,B2,,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,44,46 47,B4,32,5695,B2,below_min_100,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,44,46 47,B6,24,5695,B2,below_min_100,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,44,46 47,B8,15,5695,B2,below_min_100,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,45,46 47,B2,5695,5695,B2,,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,45,46 47,B4,32,5695,B2,below_min_100,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,45,46 47,B6,24,5695,B2,below_min_100,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,45,46 47,B8,15,5695,B2,below_min_100,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,46,47,B2,5033,5033,B2,,100,5,2.4436731170520596,9.279246964274055
min_downstream_100,46,47,B4,31,5033,B2,below_min_100,100,5,2.4436731170520596,9.279246964274055
min_downstream_100,46,47,B6,22,5033,B2,below_min_100,100,5,2.4436731170520596,9.279246964274055
min_downstream_100,46,47,B8,14,5033,B2,below_min_100,100,5,2.4436731170520596,9.279246964274055
min_downstream_100,47,46,B2,662,662,B2,,100,5,2.5443686709392854,9.358264723578683
min_downstream_100,47,46,B4,1,662,B2,below_min_100,100,5,2.5443686709392854,9.358264723578683
min_downstream_100,47,46,B6,2,662,B2,below_min_100,100,5,2.5443686709392854,9.358264723578683
min_downstream_100,47,46,B8,1,662,B2,below_min_100,100,5,2.5443686709392854,9.358264723578683
min_downstream_100,48,46 47,B2,5695,5695,B2,,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,48,46 47,B4,32,5695,B2,below_min_100,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,48,46 47,B6,24,5695,B2,below_min_100,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,48,46 47,B8,15,5695,B2,below_min_100,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,49,46 47,B2,5695,5695,B2,,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,49,46 47,B4,32,5695,B2,below_min_100,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,49,46 47,B6,24,5695,B2,below_min_100,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,49,46 47,B8,15,5695,B2,below_min_100,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,50,46 47,B2,5695,5695,B2,,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,50,46 47,B4,32,5695,B2,below_min_100,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,50,46 47,B6,24,5695,B2,below_min_100,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,50,46 47,B8,15,5695,B2,below_min_100,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,51,46 47,B2,5695,5695,B2,,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,51,46 47,B4,32,5695,B2,below_min_100,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,51,46 47,B6,24,5695,B2,below_min_100,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,51,46 47,B8,15,5695,B2,below_min_100,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,52,46 47,B2,5695,5695,B2,,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,52,46 47,B4,32,5695,B2,below_min_100,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,52,46 47,B6,24,5695,B2,below_min_100,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,52,46 47,B8,15,5695,B2,below_min_100,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,53,46 47,B2,5695,5695,B2,,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,53,46 47,B4,32,5695,B2,below_min_100,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,53,46 47,B6,24,5695,B2,below_min_100,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,53,46 47,B8,15,5695,B2,below_min_100,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,54,46 47,B2,5695,5695,B2,,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,54,46 47,B4,32,5695,B2,below_min_100,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,54,46 47,B6,24,5695,B2,below_min_100,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,54,46 47,B8,15,5695,B2,below_min_100,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,55,46 47,B2,5695,5695,B2,,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,55,46 47,B4,32,5695,B2,below_min_100,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,55,46 47,B6,24,5695,B2,below_min_100,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,55,46 47,B8,15,5695,B2,below_min_100,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,56,46 47,B2,5695,5695,B2,,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,56,46 47,B4,32,5695,B2,below_min_100,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,56,46 47,B6,24,5695,B2,below_min_100,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,56,46 47,B8,15,5695,B2,below_min_100,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,57,46 47,B2,5695,5695,B2,,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,57,46 47,B4,32,5695,B2,below_min_100,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,57,46 47,B6,24,5695,B2,below_min_100,100,5,2.4518511617726695,9.285341551822418
min_downstream_100,57,46 47,B8,15,5695,B2,below_min_100,100,5,2.4518511617726695,9.285341551822418
min_downstream_250,44,46 47,B2,5695,5695,B2,,250,5,2.4518511617726695,9.285341551822418
min_downstream_250,44,46 47,B4,32,5695,B2,below_min_250,250,5,2.4518511617726695,9.285341551822418
min_downstream_250,44,46 47,B6,24,5695,B2,below_min_250,250,5,2.4518511617726695,9.285341551822418
min_downstream_250,44,46 47,B8,15,5695,B2,below_min_250,250,5,2.4518511617726695,9.285341551822418
min_downstream_250,45,46 47,B2,5695,5695,B2,,250,5,2.4518511617726695,9.285341551822418
min_downstream_250,45,46 47,B4,32,5695,B2,below_min_250,250,5,2.4518511617726695,9.285341551822418
min_downstream_250,45,46 47,B6,24,5695,B2,below_min_250,250,5,2.4518511617726695,9.285341551822418
min_downstream_250,45,46 47,B8,15,5695,B2,below_min_250,250,5,2.4518511617726695,9.285341551822418
min_downstream_250,46,47,B2,5033,5033,B2,,250,5,2.4436731170520596,9.279246964274055
min_downstream_250,46,47,B4,31,5033,B2,below_min_250,250,5,2.4436731170520596,9.279246964274055
min_downstream_250,46,47,B6,22,5033,B2,below_min_250,250,5,2.4436731170520596,9.279246964274055
min_downstream_250,46,47,B8,14,5033,B2,below_min_250,250,5,2.4436731170520596,9.279246964274055
min_downstream_250,47,46,B2,662,662,B2,,250,5,2.5443686709392854,9.358264723578683
min_downstream_250,47,46,B4,1,662,B2,below_min_250,250,5,2.5443686709392854,9.358264723578683
min_downstream_250,47,46,B6,2,662,B2,below_min_250,250,5,2.5443686709392854,9.358264723578683
min_downstream_250,47,46,B8,1,662,B2,below_min_250,250,5,2.5443686709392854,9.358264723578683
min_downstream_250,48,46 47,B2,5695,5695,B2,,250,5,2.4518511617726695,9.285341551822418
