policy,method_metric,value,ci_low,ci_high,delta_vs_baseline,bootstrap_unit,n_bootstrap,n_scored_events
baseline_all_low_support,ml_secondary_fraction,0.0043737587882012145,-0.0013766294483757362,0.01205911471112745,0.0,source_run_within_current_group,600,12617
baseline_all_low_support,ml_overlap_score,0.020072234318152398,-0.011426394048944787,0.05185798927007656,0.0,source_run_within_current_group,600,12617
min_downstream_500,ml_secondary_fraction,0.006260914603801605,0.00025883233232683176,0.013812237228654751,0.0018871558156003908,source_run_within_current_group,600,12617
min_downstream_500,ml_overlap_score,0.02377917830828751,-0.003518543798189011,0.053017856295946124,0.0037069439901351135,source_run_within_current_group,600,12617
min_downstream_1000,ml_secondary_fraction,0.007098990350052401,0.00067368081420866,0.015326033349442443,0.002725231561851186,source_run_within_current_group,600,12617
min_downstream_1000,ml_overlap_score,0.0214194585242039,-0.005793971823045379,0.050342376434757634,0.0013472242060515033,source_run_within_current_group,600,12617
ablate_B4_to_B2,ml_secondary_fraction,0.005871728287301807,-0.0013485853515853726,0.013760127115071965,0.0014979694991005925,source_run_within_current_group,600,12617
ablate_B4_to_B2,ml_overlap_score,0.01955177770927535,-0.011241065817648523,0.0507049241584534,-0.0005204566088770485,source_run_within_current_group,600,12617
ablate_B6_to_B2,ml_secondary_fraction,0.005840172899427195,-0.0002552123329631388,0.01340269331462046,0.0014664141112259808,source_run_within_current_group,600,12617
ablate_B6_to_B2,ml_overlap_score,0.016785559249512753,-0.010555260384235921,0.047062523249958764,-0.0032866750686396454,source_run_within_current_group,600,12617
ablate_B8_to_B2,ml_secondary_fraction,0.007778362188880159,0.0015852160346879617,0.013902760388399731,0.003404603400678945,source_run_within_current_group,600,12617
ablate_B8_to_B2,ml_overlap_score,0.018500850036446158,-0.011728522331814857,0.04993333902514987,-0.0015713842817062403,source_run_within_current_group,600,12617
