policy,heldout_run,heldout_group,n_scored_events,training_runs,min_downstream_template_count,support_bucket,n_synthetic_train,synthetic_train_source_runs,synthetic_holdout_auc,synthetic_holdout_ap,synthetic_holdout_brier,synthetic_secondary_fraction_mae,shuffled_label_synthetic_auc
baseline_all_low_support,44,high_20nA,652,46 47,15.0,lt100,5600,46 47,0.9484816546805069,0.9489107153914523,0.09697644093308307,0.06966739746135511,0.5505116259845775
baseline_all_low_support,45,high_20nA,1120,46 47,15.0,lt100,5600,46 47,0.906569387755102,0.9172834168135555,0.12771831697588093,0.08720657110071613,0.5216275510204081
baseline_all_low_support,46,low_2nA,417,47,14.0,lt100,5600,47,0.9837849911559986,0.98560625386018,0.05565801512759581,0.04431091960634129,0.5524754148832772
baseline_all_low_support,47,low_2nA,675,46,1.0,lt100,1332,46,0.9262461719578571,0.9333672170174051,0.12261860329572045,0.08308496318740166,0.5504938530913466
baseline_all_low_support,48,high_20nA,1086,46 47,15.0,lt100,5600,46 47,0.9086306122448979,0.9209871655725905,0.12717307131490327,0.08549822603637365,0.4728030612244898
baseline_all_low_support,49,high_20nA,1107,46 47,15.0,lt100,5600,46 47,0.9069744897959183,0.9146624331442704,0.12905141648629553,0.08703605832369407,0.5712020408163265
baseline_all_low_support,50,high_20nA,996,46 47,15.0,lt100,5600,46 47,0.9221632653061224,0.9299925967008792,0.12044438429961277,0.08688103862450987,0.44694489795918363
baseline_all_low_support,51,high_20nA,903,46 47,15.0,lt100,5600,46 47,0.9148897959183673,0.9220399060154354,0.1216127895822454,0.08282148895337597,0.5161653061224489
baseline_all_low_support,52,high_20nA,703,46 47,15.0,lt100,5600,46 47,0.9409443486379214,0.9444621322229374,0.10481623136231755,0.07522555408819369,0.48776027998616517
baseline_all_low_support,53,high_20nA,929,46 47,15.0,lt100,5600,46 47,0.9207673469387755,0.9273155008847251,0.12073608112216208,0.08601488570597815,0.4894928571428571
baseline_all_low_support,54,high_20nA,927,46 47,15.0,lt100,5600,46 47,0.9301153061224489,0.935740776168638,0.1171327442716526,0.08274510026910459,0.4578397959183673
baseline_all_low_support,55,high_20nA,950,46 47,15.0,lt100,5600,46 47,0.9275602040816326,0.9385134219418946,0.11559214965450124,0.08663635310926007,0.5087255102040816
baseline_all_low_support,56,high_20nA,1052,46 47,15.0,lt100,5600,46 47,0.9211836734693878,0.928926786630874,0.120604271528063,0.08573222635971793,0.5259908163265306
baseline_all_low_support,57,high_20nA,1100,46 47,15.0,lt100,5600,46 47,0.8989887755102041,0.9040716910618278,0.13048312919886756,0.09123997395681209,0.6014622448979592
min_downstream_500,44,high_20nA,652,46 47,15.0,lt100,5600,46 47,0.9530842219624236,0.9552411936304944,0.09422092950254747,0.06930673396869014,0.5400813051333829
min_downstream_500,45,high_20nA,1120,46 47,15.0,lt100,5600,46 47,0.9047153061224489,0.9170579929087534,0.12750836890303466,0.08410555616128315,0.5119724489795918
min_downstream_500,46,low_2nA,417,47,14.0,lt100,5600,47,0.9885722219874553,0.9900335884672515,0.0458772551943412,0.04069681229786443,0.5055207094519134
min_downstream_500,47,low_2nA,675,46,1.0,lt100,1332,46,0.9378113323012853,0.9444648676539733,0.10823200361097544,0.07726489699375864,0.4442966385835531
min_downstream_500,48,high_20nA,1086,46 47,15.0,lt100,5600,46 47,0.9107775510204081,0.9202987672417617,0.12547678984157107,0.08527560761382741,0.4852102040816327
min_downstream_500,49,high_20nA,1107,46 47,15.0,lt100,5600,46 47,0.9175908163265306,0.9259617274788284,0.12213846782108623,0.08664628873327843,0.4851826530612245
min_downstream_500,50,high_20nA,996,46 47,15.0,lt100,5600,46 47,0.9236653061224489,0.9280365449768839,0.11911206765912198,0.08656799787565336,0.5591989795918368
min_downstream_500,51,high_20nA,903,46 47,15.0,lt100,5600,46 47,0.9302969387755102,0.9362013801041185,0.11203509542231013,0.08377881507859157,0.4926132653061225
min_downstream_500,52,high_20nA,703,46 47,15.0,lt100,5600,46 47,0.9382644534150525,0.9434325878144513,0.10523844887437081,0.0736144427680606,0.5516508686682033
min_downstream_500,53,high_20nA,929,46 47,15.0,lt100,5600,46 47,0.9284857142857142,0.9377509185690207,0.11712856626401917,0.08447878482363484,0.5122663265306122
min_downstream_500,54,high_20nA,927,46 47,15.0,lt100,5600,46 47,0.9143877551020408,0.9218462257104815,0.1254186951535802,0.08305400859115257,0.5310255102040816
min_downstream_500,55,high_20nA,950,46 47,15.0,lt100,5600,46 47,0.9193887755102041,0.9287750715570345,0.12315582237004652,0.08479613893638753,0.4783183673469388
min_downstream_500,56,high_20nA,1052,46 47,15.0,lt100,5600,46 47,0.9172653061224489,0.92708001946967,0.12190754239345962,0.08281046286390088,0.4753775510204082
min_downstream_500,57,high_20nA,1100,46 47,15.0,lt100,5600,46 47,0.9016938775510205,0.9046511042282428,0.1306104385546659,0.09436498472884178,0.525484693877551
min_downstream_1000,44,high_20nA,652,46 47,15.0,lt100,5600,46 47,0.950365194081317,0.9532090815735504,0.09608915425503715,0.0730505831528151,0.5498370354625004
min_downstream_1000,45,high_20nA,1120,46 47,15.0,lt100,5600,46 47,0.908534693877551,0.9185910938304414,0.12606113246385198,0.08610238053957692,0.5315908163265306
min_downstream_1000,46,low_2nA,417,47,14.0,lt100,5600,47,0.9862299198908536,0.9889121374905112,0.04563474005299551,0.040516314713454356,0.4925112738380552
min_downstream_1000,47,low_2nA,675,46,1.0,lt100,1332,46,0.9203676476308276,0.9289505932170133,0.12293239726075876,0.0808595304493372,0.4094948410568378
min_downstream_1000,48,high_20nA,1086,46 47,15.0,lt100,5600,46 47,0.9202387755102042,0.9310221858842128,0.11744249444198347,0.07988902844572575,0.5166877551020408
min_downstream_1000,49,high_20nA,1107,46 47,15.0,lt100,5600,46 47,0.9113153061224488,0.922199268758219,0.12622552914776167,0.08469490211431567,0.49789081632653054
min_downstream_1000,50,high_20nA,996,46 47,15.0,lt100,5600,46 47,0.9134285714285714,0.9216744602465113,0.12301713874854966,0.08374942436616568,0.5347336734693877
min_downstream_1000,51,high_20nA,903,46 47,15.0,lt100,5600,46 47,0.912922448979592,0.9219780156916777,0.12333050538704773,0.08609065976899655,0.4679132653061225
min_downstream_1000,52,high_20nA,703,46 47,15.0,lt100,5600,46 47,0.9370369743305704,0.9430843488919284,0.10551484399356395,0.07004377646276493,0.47073520555134973
min_downstream_1000,53,high_20nA,929,46 47,15.0,lt100,5600,46 47,0.9251632653061225,0.9308501086493315,0.11699681977967369,0.08340673741168551,0.49902448979591835
min_downstream_1000,54,high_20nA,927,46 47,15.0,lt100,5600,46 47,0.9248224489795919,0.9328068111962617,0.12082517626205633,0.0843937246538621,0.5136581632653061
min_downstream_1000,55,high_20nA,950,46 47,15.0,lt100,5600,46 47,0.9260183673469389,0.9364390376990577,0.117030411230402,0.08043126710382792,0.5052061224489796
min_downstream_1000,56,high_20nA,1052,46 47,15.0,lt100,5600,46 47,0.9079275510204081,0.9187871023985416,0.12722875039964887,0.08265198580001584,0.5073367346938775
min_downstream_1000,57,high_20nA,1100,46 47,15.0,lt100,5600,46 47,0.9091897959183675,0.9166619350101121,0.12691952198148462,0.0878662254876448,0.5283193877551021
ablate_B4_to_B2,44,high_20nA,652,46 47,15.0,lt100,5600,46 47,0.9397621662474462,0.9433922192868046,0.10298382173571331,0.06915717213574155,0.5420563644737308
ablate_B4_to_B2,45,high_20nA,1120,46 47,15.0,lt100,5600,46 47,0.9161989795918366,0.926690549139157,0.12105782903290528,0.08421236016451839,0.5907142857142856
ablate_B4_to_B2,46,low_2nA,417,47,14.0,lt100,5600,47,0.9863868782787703,0.9881909603003625,0.04978627096306123,0.042388916387933906,0.5104166037826972
ablate_B4_to_B2,47,low_2nA,675,46,1.0,lt100,1332,46,0.921581211541304,0.9295409659907852,0.12208374616667703,0.08516293618658796,0.4914402254946958
ablate_B4_to_B2,48,high_20nA,1086,46 47,15.0,lt100,5600,46 47,0.9211510204081633,0.9271189523353668,0.11927807114523901,0.08225559266406883,0.4394857142857143
ablate_B4_to_B2,49,high_20nA,1107,46 47,15.0,lt100,5600,46 47,0.9104938775510203,0.9194787824551555,0.12759542670566762,0.08626733068190649,0.5212979591836735
ablate_B4_to_B2,50,high_20nA,996,46 47,15.0,lt100,5600,46 47,0.917004081632653,0.9176586785171872,0.12307425716446264,0.08861451293071412,0.47471224489795916
ablate_B4_to_B2,51,high_20nA,903,46 47,15.0,lt100,5600,46 47,0.928684693877551,0.9344681135815079,0.11184443502077716,0.08182415205853533,0.46750204081632646
ablate_B4_to_B2,52,high_20nA,703,46 47,15.0,lt100,5600,46 47,0.9436097317927967,0.9488975097207994,0.10039619092259704,0.07297495187660707,0.3963040181497597
ablate_B4_to_B2,53,high_20nA,929,46 47,15.0,lt100,5600,46 47,0.9253673469387753,0.9330956599756729,0.11647204180335045,0.08580718410133277,0.4719979591836735
ablate_B4_to_B2,54,high_20nA,927,46 47,15.0,lt100,5600,46 47,0.9215928571428572,0.9311648275447612,0.11893962829303098,0.08282191065870992,0.39655918367346943
ablate_B4_to_B2,55,high_20nA,950,46 47,15.0,lt100,5600,46 47,0.9197459183673469,0.929830122476018,0.12052558298119319,0.08497584373204985,0.5268255102040816
ablate_B4_to_B2,56,high_20nA,1052,46 47,15.0,lt100,5600,46 47,0.9183867346938775,0.9299282160861078,0.12353480782496397,0.07987981193926227,0.5528683673469388
ablate_B4_to_B2,57,high_20nA,1100,46 47,15.0,lt100,5600,46 47,0.9052316326530612,0.9087977280209494,0.12763802147581207,0.08575353492441,0.43303061224489797
ablate_B6_to_B2,44,high_20nA,652,46 47,15.0,lt100,5600,46 47,0.9522974457080101,0.951404769908877,0.09452243709435766,0.07056096276385225,0.47058076782277014
