policy,method_metric,value,ci_low,ci_high,delta_vs_baseline,bootstrap_unit,n_bootstrap,n_scored_events
baseline_all_low_support,trad_secondary_fraction,0.018064542090743305,-0.016794538194931638,0.05413747947109698,0.0,source_run_within_current_group,600,12617
min_downstream_100,trad_secondary_fraction,0.019353949457299038,-0.017399225923905116,0.057725574765789704,0.001289407366555733,source_run_within_current_group,600,12617
min_downstream_250,trad_secondary_fraction,0.019353949457299038,-0.017038912688089037,0.05536404800955888,0.001289407366555733,source_run_within_current_group,600,12617
min_downstream_500,trad_secondary_fraction,0.019353949457299038,-0.018917987583852495,0.05667398410545683,0.001289407366555733,source_run_within_current_group,600,12617
min_downstream_1000,trad_secondary_fraction,0.019353949457299038,-0.01736983873921029,0.05738670712467842,0.001289407366555733,source_run_within_current_group,600,12617
ablate_B4_to_B2,trad_secondary_fraction,0.018173099319215957,-0.01977089329562617,0.05630333991959604,0.0001085572284726527,source_run_within_current_group,600,12617
ablate_B6_to_B2,trad_secondary_fraction,0.019001330356829785,-0.016718505187210797,0.05413633924700719,0.0009367882660864801,source_run_within_current_group,600,12617
ablate_B8_to_B2,trad_secondary_fraction,0.018308603962739877,-0.017829183947344035,0.05410684155239359,0.00024406187199657245,source_run_within_current_group,600,12617
high_only_run46_support,trad_secondary_fraction,0.03540931857929475,-0.0015086697291621794,0.0717952253368681,0.01734477648855145,source_run_within_current_group,600,12617
high_only_run47_support,trad_secondary_fraction,0.0156943439586301,-0.02055994883609587,0.05179773302470306,-0.0023701981321132062,source_run_within_current_group,600,12617
