policy,support_bucket,n_folds,min_template_count,max_template_count,mean_synthetic_auc,mean_shuffled_auc,mean_fraction_mae
ablate_B4_to_B2,lt100,14,1.0,15.0,0.9267997950512471,0.48680079210370747,0.07943544360302703
ablate_B6_to_B2,lt100,14,1.0,15.0,0.926978192147498,0.5161718516022586,0.08041152557738661
ablate_B8_to_B2,lt100,14,1.0,15.0,0.9257079501486025,0.5034431124299955,0.08087955888461285
baseline_all_low_support,lt100,14,1.0,15.0,0.9255214302553672,0.5181068039698585,0.08100719691305959
min_downstream_1000,lt100,14,1.0,15.0,0.9252543543159547,0.5017813985998957,0.07883903860501344
min_downstream_500,lt100,14,1.0,15.0,0.9275713983289281,0.5070142515597895,0.07976868081678037
