method,metric,bootstrap_unit,value,ci_low,ci_high,delta_vs_traditional_ns,delta_ci_low,delta_ci_high,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf
hgb_no_amplitude,pooled_blind_sample_ii_pairwise_sigma68_ns,heldout_run,1.303947404824095,1.2180463051182417,1.4709813334846893,-0.190719144427137,-0.24053000936359392,-0.13600294304749305,11460,1.714025644957328,1.303947404824095,2.4679216115083245,0.016492146596858638,1.668679200700297,87.70705596666026
hgb_all,pooled_blind_sample_ii_pairwise_sigma68_ns,heldout_run,1.362501325919116,1.2588922256487163,1.4864430534145083,-0.132165223332116,-0.20228478350924795,-0.060500646774969344,11460,1.6679987541035004,1.362501325919116,2.454623633070146,0.017015706806282723,1.649021013611726,72.26228028280339
hgb_no_run_family,pooled_blind_sample_ii_pairwise_sigma68_ns,heldout_run,1.3643506342945053,1.2606980003946082,1.4657260036632376,-0.13031591495672679,-0.22621864080073184,-0.07949537447071897,11460,1.6687332165447195,1.3643506342945053,2.4465331914532236,0.017015706806282723,1.654483799464805,71.89341518248392
hgb_no_pretrigger,pooled_blind_sample_ii_pairwise_sigma68_ns,heldout_run,1.3693113854811092,1.269842538803024,1.5043302819659656,-0.1253551637701229,-0.21009847190173025,-0.06795479331143311,11460,1.669498714817074,1.3693113854811092,2.448451706734941,0.016579406631762654,1.6468271204557179,73.96431944422939
hgb_no_q_template,pooled_blind_sample_ii_pairwise_sigma68_ns,heldout_run,1.3829478405758946,1.2842034908722253,1.5066755039198259,-0.11171870867533751,-0.2156697903407302,-0.04740217254994057,11460,1.6833410814424035,1.3829478405758946,2.432098001311931,0.015183246073298429,1.6563206702206914,72.20447046141446
hgb_no_waveform,pooled_blind_sample_ii_pairwise_sigma68_ns,heldout_run,1.3864641367701638,1.2535734618538854,1.4913696551491595,-0.10820241248106832,-0.17530688667471117,-0.05751473274589638,11460,1.6347219558903596,1.3864641367701638,2.4362561051458096,0.015183246073298429,1.6373485168659498,70.2972905445892
s03b_binned_timewalk,pooled_blind_sample_ii_pairwise_sigma68_ns,heldout_run,1.3979715141141966,1.187784447500793,1.5,-0.09669503513703548,-0.22315709420187158,-0.08597181693004242,11460,1.7959430282284004,1.3979715141141966,2.7030369680061095,0.0356020942408377,1.5469861063593553,193.29390502733492
analytic_timewalk,pooled_blind_sample_ii_pairwise_sigma68_ns,heldout_run,1.494666549251232,1.374395696795009,1.673872077243238,0.0,0.0,0.0,11460,1.7700686278373716,1.494666549251232,2.6814722510112667,0.020767888307155324,1.5064800482619787,134.21575527506718
ridge_all,pooled_blind_sample_ii_pairwise_sigma68_ns,heldout_run,1.5519358252492843,1.4802978230120105,1.6396405490974293,0.057269275998052205,-0.046376952426738595,0.15043284406335358,11460,1.5999992851424523,1.5519358252492843,2.6217725694308953,0.016841186736474695,1.4688473394248285,46.56780405056348
mlp_all,pooled_blind_sample_ii_pairwise_sigma68_ns,heldout_run,1.5821952946018083,1.4800237166415577,1.6895079841091316,0.0875287453505762,0.008145812199507892,0.1380363078704211,11460,1.548508699531837,1.5821952946018083,2.491875129787121,0.014921465968586388,1.5492248683969696,15.692346448165374
cnn1d_all,pooled_blind_sample_ii_pairwise_sigma68_ns,heldout_run,1.6512806701322993,1.5608908116526825,1.7286679858647058,0.1566141208810672,-0.05005926278934503,0.3452709351036327,11460,-0.9879876548017066,1.6512806701322993,3.053854067548435,0.06535776614310645,1.0615300927723716,12.77524328335187
tcn_new_architecture_all,pooled_blind_sample_ii_pairwise_sigma68_ns,heldout_run,1.887849975975664,1.8292543189161694,1.9604559161410764,0.39318342672443185,0.16190584001036307,0.5789145312266558,11460,-1.9166910739007719,1.887849975975664,3.1599463029872705,0.081239092495637,1.8410458165527184,67.32250246689121
template_phase_base,pooled_blind_sample_ii_pairwise_sigma68_ns,heldout_run,2.0459430282283897,1.7959430282283915,2.0459430282284004,0.5512764789771576,0.35304951553696295,0.6732076004402525,11460,-3.5918860564567794,2.0459430282283897,3.362029308566705,0.09973821989528796,0.781805379833031,229.84693486536128
hgb_run_family_only_sentinel,pooled_blind_sample_ii_pairwise_sigma68_ns,heldout_run,2.0459430282283897,1.7959430282283968,2.045943028228397,0.5512764789771576,0.3873187449238761,0.6698114103745905,11460,-3.5918860564567794,2.0459430282283897,3.362029308566705,0.09973821989528796,0.7818052977994955,229.84693486425417
hgb_no_stave,pooled_blind_sample_ii_pairwise_sigma68_ns,heldout_run,2.3209550885252006,2.1706879467182696,2.395520422491577,0.8262885392739685,0.45600898284371283,1.0171887957288381,11460,-1.1405921033426942,2.3209550885252006,3.0588889999145072,0.05148342059336824,2.2851209560510464,5.450281084335829
hgb_shuffled_target_sentinel,pooled_blind_sample_ii_pairwise_sigma68_ns,heldout_run,2.3890935737011367,2.3151964823795943,2.480436836370524,0.8944270244499046,0.6326917641057626,1.094384023416607,11460,-3.3342151479852653,2.3890935737011367,3.507702817494695,0.10986038394415358,3.0590211586775093,84.12818768707183
hgb_amplitude_only_control,pooled_blind_sample_ii_pairwise_sigma68_ns,heldout_run,2.5309010575423554,2.4215168104946234,2.653791546684094,1.0362345082911233,0.741993026659085,1.2695160400085521,11460,-1.9355036626599613,2.5309010575423554,3.268225706735402,0.0743455497382199,2.0392337855722267,11.862055002266501
