model,fold,score_mse,n_train,n_validate,matrix,params,heldout_run
traditional_hier_amp,0,3.8307407144778196,5325,4641,traditional,"{""alpha"": 1.0}",58
traditional_hier_amp,1,3.357177530291268,4641,5325,traditional,"{""alpha"": 1.0}",58
traditional_hier_amp,-1,3.5939591223845437,9966,0,traditional,"{""alpha"": 1.0}",58
traditional_hier_amp,0,3.8564376412157233,5325,4641,traditional,"{""alpha"": 10.0}",58
traditional_hier_amp,1,3.396243906645261,4641,5325,traditional,"{""alpha"": 10.0}",58
traditional_hier_amp,-1,3.626340773930492,9966,0,traditional,"{""alpha"": 10.0}",58
ridge_waveform,0,3.76250760053525,5325,4641,waveform,"{""alpha"": 1.0}",58
ridge_waveform,1,3.259254275099511,4641,5325,waveform,"{""alpha"": 1.0}",58
ridge_waveform,-1,3.5108809378173804,9966,0,waveform,"{""alpha"": 1.0}",58
ridge_waveform,0,3.7565997532904216,5325,4641,waveform,"{""alpha"": 10.0}",58
ridge_waveform,1,3.249357292904918,4641,5325,waveform,"{""alpha"": 10.0}",58
ridge_waveform,-1,3.5029785230976698,9966,0,waveform,"{""alpha"": 10.0}",58
gradient_boosted_trees,0,3.380812401499616,5325,4641,waveform,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_bins"": 64, ""max_iter"": 80, ""max_leaf_nodes"": 7, ""random_state"": 20260743}",58
gradient_boosted_trees,1,3.019389952192758,4641,5325,waveform,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_bins"": 64, ""max_iter"": 80, ""max_leaf_nodes"": 7, ""random_state"": 20260743}",58
gradient_boosted_trees,-1,3.2001011768461867,9966,0,waveform,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_bins"": 64, ""max_iter"": 80, ""max_leaf_nodes"": 7, ""random_state"": 20260743}",58
mlp_waveform,0,3.2929205256196603,5325,4641,waveform,"{""activation"": ""relu"", ""alpha"": 0.001, ""early_stopping"": true, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.001, ""max_iter"": 250, ""n_iter_no_change"": 20, ""random_state"": 20260780, ""solver"": ""adam""}",58
mlp_waveform,1,3.039517441619423,4641,5325,waveform,"{""activation"": ""relu"", ""alpha"": 0.001, ""early_stopping"": true, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.001, ""max_iter"": 250, ""n_iter_no_change"": 20, ""random_state"": 20260780, ""solver"": ""adam""}",58
mlp_waveform,-1,3.1662189836195416,9966,0,waveform,"{""activation"": ""relu"", ""alpha"": 0.001, ""early_stopping"": true, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.001, ""max_iter"": 250, ""n_iter_no_change"": 20, ""random_state"": 20260780, ""solver"": ""adam""}",58
