method,reference,metric,delta_method_minus_reference,ci_low,ci_high,bootstrap_unit
gradient_boosted_trees,traditional_hier_amp,sigma68_ns,0.04979288113808222,-0.09123113137738541,0.20312216113739248,heldout_run
gradient_boosted_trees,traditional_hier_amp,full_rms_ns,-0.2920945611822261,-0.3516897262644193,-0.21532646577139802,heldout_run
gradient_boosted_trees,traditional_hier_amp,p95_abs_residual_ns,-0.5049771903834359,-0.9351375628784592,-0.10564796600215397,heldout_run
gradient_boosted_trees,traditional_hier_amp,tail_frac_abs_gt5ns,-0.007026544223915833,-0.01690821256038648,0.005395981087470445,heldout_run
mlp_waveform,traditional_hier_amp,sigma68_ns,0.11983265438130408,-0.20099477295193788,0.4416047947498928,heldout_run
mlp_waveform,traditional_hier_amp,full_rms_ns,-0.48514772313642807,-0.589487446255205,-0.22314478351472616,heldout_run
mlp_waveform,traditional_hier_amp,p95_abs_residual_ns,-0.5428256062045254,-1.4981245771609804,0.7689408089728547,heldout_run
mlp_waveform,traditional_hier_amp,tail_frac_abs_gt5ns,-0.008867405145960783,-0.025725267620246062,0.014231472249916893,heldout_run
ridge_waveform,traditional_hier_amp,sigma68_ns,0.1774023932611407,0.01925487713101491,0.27665999972122507,heldout_run
ridge_waveform,traditional_hier_amp,full_rms_ns,-0.03444222775131034,-0.13459086491954766,0.07903652659933333,heldout_run
ridge_waveform,traditional_hier_amp,p95_abs_residual_ns,-0.29497928659947315,-0.6901668288133447,0.1262523329732436,heldout_run
ridge_waveform,traditional_hier_amp,tail_frac_abs_gt5ns,-0.0033289457064411727,-0.012223049604765723,0.0024460160696350825,heldout_run
support_gated_ensemble,traditional_hier_amp,sigma68_ns,0.10104614539736678,-0.009198336873928792,0.2112880362211576,heldout_run
support_gated_ensemble,traditional_hier_amp,full_rms_ns,-0.2206481259368036,-0.2834655724397954,-0.1531559648368686,heldout_run
support_gated_ensemble,traditional_hier_amp,p95_abs_residual_ns,-0.20041794024523707,-0.6432180796766751,0.10125340010888945,heldout_run
support_gated_ensemble,traditional_hier_amp,tail_frac_abs_gt5ns,-0.0033187631536344513,-0.010613996799068819,0.004827236771126121,heldout_run
template_phase_base,traditional_hier_amp,sigma68_ns,1.4957378473062786,0.9300898213677096,1.8921975748375297,heldout_run
template_phase_base,traditional_hier_amp,full_rms_ns,0.5425296955693182,0.4114441960164209,0.7537735280699802,heldout_run
template_phase_base,traditional_hier_amp,p95_abs_residual_ns,1.5829359336386957,0.7138167001269885,2.418571128309306,heldout_run
template_phase_base,traditional_hier_amp,tail_frac_abs_gt5ns,0.17072646807164377,0.09753916853183486,0.21258379420144125,heldout_run
tiny_1d_cnn,traditional_hier_amp,sigma68_ns,0.04324832730003403,-0.05236366962844237,0.1219137792643889,heldout_run
tiny_1d_cnn,traditional_hier_amp,full_rms_ns,-0.060643547168248046,-0.12776547278507921,-0.0021079147997692398,heldout_run
tiny_1d_cnn,traditional_hier_amp,p95_abs_residual_ns,-0.3824041105197291,-0.7455429318716317,0.16420659031083906,heldout_run
tiny_1d_cnn,traditional_hier_amp,tail_frac_abs_gt5ns,-0.006083359855129315,-0.012381227249845108,0.003703703703703702,heldout_run
