family,feature,quantile,value,train_only
run64,log_amp2,0.3333333333333333,61.54543230795151,True
run64,log_amp2,0.5,64.76240932933645,True
run64,log_amp2,0.6666666666666666,67.86187537478484,True
run64,log_amp2,0.9,75.78769386892631,True
run64,inv_sqrt_amp,0.1,0.012870641831001412,True
run64,inv_sqrt_amp,0.3333333333333333,0.01626213339125554,True
run64,inv_sqrt_amp,0.5,0.017885682339724072,True
run64,inv_sqrt_amp,0.6666666666666666,0.01979066641317172,True
run64,inv_sqrt_amp,0.9,0.0257941077511379,True
run64,inv_amp,0.1,0.00016565342155087424,True
run64,inv_amp,0.3333333333333333,0.00026445698269188673,True
run64,inv_amp,0.5,0.0003198976327575176,True
run64,inv_amp,0.6666666666666666,0.0003916704779118686,True
run64,inv_amp,0.9,0.0006653359946773121,True
run64,area_over_amp,0.1,5.45601199776665,True
run64,area_over_amp,0.3333333333333333,7.157009792421185,True
run64,area_over_amp,0.5,7.521215990368176,True
run64,area_over_amp,0.6666666666666666,8.156107112546904,True
run64,area_over_amp,0.9,8.871956418244562,True
run64,peak_sample,0.1,5.0,True
run64,peak_sample,0.3333333333333333,7.0,True
run64,peak_sample,0.5,7.0,True
run64,peak_sample,0.6666666666666666,8.0,True
run64,peak_sample,0.9,9.0,True
run64,cfd10,0.1,2.045234274864197,True
run64,cfd10,0.3333333333333333,4.095914363861084,True
run64,cfd10,0.5,4.274207830429077,True
run64,cfd10,0.6666666666666666,4.495652198791504,True
run64,cfd10,0.9,5.159213209152222,True
run64,cfd20,0.1,2.263489317893982,True
run64,cfd20,0.3333333333333333,4.335666179656982,True
run64,cfd20,0.5,4.617467164993286,True
run64,cfd20,0.6666666666666666,5.004234790802002,True
run64,cfd20,0.9,5.444393682479858,True
run64,cfd30,0.1,2.4875627040863035,True
run64,cfd30,0.3333333333333333,4.580113410949707,True
run64,cfd30,0.5,4.959054708480835,True
run64,cfd30,0.6666666666666666,5.20205020904541,True
run64,cfd30,0.9,5.73432731628418,True
run64,cfd50,0.1,2.9749653577804565,True
run64,cfd50,0.3333333333333333,5.06852388381958,True
run64,cfd50,0.5,5.3651814460754395,True
run64,cfd50,0.6666666666666666,5.604166507720947,True
run64,cfd50,0.9,6.253385448455811,True
run64,rise_10_50,0.1,0.6919870853424073,True
run64,rise_10_50,0.3333333333333333,0.9664907455444336,True
run64,rise_10_50,0.5,1.0294978618621826,True
run64,rise_10_50,0.6666666666666666,1.1040372848510742,True
run64,rise_10_50,0.9,1.2287513732910156,True
run64,rise_20_50,0.1,0.4649993419647217,True
run64,rise_20_50,0.3333333333333333,0.627500057220459,True
run64,rise_20_50,0.5,0.6977813243865967,True
run64,rise_20_50,0.6666666666666666,0.7515759468078613,True
run64,rise_20_50,0.9,0.8351675033569336,True
run64,width_half,0.1,6.626058578491211,True
run64,width_half,0.3333333333333333,7.188514232635498,True
run64,width_half,0.5,7.501708984375,True
run64,width_half,0.6666666666666666,8.040424823760986,True
run64,width_half,0.9,9.899782371520999,True
run64,tail_mean_8_17,0.1,0.2821096062660217,True
run64,tail_mean_8_17,0.3333333333333333,0.5156099994977316,True
run64,tail_mean_8_17,0.5,0.55526202917099,True
run64,tail_mean_8_17,0.6666666666666666,0.5978458921114603,True
run64,tail_mean_8_17,0.9,0.6622636020183563,True
run64,tail_area_10_17,0.1,1.662234687805176,True
run64,tail_area_10_17,0.3333333333333333,3.3404285113016763,True
run64,tail_area_10_17,0.5,3.744478940963745,True
run64,tail_area_10_17,0.6666666666666666,4.254179159800212,True
run64,tail_area_10_17,0.9,4.95735034942627,True
run64,late_over_total,0.1,0.2625774174928665,True
run64,late_over_total,0.3333333333333333,0.4575417836507161,True
run64,late_over_total,0.5,0.4980798065662384,True
run64,late_over_total,0.6666666666666666,0.5303733348846436,True
run64,late_over_total,0.9,0.5955952703952789,True
run64,peak_to_area,0.1,0.1127147105846761,True
run64,peak_to_area,0.3333333333333333,0.12260751191775426,True
run64,peak_to_area,0.5,0.13295722411057687,True
run64,peak_to_area,0.6666666666666666,0.1397231565980716,True
run64,peak_to_area,0.9,0.18328405445589022,True
